id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2457508789,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-09-09T14:28:56.617Z,2022-09-09T15:40:47Z,3766989195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3766989185,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3766989193,194,2xoesy83pz2opdvnkdbraacph,3766989189,130,8,3767017819,197,608,3766989187,59,"48, 2, 12, 98, 32, 70, 15, 6, 99, 8, 27, 1, 4, 11, 14, 16, 17, 29, 24, 18",3766989183,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, d597taqcmedln0e50xgdyt8gk, 5brwa0y63724t6s3y6gtz28yx, 1x2kly8qv2vxujs6d0tgdt0id, 9kbzdpxg4ud1m8wppt1s1roq, 9j37dmdxamf5ykbw9l24wlt6, a7sgm3cmjoxjjxanrad02l2lm, bia0lpc5wkxjcyc92d12apas5, aervyzt3cfxxktpj81yjxo9d6, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, dpuogllbip7f2jpamgohjkfyt, 6q8kbaw3h6n77ekwl6fr0e9qt, 9p1b5iftds5x02tx2eyseaklx, 4c540mry6f9esodej103n6xka, 8hw7lxbdh3zllchj5arfyc8np, 8fnnkhu8buuejfilvhgtpv7ro, 1li4roqq55x7nss4ufnjt321g, dvt8h9sh00qsqzhrb3y4fco9h",3766989191,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457510625,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2022-09-09T14:57:53.535Z,2022-09-09T15:40:21Z,3767000809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767000803,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3767000807,130,2,3767000805,59,"22, 29, 7, 14, 3, 4, 18, 20, 19, 77, 6, 5, 24, 26, 37, 40, 41, 43, 45, 46",3767000813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767000811,194,bgzn0qcq2tcobzu1odwyaeeei,3767000801,30,"92j12068e102fecql9i8bvehg, ql3ke0589k0ywxw4kzd5wgt0, bgzn0qcq2tcobzu1odwyaeeei, 2ulcka9bd1cna5mixtb0fu2ac, 5etucjhifze9cu3fecy68dg16, 3wpliz4y0ex8jxtlt2enirc9h, drlzps89wgzfvjmmvqnshmrkk, exs0tbl2thbcz163r3vas74es, cznfldjv2fv42m6z68um5lzx0, 8btwu0jixlrcl9gj51uepz21g, 96locb7oipzlke997xnx6ii38, 7rfodyul3h9g09koricuuohsk, 8fzdgtbrfz7oeki448trj105w, 6c9h442qns0cyep0948jcdf6c, 4wvzsf1eyia9ny6qk3ft5slqs, 9xw2h8gmd6xhg3hhi0m7ktyxg, 7viodtsy0imlbh9st2mpbclck, abei4pi5q8mto46c76nj5kic, 5jf9ehsqbdmxlcan1tjm7gmqc, kpt652xmwmbwuf9k7t59tzis",3767017959,197,2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513569,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2022-09-09T15:30:14.252Z,2022-09-09T15:30:16Z,3767019375,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513565,3,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-09-09T15:30:14.252Z,2022-12-12T16:20:27Z,3767019363,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513571,4,1,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,50,50,2022-09-09T15:30:14.294Z,2022-09-17T18:02:20Z,3767019393,213,2.9,3767019389,141,56.0,3767019387,140,35.7,3787480269,178,,3767019395,279,S,3767019385,56,Back,3767019391,212,15.6,,,,bia0lpc5wkxjcyc92d12apas5,R. Quaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513577,5,1,1,0,1,7dkxxicrwn77jpdfkwpnlnnyn,1,35.2,54,2022-09-09T15:30:16.229Z,2022-09-17T18:02:48Z,3767019449,141,13.2,3767019451,212,29.6,3787482289,178,,3767019441,56,Back,3767019445,140,45.1,3767019453,213,5.1,,,,,,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513587,6,1,1,0,4,7dkxxicrwn77jpdfkwpnlnnyn,1,45.1,13.2,2022-09-09T15:30:18.985Z,2022-09-17T18:03:07Z,3767019523,213,3.2,3767019517,140,34.9,3767019519,141,12.2,3787483933,178,,3767019515,56,Back,3767019521,212,10.7,,,,,,,9j37dmdxamf5ykbw9l24wlt6,Ahmed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513597,7,1,1,0,6,7dkxxicrwn77jpdfkwpnlnnyn,1,35.2,12.3,2022-09-09T15:30:20.841Z,2022-09-17T18:03:27Z,3767019585,140,32.6,3767019587,141,31.5,3767019583,56,Back,3767019589,212,13.3,3787485467,178,,3767019591,213,1.8,,,,,,,2xoesy83pz2opdvnkdbraacph,Saeed Al Muwallad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513613,8,1,1,0,9,7dkxxicrwn77jpdfkwpnlnnyn,1,35.2,32.4,2022-09-09T15:30:24.166Z,2022-09-17T18:03:36Z,3767019695,56,Center,3787485913,178,,3767019701,212,38.1,3767019697,140,56.1,3767019699,141,78.2,3767019705,1,,3767019703,213,1.0,,,,1x2kly8qv2vxujs6d0tgdt0id,M. Tisserand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457513615,9,1,1,0,17,7dkxxicrwn77jpdfkwpnlnnyn,1,56.9,81.8,2022-09-09T15:30:31.556Z,2022-09-17T18:03:58Z,3767019715,140,52.8,3767019721,213,2.0,3767019717,141,96.2,3767019713,56,Left,3767019719,212,10.7,3787487553,178,,,,,,,,aervyzt3cfxxktpj81yjxo9d6,Hamed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
