id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2520654709,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-03-16T11:36:59.878Z,2023-03-16T11:37:00Z,4100616479,197,3316,4100616467,30,"c2mhdatj96x8eug6mekactrkl, 5ffogjpb96mfoihuw7pu5pl91, bhdvvtp8iu46et3iqfn6c8f3e, 7ieikgigejp7rmvrsra8mj1lh, bkpoy149cdahszf7g50fdox04, bodbz7zwlae3zytzhmbk5ncwk, 8tvytrvm8g922nxp2sjc7lxp1, 3hzwwygv4u0vn68g4z3taqj1l, egk2nnpvvup731trr0x2kj696, f0fot1juj3i62tt8i2vybnjdh, 9i2vkt05nwdi1v6iqiyv3hl91, a8tgq32yvdrxup21s75ktvtw4, 4d1vfcib03lv7y3dbpv2b8usp, 2ff2szax8e6tod2rts23ok9re, 8y6x61qorr95ai62ko6yo6cr8, 22nbr9lhehz7zxfpml2cdfx4a, czk2wmpl7wu9ogvo8oyij1t5h, 9kn5o2yki8zu3wihjwqjort9l, 2j2uxep3rot3fwdq27b2im9qt, d0hq3mzumz2pvhkx2cxvalqsp",4100616473,130,8,4100616475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4100616471,59,"1, 40, 12, 8, 19, 4, 10, 30, 9, 11, 75, 6, 15, 18, 23, 24, 26, 27, 32, 44",4100616469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4100616481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4100616477,194,f0fot1juj3i62tt8i2vybnjdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520657341,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-03-16T11:46:35.013Z,2023-03-16T15:25:07Z,4100628611,197,960,4100628609,194,8i6yz8rk72m7ovjuxjn0vcxqt,4100628613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4100628605,130,8,4100628603,59,"1, 2, 5, 6, 3, 25, 15, 8, 9, 99, 93, 11, 13, 14, 17, 20, 24, 49, 58, 96",4100628601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4100628599,30,"8i6yz8rk72m7ovjuxjn0vcxqt, 4xf79nz0hvi8o83ta08cftffu, dy434rgboexxvq6tgr8gwef9x, 5sjuufrdq1rx6senkjjgtimsp, 3par6lcu330qnblngnl7b209h, 3uwyni9c8q0rprd1nhtt073e1, 7q7awmtwv66htmei0xy1hzdn9, 4k6v874ygp633amqtbp1g9nth, 22cd6gzfwo341qai1o6014251, 2cso52su6r9afugn6mhw2bl9m, netr5hv4nn69u7twf7u892hh, dqqj2g1jdn57o1j12ycaa2a96, 94pujujlsh98axp2fdflycahg, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, 1im5k8tl0j4weq6bkwet3le96, 5yrugwes9msd3cd5hhrluivah, b2klrrbklz788iu4vd46j0e3u, 6k45sak4jgjqew0dpkcil4hyh",4100628607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667281,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-03-16T13:00:40.291Z,2023-03-16T13:00:42Z,4100681689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667273,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-03-16T13:00:40.291Z,2023-03-29T08:30:39Z,4100681669,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667289,3,1,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,50.5,49.9,2023-03-16T13:00:40.345Z,2023-03-30T03:50:07Z,4100681731,140,30.5,4100681733,141,60.2,4100681735,212,22.1,4100681737,213,2.8,4100681739,279,S,4148945501,178,,4100681729,56,Back,,,,2cso52su6r9afugn6mhw2bl9m,Hamad Al Abdan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667297,4,1,1,0,5,7w4300dn2tnd0eqmbtk531tkx,1,40.7,69.3,2023-03-16T13:00:45.849Z,2023-03-30T03:50:10Z,4148945521,178,,4100681781,140,41.9,4100681783,141,93.3,4100681785,212,16.4,4100681779,56,Back,4100681787,213,1.5,,,,,,,3uwyni9c8q0rprd1nhtt073e1,I. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667307,5,1,1,0,8,7w4300dn2tnd0eqmbtk531tkx,0,41.9,94.7,2023-03-16T13:00:48.362Z,2023-03-30T03:50:15Z,4100681833,141,81.8,4100681835,212,51.9,4100681831,140,90.6,4100681829,56,Left,4100681839,1,,4100681837,213,6.1,4100681827,155,,4148945529,178,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667317,3,49,1,0,11,f0zsn74nz0o01gr30weun240i,1,10.4,12.8,2023-03-16T13:00:51.909Z,2023-03-30T03:50:19Z,,,,,,,,,,,,,,,,,,,,,,,,,bkpoy149cdahszf7g50fdox04,Hassan Al Jubairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667323,4,1,1,0,13,f0zsn74nz0o01gr30weun240i,1,10.4,12.8,2023-03-16T13:00:53.406Z,2023-03-30T03:50:23Z,4100681897,213,5.5,4148945559,178,,4100681895,212,3.1,4100681893,141,9.5,4100681889,56,Back,4100681891,140,12.4,,,,,,,bkpoy149cdahszf7g50fdox04,Hassan Al Jubairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520667335,5,1,1,0,15,f0zsn74nz0o01gr30weun240i,1,13.2,10.9,2023-03-16T13:00:55.732Z,2023-03-30T03:50:27Z,4100681937,140,7.9,4148945567,178,,4100681943,213,1.9,4100681941,212,16.3,4100681935,56,Back,4100681939,141,33.4,,,,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
