id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value
2498634333,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T14:04:24.351Z,2023-01-19T15:10:13Z,3984545451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3984621885,197,620,3984545457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984545461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984545459,194,4upzspmuautmtl51yxe3kva39,3984545455,130,8,3984545449,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, bg3kdsod1j0u3yk1jw5ndu9sk, emkg78pm7xdjkkt2w0yd8vh79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, 1cpbxhov5ypi6ez7k09oxo5w5, cfjp3mf7meekpcsx7hjrql79, aatjvj13ffwrj81vcfy68fnit, 6lpj04km1rma60n8l66q0hd5h, 7us8hoqv66v0fqos94zxijk2y, eqdev00exzhrls89wj77cdzp, 8g2nbo0z5g733zb4wzuo2390q, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, 38qgiazulsyaxmvqqrdjlw2l0, 1ow25k1m9n3pf4r5s0erkqw2d, dfp7gtib09b9l0bdqfl89m356",3984545453,59,"34, 33, 12, 3, 20, 26, 90, 19, 9, 10, 70, 5, 13, 14, 21, 24, 27, 36, 80, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498635429,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-01-19T14:08:59.457Z,2023-01-19T15:16:58Z,3984551529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984551525,194,d3hiwrqyxc7ff8vlwk35tnsru,3984551517,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3984551523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984551521,130,11,3984551527,197,6685,3984551515,30,"5hewtfw3vtddu8u3qmueyv4yd, dr0tmxtk2sx5am4xmm6qw72ll, 483s97qezyiz91n8qzwjd7uuh, 7qmg0s07y1tkthgu8zwa599ed, d3hiwrqyxc7ff8vlwk35tnsru, 9vsqe0uy76u157na942hdokx5, 9k81fwyq8bbyhckt5t80fvwet, 61u0tfe67undvqqutes55k2xh, 9q7c1bn4dgyhoqto46puqeevp, beeunz2xxmos83md5kmsy4hqt, 5zmh9fz8vr0jcgt8zic0vyve2, 85paqhbw10m5ra3set109qz9, dozljiegaplgkxwywguqomeei, 6m2uqbr8e3v4hcg8r02ee1ec5, 28pvmv8slheuqzsh4eok2t905, cd3zg2t4cq4ghoh61kri7vaad, 6ryod1z32yns7blzdxvhwmzqi, 576sxo24s5ktc0t9chfh9v4d1, dybfeu5czibo3vri357z8yrpx, azjpcg32pigro8iunnll88wyd",3984551519,59,"88, 80, 3, 33, 4, 22, 27, 37, 23, 10, 18, 1, 6, 7, 8, 9, 16, 17, 19, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648853,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:01:28.886Z,2023-01-21T09:25:04Z,3984625043,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648859,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-01-19T15:01:28.886Z,2023-01-19T15:01:30Z,3984625067,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648871,3,1,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,50,50,2023-01-19T15:01:28.948Z,2023-01-21T10:37:21Z,3984625107,141,61.5,3986779873,178,,3984625111,213,2.6,3984625113,279,S,3984625105,140,38.1,3984625109,212,14.7,3984625103,56,Back,,,,9q7c1bn4dgyhoqto46puqeevp,M. Pavkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648879,4,1,1,0,1,ebcxfnmnxrxvv6lcjsahgd38j,1,38.1,61.5,2023-01-19T15:01:30.683Z,2023-01-21T10:37:26Z,3984625183,140,42.1,3984625185,141,92.9,3986779909,178,,3984625189,213,1.4,3984625181,56,Back,3984625187,212,21.8,,,,,,,beeunz2xxmos83md5kmsy4hqt,Víctor Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648881,5,1,1,0,5,ebcxfnmnxrxvv6lcjsahgd38j,1,42.1,92.9,2023-01-19T15:01:33.936Z,2023-01-21T10:37:30Z,3984625193,56,Back,3984625195,140,40.4,3984625199,212,9.1,3984625201,213,4.5,3986779929,178,,3984625197,141,79.8,,,,,,,483s97qezyiz91n8qzwjd7uuh,Bandar Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648891,6,1,1,0,6,ebcxfnmnxrxvv6lcjsahgd38j,1,40.4,79.8,2023-01-19T15:01:35.240Z,2023-01-21T10:37:33Z,3984625253,141,81.6,3984625249,56,Back,3984625255,212,12.1,3986779973,178,,3984625257,213,3.0,3984625251,140,28.9,,,,,,,beeunz2xxmos83md5kmsy4hqt,Víctor Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648893,7,1,1,0,9,ebcxfnmnxrxvv6lcjsahgd38j,0,28.9,81.6,2023-01-19T15:01:38.228Z,2023-01-21T10:37:37Z,3986780031,178,,3984625261,56,Back,3984625267,212,17.4,3984625263,140,42.8,3984625265,141,67.8,3984625269,213,5.7,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498652555,270,49,1,0,10,2kzl64gp8x37bon8tyxojqrr1,1,66.3,31,2023-01-19T15:01:39.473Z,2023-01-21T10:37:55Z,,,,,,,,,,,,,,,,,,,,,,,,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648905,3,43,1,0,10,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:01:39.594Z,2023-01-28T11:08:45Z,3984625335,56,Center,3986780921,178,0,3997977943,144,61,,,,,,,,,,,,,,,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498651741,207,43,1,0,13,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:01:42.468Z,2023-01-19T15:25:06Z,3984646767,144,50,3984643587,286,0,3984640793,56,Center,,,,,,,,,,,,,,,,7us8hoqv66v0fqos94zxijk2y,Haroune Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
