id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2503600857,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-02-04T11:58:24.194Z,2023-02-04T11:58:24Z,4010604407,194,f0fot1juj3i62tt8i2vybnjdh,4010604405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010604395,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4010604409,197,3316,4010604391,30,"c2mhdatj96x8eug6mekactrkl, 5ffogjpb96mfoihuw7pu5pl91, bhdvvtp8iu46et3iqfn6c8f3e, 3hzwwygv4u0vn68g4z3taqj1l, b6o9hx5v7y8t4hc6t3k4vrv11, bodbz7zwlae3zytzhmbk5ncwk, 8tvytrvm8g922nxp2sjc7lxp1, 3s3rnrrv8i4rb0x7vaa5mhvpx, egk2nnpvvup731trr0x2kj696, f0fot1juj3i62tt8i2vybnjdh, 9kn5o2yki8zu3wihjwqjort9l, 37ozmigs9h3hachibcihs8t05, a8tgq32yvdrxup21s75ktvtw4, bkpoy149cdahszf7g50fdox04, 8y6x61qorr95ai62ko6yo6cr8, 22nbr9lhehz7zxfpml2cdfx4a, czk2wmpl7wu9ogvo8oyij1t5h, 2j2uxep3rot3fwdq27b2im9qt, d0hq3mzumz2pvhkx2cxvalqsp, 9i2vkt05nwdi1v6iqiyv3hl91",4010604411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010604403,130,8,4010604399,59,"1, 40, 12, 30, 5, 4, 10, 7, 9, 11, 27, 3, 6, 19, 23, 24, 26, 32, 44, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503605687,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-02-04T12:07:02.171Z,2023-02-04T12:07:02Z,4010628029,194,4upzspmuautmtl51yxe3kva39,4010628019,30,"5il4uc7d941ndwjl0qu97y7dh, 8g2nbo0z5g733zb4wzuo2390q, dfp7gtib09b9l0bdqfl89m356, emkg78pm7xdjkkt2w0yd8vh79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, 29i4ruk1vkwrl1w9vg9ggqpqt, cfjp3mf7meekpcsx7hjrql79, aatjvj13ffwrj81vcfy68fnit, 6lpj04km1rma60n8l66q0hd5h, du6wgayjqw7jqjh770c43vvmd, eqdev00exzhrls89wj77cdzp, 79n11s84csv7ur8atv9qbi3o4, e6prms9eb7zao76xzfbmdbbx0, d3sjamk5urj3zpdece4bopadx, dertlfklisnxnba0zl5lpp7u1, 56umgnm066b18r5v5m7xduead, 38qgiazulsyaxmvqqrdjlw2l0, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",4010628033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010628023,59,"34, 13, 95, 3, 20, 26, 17, 19, 9, 10, 11, 5, 14, 16, 21, 27, 33, 36, 70, 80",4010628031,197,620,4010628021,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4010628025,130,8,4010628027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644661,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-02-04T13:01:02.676Z,2023-02-23T10:01:32Z,4010822427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644667,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-02-04T13:01:02.676Z,2023-02-04T13:01:05Z,4010822459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644675,3,1,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,50,50,2023-02-04T13:01:02.775Z,2023-02-23T10:11:16Z,4050462987,178,,4010822495,212,15.5,4010822497,213,2.6,4010822491,140,37.2,4010822489,56,Back,4010822493,141,61.5,4010822499,279,S,,,,aatjvj13ffwrj81vcfy68fnit,A. Hamed Allah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644701,4,1,1,0,2,2kzl64gp8x37bon8tyxojqrr1,1,37.3,59.9,2023-02-04T13:01:04.883Z,2023-02-23T10:13:13Z,4010822617,141,31.7,4010822615,140,37.3,4010822613,56,Back,4010822619,212,19.2,4050465779,178,,4010822621,213,4.7,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644745,5,1,1,0,4,2kzl64gp8x37bon8tyxojqrr1,1,37.3,31.7,2023-02-04T13:01:07Z,2023-02-23T10:13:16Z,4010822843,212,13.8,4010822837,56,Back,4010822839,140,33.3,4010822841,141,12.4,4050465883,178,,4010822845,213,4.4,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644795,6,1,1,0,6,2kzl64gp8x37bon8tyxojqrr1,1,33.3,12.4,2023-02-04T13:01:09.013Z,2023-02-23T10:13:19Z,4010823031,140,23.3,4010823033,141,32.2,4010823029,56,Back,4050465967,178,,4010823037,213,2.2,4010823035,212,17.1,,,,,,,8g2nbo0z5g733zb4wzuo2390q,Muhannad Al Shanqiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644853,7,1,1,0,9,2kzl64gp8x37bon8tyxojqrr1,1,23.3,32.2,2023-02-04T13:01:11.747Z,2023-02-23T10:13:22Z,4010823291,56,Back,4010823293,140,23.9,4010823299,213,1.6,4050466077,178,,4010823297,212,30.3,4010823295,141,76.8,,,,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503644875,8,1,1,0,13,2kzl64gp8x37bon8tyxojqrr1,1,26.6,80.1,2023-02-04T13:01:16.536Z,2023-02-23T10:13:29Z,4010823443,212,24.8,4010823439,140,32.8,4010823441,141,44.9,4050466365,178,,4010823445,213,5.0,4010823437,56,Back,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
