id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2470619295,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-10-11T16:24:42.689Z,2022-10-11T17:39:18Z,3836774385,130,4,3836858895,197,608,3836774389,194,1imyf62l4rk4oyith29w5bhzp,3836774381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3836774391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836774387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836774379,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, 9kbzdpxg4ud1m8wppt1s1roq, a7sgm3cmjoxjjxanrad02l2lm, 1x2kly8qv2vxujs6d0tgdt0id, 9p1b5iftds5x02tx2eyseaklx, 4c540mry6f9esodej103n6xka, 5brwa0y63724t6s3y6gtz28yx, 7rno5g3b18rzi95yfx6u9bs9h, 1imyf62l4rk4oyith29w5bhzp, 4dgh6inzkttm82amjagcy62mt, dpuogllbip7f2jpamgohjkfyt, 9j37dmdxamf5ykbw9l24wlt6, 8hw7lxbdh3zllchj5arfyc8np, 591kms3hpu9j70pl9an3kfx90, 9brcp1e0kz59x1g4j73a54m50, 8fnnkhu8buuejfilvhgtpv7ro, 9w8b4bdj7ox6hw6hkmhx9emfo, 4ohzz1rcha2ofjzj9p81dbj10, dvt8h9sh00qsqzhrb3y4fco9h",3836774383,59,"48, 2, 70, 6, 32, 14, 16, 98, 27, 7, 10, 4, 15, 17, 20, 5, 29, 44, 76, 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470619533,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2022-10-11T16:25:38.932Z,2022-10-11T18:25:36Z,3836775735,194,d3hiwrqyxc7ff8vlwk35tnsru,3836775729,59,"1, 22, 3, 37, 4, 33, 10, 8, 9, 18, 7, 6, 16, 17, 23, 26, 55, 66, 80, 98",3836775727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3836775737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836775733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836858793,197,6685,3836775731,130,8,3836775725,30,"85paqhbw10m5ra3set109qz9, 9vsqe0uy76u157na942hdokx5, 483s97qezyiz91n8qzwjd7uuh, 61u0tfe67undvqqutes55k2xh, d3hiwrqyxc7ff8vlwk35tnsru, 7qmg0s07y1tkthgu8zwa599ed, beeunz2xxmos83md5kmsy4hqt, 28pvmv8slheuqzsh4eok2t905, cd3zg2t4cq4ghoh61kri7vaad, 5zmh9fz8vr0jcgt8zic0vyve2, 6m2uqbr8e3v4hcg8r02ee1ec5, dozljiegaplgkxwywguqomeei, 6ryod1z32yns7blzdxvhwmzqi, 576sxo24s5ktc0t9chfh9v4d1, 9q7c1bn4dgyhoqto46puqeevp, azjpcg32pigro8iunnll88wyd, 82kieoxo5yd4n8ox13dtl4zbp, arqaprcadqfrz0tj3iouo98t1, dr0tmxtk2sx5am4xmm6qw72ll, 1dtpzd3m6rhsrc1vk1ddzk2jt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635315,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2022-10-11T17:30:21.699Z,2022-11-02T19:24:48Z,3836864147,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635309,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-10-11T17:30:21.699Z,2022-10-11T17:30:21Z,3836864119,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635339,3,1,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,50,50,2022-10-11T17:30:22.185Z,2022-10-16T20:39:06Z,3836864255,213,0.6,3836864249,140,53.4,3850898303,178,,3836864259,278,,3836864251,141,53.4,3836864247,56,Center,3836864253,212,4.3,3836864257,279,S,7rno5g3b18rzi95yfx6u9bs9h,Vitinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635607,15,1,1,0,2,7dkxxicrwn77jpdfkwpnlnnyn,1,63.5,47.8,2022-10-11T17:30:24.136Z,2022-10-16T20:39:26Z,3836865815,141,41.9,3850899493,178,,3836865819,213,5.0,3836865811,56,Center,3836865813,140,64.8,3836865817,212,4.2,,,,,,,4dgh6inzkttm82amjagcy62mt,N. Sliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635341,4,50,1,0,3,7dkxxicrwn77jpdfkwpnlnnyn,1,65.6,39.8,2022-10-11T17:30:25.145Z,2022-10-16T20:39:31Z,3836864353,233,3,3836864263,56,Center,3836864265,286,,,,,,,,,,,,,,,,,7rno5g3b18rzi95yfx6u9bs9h,Vitinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635349,3,7,1,0,3,ebcxfnmnxrxvv6lcjsahgd38j,0,34.4,60.2,2022-10-11T17:30:25.443Z,2022-10-16T20:43:09Z,3836864311,56,Back,3836864313,285,,3840226603,385,,3850900067,178,,3836864329,233,4,,,,,,,,,,6m2uqbr8e3v4hcg8r02ee1ec5,A. Trajkovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635561,14,61,1,0,3,7dkxxicrwn77jpdfkwpnlnnyn,1,63.3,38.9,2022-10-11T17:30:25.543Z,2022-10-16T20:43:29Z,3850909227,178,,3836865555,56,Center,,,,,,,,,,,,,,,,,,,7rno5g3b18rzi95yfx6u9bs9h,Vitinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635353,4,49,1,0,4,ebcxfnmnxrxvv6lcjsahgd38j,1,28.1,53.9,2022-10-11T17:30:26.025Z,2022-10-16T20:43:36Z,,,,,,,,,,,,,,,,,,,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635361,5,1,1,0,4,ebcxfnmnxrxvv6lcjsahgd38j,0,28.1,53.9,2022-10-11T17:30:26.073Z,2022-10-16T20:43:43Z,3836864367,140,38.5,3836864365,56,Back,3836864371,212,12.2,3850913345,178,,3836864373,213,5.8,3836864369,141,45.8,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635371,5,49,1,0,6,7dkxxicrwn77jpdfkwpnlnnyn,1,63,55.5,2022-10-11T17:30:28.176Z,2022-10-16T20:43:52Z,,,,,,,,,,,,,,,,,,,,,,,,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
