id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/12/value,assist,qualifier/18/value
2494365463,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-31T16:15:49.765Z,2022-12-31T17:29:58Z,3962076743,130,2,3962145447,197,618,3962093623,194,9vt5q842htj38cblrh1v62qj9,3962076741,59,"1, 66, 16, 28, 20, 5, 19, 26, 10, 9, 29, 4, 8, 11, 15, 21, 42, 70, 88, 96",3962076739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962076747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962076745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962076737,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 14dpnweb51v7re2xa3qkpulex, d25hyz1ov3mdflbnbyc9okrmd, inbrwc7gw6d1z8x60nl0padx, av4e1au7cz1s6rmz5u45l4yjt, 2lkra7wic5b481l7qybjh8lx, 2rke2vs37xud2tqb5frwmusbt, f53lu15h3s3mhmj2u7ztabd1x, 6wjktx17kp8g29h9gw27lwez9, 2ghv5nqgyn0wv9ekdx1ow0445, p3ebcmbu5i9le8czo76ngm0a, 2i9cy7dt9zn1jz96h61oo2m6t, 5muk6frafyj5lj1jdg54z2thx, dw77jbua2ppd6hru05mlhbetx, c4zklinh3sa5kchbvjugn0s0l, cotgnu5iq5oiiwo9t5yp5lel0, 574pdpfxal0lsopnsnz17ciqd, 27jg2mdzgw4bt7l4215hq12sq, 1jfxkmks9lci345fiz9z2gfl5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494368665,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-12-31T16:28:48.195Z,2022-12-31T17:37:58Z,3962094107,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962094109,59,"30, 23, 32, 40, 15, 4, 2, 10, 11, 6, 49, 7, 14, 8, 12, 18, 20, 22, 24, 99",3962094105,30,"exmyiidka52uylmreef9fpn85, 12aymg9roti0joastjxyswzqh, 5zwi7f2u6vd88wvc00ynpv209, 465tn4volgmbkntekrvwuvmne, 5376r1hbhrywje7cys1vcyb4l, cp8kbj12wth398bnglywepk9, 1fypwti6kn4ae12fc9outj845, 9d3t6xtk6bceipt63k6c5rnit, 6yga33ui0heg0zkpe4r3kznmy, cgwl99clcp8j1z4tq5n0bh9ed, 5yrugwes9msd3cd5hhrluivah, 5x2mcnjeclk64b5l9o2h4d5g5, 30k7kvnsp7a4gsl43gun7yhyi, 2rdvd4egt9kk7cocies197i6t, g15ldg2cnu1otbiwsm3dppg4, 6i6o3ix1opt8h0zxfi2n8bnqh, 2j90w131xjmie2ozb2wb6a6p6, paq60rfkhm8gy9412w5tuo0k, deh42a9ovtkyfppy2pmthdre1, dcv72l1n3nkz6aybcnqwfu5g4",3962094113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962094115,194,5376r1hbhrywje7cys1vcyb4l,3962094117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962094111,130,11,3962146019,197,4263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377965,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-12-31T17:30:12.499Z,2022-12-31T17:30:12Z,3962146065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377967,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-31T17:30:12.499Z,2023-01-05T10:28:59Z,3962146067,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377973,3,1,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,49.5,50,2022-12-31T17:30:12.521Z,2023-01-05T18:44:17Z,3962146073,56,Back,3962146083,279,S,3966559779,178,,3962146081,213,3.4,3962146077,141,46.0,3962146079,212,13.1,3962146075,140,37.3,,,,6yga33ui0heg0zkpe4r3kznmy,Abdulelah Al Shammry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377977,4,1,1,0,3,4djrvao40r1vgr4psfl5dzc80,1,36.9,45.2,2022-12-31T17:30:16.253Z,2023-01-05T18:44:25Z,3962146107,212,11.0,3962146105,141,30.1,3962146109,213,4.4,3962146101,56,Back,3962146103,140,33.2,3966559867,178,,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377985,5,1,1,0,5,4djrvao40r1vgr4psfl5dzc80,0,33.5,30.1,2022-12-31T17:30:18.494Z,2023-01-05T18:44:29Z,3962146141,1,,3962146131,56,Right,3966559951,178,,3962146137,212,38.1,3962146135,141,14.9,3962146139,213,6.0,3962146129,155,,3962146133,140,68.4,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377987,3,1,1,0,8,c9swyor08g9pedxpe3n321svu,1,28.7,90.5,2022-12-31T17:30:21.201Z,2023-01-05T18:44:40Z,3962146143,3,,3962146153,213,5.4,3966560155,178,,3962146149,141,68.7,3962146145,56,Back,3962146147,140,39.8,3962146151,212,18.9,,,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495223395,1122,43,1,0,10,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-31T17:30:23.112Z,2023-01-06T05:48:35Z,3966752335,144,67,3966595821,233,967,,,,,,,,,,,,,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495257337,1876,67,1,0,10,c9swyor08g9pedxpe3n321svu,1,40.3,66.7,2022-12-31T17:30:23.112Z,2023-01-06T06:17:13Z,3966752375,233,1550,,,,,,,,,,,,,,,,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
