id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497362561,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-01-14T16:37:30.813Z,2023-01-14T17:30:56Z,3977845133,194,68cm9uvlgmi1q5xfki3g31i39,3977845135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977845127,59,"18, 27, 24, 23, 4, 5, 15, 10, 8, 13, 11, 14, 25, 26, 35, 16, 71, 77, 88, 90",3977845125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3977845123,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, 8sllxmpst47s6c46fgtv1q47p, bepcao7uiozczrxbhc7fjjis5, 2gef3rw1e1q3d7qudetpgvbop, dcl1lgczly52fg4f7oh8se6l1, 68cm9uvlgmi1q5xfki3g31i39, ytjrtqtximxhs52bfsezogk5, bdtfe5xkr2grbxqkgpntbypjp, cstghu0b2nh9pfzn5p6me7jkl, dtpcc6ygdn9j8k42h00sfq0np, 7ipoeovwu083w9os88ajsr36x, e9vibltkrv53iodnepbqmtzbo, 3qum8ho760i5bw8ejmkjfdec5, d5e7ou0odurdq9omp4tk16ck4, 3m67z6okk8i52z0b6widofxsl, 93ysty1r8uw717axrz77q88ut, 9e8phbwelzhbdk0bfsuyu4a5m, 2h8nzsxn9dbpde8ftaj7hpbrp",3977845131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978093305,197,686,3977845129,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497370125,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-01-14T16:41:36.636Z,2023-01-14T17:25:40Z,3978085413,197,678,3977886507,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3977886505,30,"9n8332rcl3v2jq0b791i0s5w5, 74yjko6gbejstpnhkr1gn8xxx, 1t15mjei0rp87wgz2jseajutx, eiarh2kihedqxxoftjyi55td5, 114zbg6z77mdio95dbl9v27dh, 4uyfs1epryrirnq46jttxm6sp, dayca044hynhii8kgr7g1azth, rbhqo1mjhl4j1enpfpbehlgp, 4lhyi7xvorswax9xwmz4v5tqt, ddb6de7pli57w8z163ztwczx1, 12x5lacdmnvc801277ugw9ecp, 9mdjn6gf4q36hyghfz03fubjd, drd86nrgxki1eobo3pam0jk5x, bfbozn43eclzjwzz8nt69ktsl, bwj0ic6ljwuzim9zsmosx4hxx, 8h4z74vxc8qqbmwelwpo8oq5m, 2roupcmw8nog7w9ts8z7wv1ed, 8wxgeu7xdeuvvuhn5ga0vu4q2, 4u3pq05nvcw6aemv99pbiopp0, cpws4xoaun4lc21p379rpd59l",3977886513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977886515,194,74yjko6gbejstpnhkr1gn8xxx,3977886509,59,"25, 2, 77, 78, 21, 5, 18, 17, 94, 10, 14, 1, 3, 8, 9, 19, 20, 23, 27, 29",3977886517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977886511,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409153,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-01-14T17:30:57.187Z,2023-01-14T17:32:03Z,3978093339,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409177,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-01-14T17:30:57.187Z,2023-01-19T23:25:28Z,3978093451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409197,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,50,50,2023-01-14T17:30:57.945Z,2023-01-20T20:39:50Z,3978093511,56,Back,3978093517,212,16.7,3978093513,140,34.2,3978093515,141,52.5,3986270799,178,,3978093519,213,3.0,3978093521,279,S,,,,4lhyi7xvorswax9xwmz4v5tqt,Talisca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409237,4,1,1,0,5,57jcqe38hakh2hfit2zsogsb,1,35.9,51.3,2023-01-14T17:31:02.541Z,2023-01-20T20:39:54Z,3986271039,178,,3978093663,56,Right,3978093665,140,67.2,3978093667,141,2.1,3978093661,155,,3978093671,213,5.5,3978093673,1,,3978093669,212,46.9,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409255,5,1,1,0,10,57jcqe38hakh2hfit2zsogsb,0,77.1,2.7,2023-01-14T17:31:07.402Z,2023-01-20T20:40:01Z,3978093789,56,Center,3978093791,140,90.4,3986271439,178,,3978093797,213,1.1,3978093795,212,33.9,3978093799,1,,3978093785,2,,3978093787,155,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,3978093793,141,48.1,3982225745,224,3982225747,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409257,3,44,1,0,11,2ry1fixv27p3xepazsxcuyoho,1,8.4,46.9,2023-01-14T17:31:08.626Z,2023-01-24T21:58:22Z,3978093803,56,Back,3978093805,285,,3978093871,233,6,,,,,,,,,,,,,,,,bepcao7uiozczrxbhc7fjjis5,Iago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409259,6,44,1,0,11,57jcqe38hakh2hfit2zsogsb,0,91.6,53.1,2023-01-14T17:31:08.627Z,2023-01-20T20:40:06Z,3978093897,233,3,3978093807,56,Center,3978093903,286,,,,,,,,,,,,,,,,,4lhyi7xvorswax9xwmz4v5tqt,Talisca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409263,4,12,1,0,11,2ry1fixv27p3xepazsxcuyoho,1,7.1,41.9,2023-01-14T17:31:08.712Z,2023-01-24T21:58:23Z,3986272287,178,,3978093819,213,0.5,3978093813,140,8.4,3978093861,15,,3978093815,141,43.0,3978093817,212,1.6,3978093811,56,Back,,,,bepcao7uiozczrxbhc7fjjis5,Iago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409275,7,61,1,0,11,57jcqe38hakh2hfit2zsogsb,1,90.4,48.1,2023-01-14T17:31:08.745Z,2023-01-20T20:40:25Z,3978093875,56,Center,3986272983,178,,3986272981,15,,,,,,,,,,,,,,,,,4lhyi7xvorswax9xwmz4v5tqt,Talisca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409293,5,12,1,0,14,2ry1fixv27p3xepazsxcuyoho,1,10.2,72.7,2023-01-14T17:31:11.501Z,2023-01-20T20:40:30Z,3978093985,213,5.3,3978093983,212,20.3,3978093979,140,20.3,3986273213,178,,3978093981,141,47.2,3978093977,56,Back,,,,,,,8sllxmpst47s6c46fgtv1q47p,G. Krychowiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409297,6,1,1,0,15,2ry1fixv27p3xepazsxcuyoho,0,20.3,47.2,2023-01-14T17:31:13.158Z,2023-01-20T20:42:30Z,3978093999,56,Back,3978094001,140,29.1,3978093997,3,,3986279751,178,,3978094003,141,67.1,3978094005,212,16.4,3978094007,213,1.0,,,,bdtfe5xkr2grbxqkgpntbypjp,Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409319,8,1,1,0,17,57jcqe38hakh2hfit2zsogsb,1,67.2,30.8,2023-01-14T17:31:14.838Z,2023-01-20T20:42:36Z,3978094139,3,,3978094141,56,Center,3978094147,212,15.8,3978094143,140,72.9,3978094145,141,52.3,3986280031,178,,3978094149,213,1.2,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409351,9,1,1,0,19,57jcqe38hakh2hfit2zsogsb,1,72.9,52.3,2023-01-14T17:31:16.467Z,2023-01-20T20:42:42Z,3978094321,141,79.2,3986280179,178,,3978094319,140,74.2,3978094323,212,18.3,3978094325,213,1.5,3978094317,56,Left,,,,,,,12x5lacdmnvc801277ugw9ecp,Sami Al Naji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409401,10,1,1,0,25,57jcqe38hakh2hfit2zsogsb,1,79.2,93.2,2023-01-14T17:31:22.870Z,2023-01-20T20:43:16Z,3978094499,213,3.0,3978094495,141,95.9,3978094493,140,66.5,3978094497,212,13.5,3978094491,56,Left,3986281951,178,,,,,,,,1t15mjei0rp87wgz2jseajutx,J. Masharipov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409439,11,1,1,0,28,57jcqe38hakh2hfit2zsogsb,1,65.8,95.2,2023-01-14T17:31:26.151Z,2023-01-20T20:43:22Z,3978094675,140,64.5,3978094673,56,Center,3978094677,141,78.5,3978094681,213,4.6,3986282371,178,,3978094679,212,11.4,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409501,12,1,1,0,31,57jcqe38hakh2hfit2zsogsb,1,67.1,82.2,2023-01-14T17:31:29.067Z,2023-01-20T20:43:26Z,3978094901,140,82.5,3978094907,213,0.5,3978094903,141,94.1,3978094905,212,18.1,3978094899,56,Left,3986282583,178,,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409527,13,1,1,0,36,57jcqe38hakh2hfit2zsogsb,1,80.5,91.9,2023-01-14T17:31:33.600Z,2023-01-20T20:43:30Z,3978095037,213,3.9,3978095033,141,83.4,3978095035,212,8.5,3986282875,178,,3978095031,140,74.6,3978095029,56,Left,,,,,,,1t15mjei0rp87wgz2jseajutx,J. Masharipov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409545,14,1,1,0,38,57jcqe38hakh2hfit2zsogsb,1,73.5,80.7,2023-01-14T17:31:35.759Z,2023-01-20T20:43:35Z,3986283113,178,,3978095125,140,69.3,3978095123,56,Center,3978095127,141,48.2,3978095131,213,4.5,3978095129,212,22.5,,,,,,,rbhqo1mjhl4j1enpfpbehlgp,Abdullah Al Khaibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409557,15,1,1,0,40,57jcqe38hakh2hfit2zsogsb,1,69.3,48.2,2023-01-14T17:31:38.076Z,2023-01-20T20:43:39Z,3986283361,178,,3978095193,213,3.3,3978095189,141,46.4,3978095191,212,8.1,3978095185,56,Center,3978095187,140,61.7,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497409559,16,1,1,0,41,57jcqe38hakh2hfit2zsogsb,0,61.7,46.4,2023-01-14T17:31:39.113Z,2023-01-20T20:43:43Z,3978095201,141,26.2,3978095203,212,20.5,3978095205,213,5.5,3978095197,56,Center,3986283621,178,,3978095199,140,76.2,,,,,,,4uyfs1epryrirnq46jttxm6sp,Abdulelah Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
