id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2491746871,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2022-12-16T11:36:46.684Z,2022-12-16T12:29:45Z,3948160911,130,4,3948249299,197,3316,3948160907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948160913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948249297,194,f0fot1juj3i62tt8i2vybnjdh,3948160915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948160905,30,"c2mhdatj96x8eug6mekactrkl, 8y6x61qorr95ai62ko6yo6cr8, bhdvvtp8iu46et3iqfn6c8f3e, 3hzwwygv4u0vn68g4z3taqj1l, b6o9hx5v7y8t4hc6t3k4vrv11, 2zayusqc1wlmawb2kojmtsmad, 3s3rnrrv8i4rb0x7vaa5mhvpx, 7ieikgigejp7rmvrsra8mj1lh, egk2nnpvvup731trr0x2kj696, 8tvytrvm8g922nxp2sjc7lxp1, f0fot1juj3i62tt8i2vybnjdh, 37ozmigs9h3hachibcihs8t05, a8tgq32yvdrxup21s75ktvtw4, 2ff2szax8e6tod2rts23ok9re, bkpoy149cdahszf7g50fdox04, 22nbr9lhehz7zxfpml2cdfx4a, czk2wmpl7wu9ogvo8oyij1t5h, 9kn5o2yki8zu3wihjwqjort9l, d0hq3mzumz2pvhkx2cxvalqsp, 3l4wzldk0b5yrcj20zel3gr85",3948160909,59,"1, 23, 12, 30, 5, 45, 7, 8, 9, 10, 11, 3, 6, 18, 19, 24, 26, 27, 44, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491746921,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-12-16T11:36:50.925Z,2022-12-16T12:35:32Z,3948248941,194,jm8cn996mibk0hwauxvsb1lh,3948161217,59,"16, 39, 31, 21, 19, 3, 18, 10, 9, 8, 7, 4, 6, 11, 13, 14, 33, 77, 88, 89",3948247839,197,6795,3948161213,30,"7qirhp2v0034pkiwvnmsfd785, 9o288vygjpcv3noeqnrnqh3ah, bgac6td6x8qi2o7o5ofrj3t1x, c706bwqqpdkdk2zqzmop9wm39, bwew6i3fnis40s77t3e3sal0p, jm8cn996mibk0hwauxvsb1lh, 6msbre1fcjcrvqyzoozo43sb8, 483n2f7a1xkseruh77bj7rxed, 17rl734wbbzbxvj33id7j9l62, dp5fmyett2g7fvus88m85fsut, 6fy868uh27umb1dafjy7tk2xh, dxy1gb64e1hokq26qqnigirpx, 7hi572oc3pv3uowvv4cupijmd, c8h2fwbtb1bs0i68fb730vpwp, 97gy3oursbjphkf5t85x9wy96, 1qt77p34tr6jf5vl5pzbh8zfu, 4jspfn1jca5yzxbhn8p2p06ax, embrr58160gq57nfexeif3xsl, 2ycm47qi7qr17i31a8f6oq9gq, btjt8zqd248l6mk9b2obdsr1l",3948161223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948161215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948161219,130,7,3948161221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763477,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2022-12-16T12:30:17.929Z,2022-12-16T12:30:20Z,3948251031,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763471,3,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-12-16T12:30:17.929Z,2022-12-21T04:46:51Z,3948251007,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763485,3,1,1,0,0,f0zsn74nz0o01gr30weun240i,1,50.1,50.1,2022-12-16T12:30:17.943Z,2022-12-21T04:53:09Z,3948251065,141,52.6,3952765933,178,,3948251071,279,S,3948251069,213,3.0,3948251061,56,Back,3948251063,140,36.6,3948251067,212,14.3,,,,egk2nnpvvup731trr0x2kj696,G. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763497,4,1,1,0,4,f0zsn74nz0o01gr30weun240i,1,35.3,57.3,2022-12-16T12:30:22.137Z,2022-12-21T04:53:18Z,3948251143,212,16.3,3952766157,178,,3948251139,140,34.8,3948251141,141,33.3,3948251137,56,Back,3948251145,213,4.7,,,,,,,3hzwwygv4u0vn68g4z3taqj1l,Alfa Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763511,5,1,1,0,5,f0zsn74nz0o01gr30weun240i,1,34.8,33.3,2022-12-16T12:30:23.801Z,2022-12-21T04:53:24Z,3952766213,178,,3948251231,56,Back,3948251233,140,32.9,3948251237,212,19.8,3948251235,141,4.3,3948251239,213,4.6,,,,,,,3s3rnrrv8i4rb0x7vaa5mhvpx,Mukhtar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763523,6,1,1,0,9,f0zsn74nz0o01gr30weun240i,1,32.9,4.3,2022-12-16T12:30:27.148Z,2022-12-21T04:53:28Z,3948251297,212,19.8,3948251293,140,24.0,3948251291,56,Back,3948251299,213,2.1,3952766247,178,,3948251295,141,30.0,,,,,,,8y6x61qorr95ai62ko6yo6cr8,Nawaf Al Qamiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763529,7,1,1,0,11,f0zsn74nz0o01gr30weun240i,1,24,30,2022-12-16T12:30:29.294Z,2022-12-21T04:53:32Z,3952766287,178,,3948251325,212,31.8,3948251327,213,1.5,3948251323,141,76.7,3948251319,56,Back,3948251321,140,25.3,,,,,,,b6o9hx5v7y8t4hc6t3k4vrv11,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491763533,8,1,1,0,14,f0zsn74nz0o01gr30weun240i,1,25.3,76.7,2022-12-16T12:30:32.674Z,2022-12-21T04:53:35Z,3948251351,213,0.9,3952766341,178,,3948251343,56,Back,3948251347,141,95.7,3948251345,140,34.7,3948251349,212,16.3,,,,,,,2zayusqc1wlmawb2kojmtsmad,Abdul Muhsen Fallatah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
