id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2495293781,9,1,1,0,17,o1iwuxbv233ayidxpibbxy59,1,46.3,75.3,2023-01-06T15:00:33.259Z,2023-01-14T05:05:54Z,3966942219,140,55.4,3966942217,56,Left,3966942221,141,96.2,3976126957,178,,3966942223,212,17.1,3966942225,213,1.0,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293783,10,1,1,0,19,o1iwuxbv233ayidxpibbxy59,1,54.7,94.5,2023-01-06T15:00:35.408Z,2023-01-14T05:05:58Z,3966942229,56,Back,3966942237,213,3.8,3966942231,140,38.0,3966942233,141,73.5,3976127021,178,,3966942235,212,22.6,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293785,11,1,1,0,21,o1iwuxbv233ayidxpibbxy59,1,36.7,67,2023-01-06T15:00:37.754Z,2023-01-14T05:06:01Z,3966942241,56,Back,3966942245,141,45.2,3966942247,212,15.0,3976127091,178,,3966942249,213,4.8,3966942243,140,38.6,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293791,12,1,1,0,25,o1iwuxbv233ayidxpibbxy59,1,38.2,40.6,2023-01-06T15:00:40.960Z,2023-01-14T05:07:24Z,3966942285,140,41.5,3966942283,56,Back,3976128149,178,,3966942291,213,4.9,3966942287,141,6.7,3966942289,212,23.3,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293795,13,1,1,0,28,o1iwuxbv233ayidxpibbxy59,1,41.5,6.7,2023-01-06T15:00:44.020Z,2023-01-14T05:07:30Z,3966942319,56,Back,3976128187,178,,3966942327,213,2.4,3966942321,140,25.9,3966942323,141,30.9,3966942325,212,23.2,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293801,14,1,1,0,35,o1iwuxbv233ayidxpibbxy59,1,42.8,50,2023-01-06T15:00:50.874Z,2023-01-14T05:07:33Z,3976128205,178,,3966942353,212,29.7,3966942355,213,1.4,3966942347,56,Back,3966942351,141,92.9,3966942349,140,48.3,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293807,15,1,1,0,38,o1iwuxbv233ayidxpibbxy59,1,49.8,93.5,2023-01-06T15:00:54.424Z,2023-01-14T05:07:36Z,3976128231,178,,3966942397,212,31.3,3966942391,56,Center,3966942399,213,5.9,3966942389,155,,3966942395,141,78.4,3966942393,140,78.0,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293809,16,1,1,0,40,o1iwuxbv233ayidxpibbxy59,1,78.1,78.7,2023-01-06T15:00:56.548Z,2023-01-14T05:07:50Z,3966942407,141,78.5,3966942409,212,5.7,3972375603,156,,3976128339,21,,3966942405,140,72.7,3966942403,56,Center,3976128337,388,,3966942411,213,3.2,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497053691,1132,67,1,0,41,o1iwuxbv233ayidxpibbxy59,1,73.8,79.7,2023-01-06T15:00:57.541Z,2023-01-14T08:11:01Z,3976210113,233,807,,,,,,,,,,,,,,,,,,,,,,8ab4hqpw7m6ocphleluf9sicp,Hassan Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497053689,807,67,1,0,41,7w4300dn2tnd0eqmbtk531tkx,0,26.2,20.3,2023-01-06T15:00:57.542Z,2023-01-14T07:42:02Z,3976210121,233,1132,,,,,,,,,,,,,,,,,,,,,,4k6v874ygp633amqtbp1g9nth,Lucas Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293815,17,1,1,0,41,o1iwuxbv233ayidxpibbxy59,0,72.7,78.5,2023-01-06T15:00:57.554Z,2023-01-14T08:11:01Z,3972376105,141,100.0,3966942449,56,Left,3972376103,140,76.4,3976128429,178,,3972376107,212,16.0,3972376109,213,1.3,,,,,,,8ab4hqpw7m6ocphleluf9sicp,Hassan Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293833,3,5,1,0,45,7w4300dn2tnd0eqmbtk531tkx,1,21.2,-2,2023-01-06T15:01:01.187Z,2023-01-14T05:07:57Z,3966942513,56,Back,3966942515,347,,3966942517,233,18,,,,,,,,,,,,,,,,4k6v874ygp633amqtbp1g9nth,Lucas Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293817,18,5,1,0,45,o1iwuxbv233ayidxpibbxy59,0,78.8,102,2023-01-06T15:01:01.187Z,2023-01-14T05:07:58Z,3966942521,233,3,3966942453,347,,3966942451,56,Left,,,,,,,,,,,,,,,,8ab4hqpw7m6ocphleluf9sicp,Hassan Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293835,4,1,1,0,57,7w4300dn2tnd0eqmbtk531tkx,1,23.3,0,2023-01-06T15:01:12.874Z,2023-01-14T05:08:05Z,3966942533,141,7.3,3966942535,212,15.7,3966942529,56,Back,3966942531,140,37.2,3966942527,107,,3966942537,213,0.4,,,,,,,4xf79nz0hvi8o83ta08cftffu,Omar Al Oudah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293841,5,1,1,0,59,7w4300dn2tnd0eqmbtk531tkx,0,39.2,7.4,2023-01-06T15:01:14.870Z,2023-01-14T05:08:08Z,3966942559,140,54.0,3966942561,141,16.8,3966942557,56,Right,3976128593,388,,3966942565,213,0.4,3966942553,3,,3966942563,212,16.8,3966942555,168,,22cd6gzfwo341qai1o6014251,S. Çikalleshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293845,19,49,1,1,1,o1iwuxbv233ayidxpibbxy59,1,43.6,70.9,2023-01-06T15:01:17.392Z,2023-01-14T05:08:12Z,,,,,,,,,,,,,,,,,,,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
