id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value
2517867189,9,1,1,0,9,c9swyor08g9pedxpe3n321svu,1,30.3,92.6,2023-03-10T17:30:48.548Z,2023-03-27T06:29:33Z,4085883759,141,72.7,4085883761,212,14.9,4085883763,213,4.3,4085883755,56,Back,4127383503,178,,4085883757,140,24.4,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867225,10,1,1,0,13,c9swyor08g9pedxpe3n321svu,1,25.2,71.7,2023-03-10T17:30:51.975Z,2023-03-27T06:31:58Z,4085883899,213,4.5,4085883895,141,43.6,4085883893,140,21.1,4085883891,56,Back,4085883897,212,19.6,4127450001,178,,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867293,11,1,1,0,16,c9swyor08g9pedxpe3n321svu,1,21.5,39.8,2023-03-10T17:30:54.742Z,2023-03-27T06:32:04Z,4127452837,178,,4085884229,212,21.1,4085884231,213,5.1,4085884223,56,Back,4085884225,140,28.3,4085884227,141,10.6,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867371,12,1,1,0,21,c9swyor08g9pedxpe3n321svu,1,24.6,9.7,2023-03-10T17:30:59.891Z,2023-03-27T06:32:08Z,4085884657,212,13.2,4127453709,178,,4085884659,213,3.1,4085884655,141,10.1,4085884653,140,12.0,4085884651,56,Back,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867409,13,1,1,0,27,c9swyor08g9pedxpe3n321svu,0,14.2,10.7,2023-03-10T17:31:06.159Z,2023-03-27T06:32:11Z,4085884837,56,Back,4127454345,178,,4085884845,213,0.4,4085884843,212,37.2,4085884841,141,31.8,4085884835,155,,4085884847,1,,4085884839,140,46.9,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867435,3,1,1,0,30,o1iwuxbv233ayidxpibbxy59,0,52.3,67.9,2023-03-10T17:31:08.629Z,2023-03-27T06:32:16Z,4085884957,3,,4085884967,213,0.3,4127455255,388,,4085884961,140,67.5,4085884965,212,16.7,4085884963,141,75.1,4085884959,56,Center,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867463,14,1,1,0,32,c9swyor08g9pedxpe3n321svu,0,26.4,25.8,2023-03-10T17:31:11.059Z,2023-03-27T06:32:20Z,4085885111,3,,4127455775,388,,4085885115,140,44.9,4085885113,56,Back,4085885119,212,19.6,4085885121,213,6.2,4085885117,141,22.4,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867473,4,1,1,0,34,o1iwuxbv233ayidxpibbxy59,0,54.4,82,2023-03-10T17:31:13.227Z,2023-03-27T06:32:25Z,4085885189,213,0.1,4085885185,141,83.6,4085885183,140,71.5,4085885181,56,Left,4085885187,212,18.0,4085885179,3,,4127456923,178,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867515,15,1,1,0,36,c9swyor08g9pedxpe3n321svu,1,32.8,16.8,2023-03-10T17:31:15.592Z,2023-03-27T06:32:36Z,4085885377,140,34.1,4085885383,213,5.0,4085885381,212,4.2,4085885375,56,Back,4085885379,141,11.0,4127459657,178,,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867533,16,1,1,0,38,c9swyor08g9pedxpe3n321svu,1,30,17.1,2023-03-10T17:31:17.245Z,2023-03-27T06:32:40Z,4085885455,212,6.5,4085885453,141,24.9,4085885451,140,33.5,4085885457,213,1.0,4085885449,56,Back,4127462323,178,,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
