id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,assist,qualifier/17/value
2543067731,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-03T17:30:19.996Z,2023-05-03T17:30:16Z,4247461029,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247461041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247461031,59,"1, 23, 3, 4, 17, 6, 88, 87, 9, 74, 76, 2, 12, 13, 24, 27, 28, 49, 80, 90",4247461033,130,4,4247461027,30,"8qps88s8g1c8xw5uiz5gyh4ut, dr08g6m75jde8h9p96jfwojit, 3a591b3l0o7ucdb8w72vjz4kp, bl117o6ogkgnnbv2gl0ozpn85, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, 6wto8d6jcd41bo451wwbjng89, 5fpfdgzit3468e1a04ooetsr9, aotysrmw0ffmznm2u4ya487o5, b21fztzyrqua7i6lkfk7wh979, ciw54ghi1jv1xb5dmtv558xjp, 8po9k5w3ds7hoai833haglrf8, 83slqifjhhsntty78s4747xed, 64122p1l6bayb1x6lfi9w85m2, 6rsym2764y5k4vw569ab62x3o, 7fjkirlsme7wdpjibaw136s4, 84a84u8p0tc4v0rsnwjtdw8np, c79pr94ulryjygvurdgku45w5, a9xl33f68np358angkw5o606i, c7da9wqhoce68v0tvfhb4itjo",4247461035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247461039,197,4607,4247461037,194,bl117o6ogkgnnbv2gl0ozpn85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543071747,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-05-03T17:35:03.807Z,2023-05-03T18:36:16Z,4247677769,197,6684,4247483171,59,"30, 19, 13, 17, 15, 4, 11, 6, 9, 10, 7, 2, 8, 14, 12, 16, 20, 22, 32, 40",4247483173,130,8,4247483167,30,"exmyiidka52uylmreef9fpn85, bx6o57idb4mbv2xo70l9gkfs9, 820fen2dxh3d2zmcbn9ak0u6t, evyk938tt0eebkhxrwejaonv9, 5376r1hbhrywje7cys1vcyb4l, cp8kbj12wth398bnglywepk9, 6yga33ui0heg0zkpe4r3kznmy, cgwl99clcp8j1z4tq5n0bh9ed, 8cfopdu7tyfve6iu3sinme1gp, 9d3t6xtk6bceipt63k6c5rnit, 5x2mcnjeclk64b5l9o2h4d5g5, 1fypwti6kn4ae12fc9outj845, 2rdvd4egt9kk7cocies197i6t, 30k7kvnsp7a4gsl43gun7yhyi, g15ldg2cnu1otbiwsm3dppg4, 5s1ofruu4rz52k2ogzaujplw4, 2j90w131xjmie2ozb2wb6a6p6, paq60rfkhm8gy9412w5tuo0k, 5zwi7f2u6vd88wvc00ynpv209, 465tn4volgmbkntekrvwuvmne",4247483177,194,5376r1hbhrywje7cys1vcyb4l,4247483179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247483169,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247483175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106867,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-03T18:30:56.348Z,2023-05-08T13:49:25Z,4247682537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106913,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-05-03T18:30:56.348Z,2023-05-03T18:30:59Z,4247682809,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106931,3,1,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,50,50,2023-05-03T18:30:56.448Z,2023-05-03T18:49:17Z,4247682895,213,3.1,4247682897,279,S,4247682891,141,52.3,4247682893,212,21.0,4247682887,56,Back,4247682889,140,30.1,,,,,,,6wto8d6jcd41bo451wwbjng89,Alaa Hejji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106979,4,1,1,0,5,2xl3g56k2mbuwdbre46s29vt4,1,30.1,52.3,2023-05-03T18:31:01.762Z,2023-05-03T18:49:06Z,4247683167,212,46.4,4247683165,141,68.7,4247683169,213,0.2,4247683159,155,,4247683171,1,,4247683161,56,Center,4247683163,140,73.0,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106987,5,44,1,0,7,2xl3g56k2mbuwdbre46s29vt4,1,71.8,69.6,2023-05-03T18:31:03.845Z,2023-05-03T18:31:05Z,4247683215,286,,4247683213,56,Center,4247683245,233,3,,,,,,,,,,,,,,,,aotysrmw0ffmznm2u4ya487o5,J. Beauguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106971,3,44,1,0,7,4djrvao40r1vgr4psfl5dzc80,0,28.2,30.4,2023-05-03T18:31:03.846Z,2023-05-03T18:31:05Z,4247683275,233,5,4247683123,285,,4247683121,56,Back,,,,,,,,,,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543106999,6,1,1,0,8,2xl3g56k2mbuwdbre46s29vt4,0,71.6,68.4,2023-05-03T18:31:04.946Z,2023-05-03T18:31:06Z,4247683279,3,,4247683287,212,17.5,4247683289,213,5.1,4247683285,141,44.8,4247683283,140,78.3,4247683281,56,Center,,,,,,,aotysrmw0ffmznm2u4ya487o5,J. Beauguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543107019,4,49,1,0,10,4djrvao40r1vgr4psfl5dzc80,1,23.3,60,2023-05-03T18:31:06.881Z,2023-05-03T18:31:07Z,,,,,,,,,,,,,,,,,,,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
