id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/15/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2521002137,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-03-17T16:24:42.767Z,2023-03-17T17:48:35Z,4102474321,197,4607,4102474313,59,"1, 2, 23, 4, 17, 6, 74, 88, 87, 76, 49, 7, 12, 13, 20, 27, 29, 77, 80, 90",4102474311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102474323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102474319,194,bl117o6ogkgnnbv2gl0ozpn85,4102474317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102474315,130,8,4102474309,30,"8qps88s8g1c8xw5uiz5gyh4ut, 8po9k5w3ds7hoai833haglrf8, dr08g6m75jde8h9p96jfwojit, bl117o6ogkgnnbv2gl0ozpn85, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, b21fztzyrqua7i6lkfk7wh979, 6wto8d6jcd41bo451wwbjng89, 5fpfdgzit3468e1a04ooetsr9, ciw54ghi1jv1xb5dmtv558xjp, c79pr94ulryjygvurdgku45w5, et956pmx883y3lica15q6zxii, 83slqifjhhsntty78s4747xed, 64122p1l6bayb1x6lfi9w85m2, 37ge6lk134usu3w0xdqu6ngq2, 7fjkirlsme7wdpjibaw136s4, bx7lsguu67h38eanl7xf0hclw, al6arz2vftyr9b2yn9ldgp15g, a9xl33f68np358angkw5o606i, c7da9wqhoce68v0tvfhb4itjo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521002885,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-03-17T16:30:27.643Z,2023-03-17T17:31:00Z,4102478799,30,"2r3ppks82lf3a7aycih7rc63t, 7msfk3faesnc4ls6893wdhi0a, 7l1lhluaxnuy4cun3omcva4us, cmijbwv0ine68v0y6kf9cuehh, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, c8sryc7a76ov57x24tv80swr9, 9f8pdf7j05xb111c5lunzgvyt, 2xkudoxz92f1vgbjlsbfum3f9, 8pxv846gct3gjgrknr4glqulm, 75cibe9m6z4wb8be86hfgvtud, 92gmexjsv0jv637cxhachstn8, crx6u6bfmbgw4ivuxa7rwiuc4, 7kbi9qu4y9rhc28x3ogyg5ot1, 2b8fj2xnd2h9rdbg0bkgbizu1, ofynblpwoiwefv52bgqz30x6, cf6l2e5tkglv7decs50666w44, 8ab4hqpw7m6ocphleluf9sicp, de3zx99d8qybnoq7nvlcd7xii",4102478803,59,"1, 6, 31, 10, 4, 14, 7, 18, 3, 17, 8, 2, 12, 13, 25, 33, 36, 49, 77, 99",4102478801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102478809,194,8j0yhxinglb5o5dpe2qd232dx,4102478807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102478805,130,8,4102478811,197,17129,4102478813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024087,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-03-17T17:31:34.220Z,2023-03-29T09:42:10Z,4102599533,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024097,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-03-17T17:31:34.220Z,2023-03-17T17:31:46Z,4102599569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024221,3,1,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,49.9,50,2023-03-17T17:31:34.318Z,2023-03-30T04:53:03Z,4102600213,212,11.1,4102600211,141,39.1,4102600217,279,S,4148972871,178,,4102600207,56,Center,4102600209,140,57.8,4102600215,213,5.6,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024223,4,4,1,0,3,2xl3g56k2mbuwdbre46s29vt4,1,62.5,41.7,2023-03-17T17:31:37.777Z,2023-03-30T04:53:36Z,4102600223,56,Center,4102600227,265,,4102600229,286,,4102600221,13,,4102600239,233,3,4102600225,152,,,,,,,,b21fztzyrqua7i6lkfk7wh979,K. Yoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024177,3,4,1,0,3,o1iwuxbv233ayidxpibbxy59,0,37.5,58.3,2023-03-17T17:31:37.778Z,2023-03-30T04:53:36Z,4148973061,178,,4102599985,285,,4102599979,56,Back,4102599977,13,,4102599983,265,,4102600283,233,4,4102599981,152,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024593,5,1,1,0,33,2xl3g56k2mbuwdbre46s29vt4,1,63.8,40.6,2023-03-17T17:32:07.737Z,2023-03-30T04:53:41Z,4102602093,213,0.8,4102602089,141,91.7,4102602087,140,95.4,4102602081,155,,4102602083,152,,4102602091,212,48.0,4102602095,1,,4102602079,5,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,4148973111,178,4102602085,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024611,6,1,1,0,38,2xl3g56k2mbuwdbre46s29vt4,1,94.6,92.9,2023-03-17T17:32:13.098Z,2023-03-30T04:53:46Z,4102602195,56,Left,4102602197,140,76.2,4102602199,141,87.4,4148973139,178,,4102602203,213,3.3,4102602201,212,19.7,,,,,,,c79pr94ulryjygvurdgku45w5,Sultan Al Sawadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521024645,7,1,1,0,41,2xl3g56k2mbuwdbre46s29vt4,1,76.2,87.4,2023-03-17T17:32:15.823Z,2023-03-30T06:23:16Z,4102602395,140,90.0,4114497907,223,,4114497909,20,,4102603085,210,15,4102602401,213,5.1,4102603087,154,,4102602403,1,,4102602393,56,Center,6wto8d6jcd41bo451wwbjng89,Alaa Hejji,4102602389,2,4148973177,178,,1,4102602397,141,38.5,4102602399,212,36.3,4102602391,155,,,,,,,,,,,,,,,,,,,,,,,,
