id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value
2546322193,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-05-09T14:48:25.841Z,2023-05-09T15:57:38Z,4264810975,30,"ofynblpwoiwefv52bgqz30x6, 7msfk3faesnc4ls6893wdhi0a, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, cm8m8mytnpgldxvoi9or35a09, cmijbwv0ine68v0y6kf9cuehh, 9f8pdf7j05xb111c5lunzgvyt, 12dv2sa9xm0aedpb13ivl11wp, 8pxv846gct3gjgrknr4glqulm, 75cibe9m6z4wb8be86hfgvtud, 9etkdqceb3wo5zh0oktt0r85w, cpqq8bpr6j13okdcilmwyimtw, 2xkudoxz92f1vgbjlsbfum3f9, 2b8fj2xnd2h9rdbg0bkgbizu1, f5eje4do4lvjul2ban3ycraax, cf6l2e5tkglv7decs50666w44, 579yxu78qw5grz3kvhln6lrvu, 8ab4hqpw7m6ocphleluf9sicp",4264939129,197,3483,4264940363,194,8j0yhxinglb5o5dpe2qd232dx,4264810979,59,"36, 6, 31, 18, 4, 14, 24, 10, 3, 7, 8, 2, 9, 15, 17, 33, 44, 49, 50, 77",4264810977,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4264810983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264810985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264810981,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546322383,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-05-09T14:49:54.188Z,2023-05-09T16:01:53Z,4264812021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264939829,197,683,4264940793,194,3nahof9wwcvyylv87fjhhpt5h,4264812023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264812015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4264812013,30,"6veqhleq95267xca919eg02j9, 7a8ee7ohk4hnmaaw1imxeqsid, 6yaoc71surv8vh9hjfli7dwid, 6bl8ekn7ahyf7z4ri1cknbnfu, 3nahof9wwcvyylv87fjhhpt5h, 829ypq99t1vn90xey32mwt7th, 9ex7z7sbghe3zx17a4u7gsay2, 3kfeazpv3d1wy6e333pudwkid, 1l0bb9txaodn0kqc5rca35rdh, 6ygvaf7gjckdemde0ec0tem6t, 9yceimet7wbytfai5ivr0v4k5, 7raap8bz78dmxw9ngo1w73tux, 77d2ej6852gf2ynsb8h01thwp, 3akxznb8k4r088rrqbbj04m39, 7gvqqqfoak5692c4xnrcrqe39, 70848f3slhydvi4p0wq4enqol, 3q942kxc3baiiwdozn97dgqtx, d21tm0cmhxpy6rq71iyu5yzf9, 6f7isvwcywig1hlvfed4q0hgq, aq8efsoblaypm6spb7fce99g4",4264812017,59,"1, 32, 27, 44, 19, 12, 14, 88, 17, 10, 82, 6, 7, 8, 9, 16, 18, 23, 45, 94",4264812019,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347171,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-05-09T16:00:19.597Z,2023-05-09T16:00:19Z,4264945031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347175,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-05-09T16:00:19.597Z,2023-05-09T16:00:21Z,4264945041,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347189,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50,50,2023-05-09T16:00:19.793Z,2023-05-09T16:00:22Z,4264945165,213,3.0,4264945163,212,13.8,4264945161,141,52.6,4264945159,140,37.0,4264945157,56,Back,4264945167,279,S,,,,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347203,4,1,1,0,2,o1iwuxbv233ayidxpibbxy59,1,36.8,52.6,2023-05-09T16:00:22.476Z,2023-05-09T16:00:24Z,4264945247,140,29.4,4264945249,141,46.5,4264945245,56,Back,4264945253,213,3.6,4264945251,212,8.8,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347257,5,1,1,0,5,o1iwuxbv233ayidxpibbxy59,1,29.2,46.7,2023-05-09T16:00:24.604Z,2023-05-09T16:00:35Z,4264945569,1,,4264945567,213,0.5,4264945563,141,97.1,4264945565,212,74.0,4264945561,140,91.7,4264945557,155,,4264945559,56,Left,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347259,6,61,1,0,15,o1iwuxbv233ayidxpibbxy59,0,92.7,96.1,2023-05-09T16:00:34.741Z,2023-05-09T16:00:44Z,4264945573,56,Left,,,,,,,,,,,,,,,,,,,,,,8pxv846gct3gjgrknr4glqulm,Sumayhan Al Nabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347265,3,4,1,0,15,6ttwlm6op92r4670oayg5md7h,1,5.7,3.2,2023-05-09T16:00:35.459Z,2023-05-09T16:00:39Z,4264945603,152,,4264945599,10,,4264945605,285,,4264945601,56,Back,4264945685,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347277,7,4,1,0,15,o1iwuxbv233ayidxpibbxy59,0,94.3,96.8,2023-05-09T16:00:35.460Z,2023-05-09T16:00:45Z,4264945651,56,Left,4264945701,233,3,4264945655,286,,4264945653,152,,4264945649,10,,,,,,,,,,,8pxv846gct3gjgrknr4glqulm,Sumayhan Al Nabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
