id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2529894257,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-04-07T18:21:49.235Z,2023-04-07T19:13:18Z,4170447991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170447981,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 1nrxtmfkuqg2uz7pvgcgwgj4l, d25hyz1ov3mdflbnbyc9okrmd, p3ebcmbu5i9le8czo76ngm0a, inbrwc7gw6d1z8x60nl0padx, a3t7bral3j0l1czbmojwqnob9, 3xtzd4wqoq2b6ak1k2tep9oet, 6wjktx17kp8g29h9gw27lwez9, 2lkra7wic5b481l7qybjh8lx, 1jfxkmks9lci345fiz9z2gfl5, 2i9cy7dt9zn1jz96h61oo2m6t, f53lu15h3s3mhmj2u7ztabd1x, 5muk6frafyj5lj1jdg54z2thx, hki3chjlidmwubff6srauj56, 14dpnweb51v7re2xa3qkpulex, c4zklinh3sa5kchbvjugn0s0l, cotgnu5iq5oiiwo9t5yp5lel0, 2v2v3wzd9pv8j9phh6s0isdn8, 574pdpfxal0lsopnsnz17ciqd",4170447985,59,"1, 66, 2, 28, 4, 20, 17, 6, 9, 19, 96, 8, 10, 11, 14, 16, 21, 42, 43, 70",4170680119,197,1810,4170493683,194,9vt5q842htj38cblrh1v62qj9,4170447987,130,8,4170447983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170447989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529901977,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-04-07T18:33:39.870Z,2023-04-07T20:23:01Z,4170491389,59,"18, 27, 24, 15, 4, 5, 8, 23, 77, 10, 9, 6, 7, 11, 12, 35, 16, 71, 88, 89",4170491387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170491395,194,68cm9uvlgmi1q5xfki3g31i39,4170491391,130,8,4170491397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170491393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170591659,197,685,4170491385,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, dcl1lgczly52fg4f7oh8se6l1, bepcao7uiozczrxbhc7fjjis5, 2gef3rw1e1q3d7qudetpgvbop, ytjrtqtximxhs52bfsezogk5, 8sllxmpst47s6c46fgtv1q47p, 93ysty1r8uw717axrz77q88ut, 68cm9uvlgmi1q5xfki3g31i39, bjprfeyv38xb284im3yuu3u21, 6w77bixcwoy3qlg568od8wr9, cq1rq8a9wnt1dxvxe6fmz9vfu, cstghu0b2nh9pfzn5p6me7jkl, epumfwql35ruytuh15rozq311, 3qum8ho760i5bw8ejmkjfdec5, d5e7ou0odurdq9omp4tk16ck4, 3m67z6okk8i52z0b6widofxsl, 9e8phbwelzhbdk0bfsuyu4a5m, btjt8zqd248l6mk9b2obdsr1l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922685,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-04-07T19:00:48.709Z,2023-04-07T19:00:52Z,4170604503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922627,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-04-07T19:00:48.709Z,2023-04-10T08:44:07Z,4170604235,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922663,3,1,1,0,1,2ry1fixv27p3xepazsxcuyoho,1,49.9,50,2023-04-07T19:00:49.809Z,2023-04-07T19:50:29Z,4170604401,279,S,4170604395,141,52.2,4170604391,56,Center,4170902285,189,,4170604399,213,0.6,4170604393,140,51.8,4170604397,212,2.5,,,,93ysty1r8uw717axrz77q88ut,Santi Mina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922683,4,1,1,0,2,2ry1fixv27p3xepazsxcuyoho,0,51.8,52.2,2023-04-07T19:00:51.520Z,2023-04-10T08:45:50Z,4170604493,212,18.8,4170604485,140,65.0,4179190357,189,,4170604481,56,Center,4170604489,141,70.8,4170604495,213,0.7,,,,,,,68cm9uvlgmi1q5xfki3g31i39,É. Banega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922731,3,49,1,0,5,c9swyor08g9pedxpe3n321svu,1,35,21,2023-04-07T19:00:54.652Z,2023-04-07T19:00:54Z,,,,,,,,,,,,,,,,,,,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922771,4,1,1,0,6,c9swyor08g9pedxpe3n321svu,1,35,21,2023-04-07T19:00:54.971Z,2023-04-07T19:00:56Z,4170604903,213,2.0,4170604895,56,Back,4170604899,141,56.9,4170604901,212,27.1,4170604897,140,23.8,,,,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922803,5,1,1,0,8,c9swyor08g9pedxpe3n321svu,1,25.1,58.1,2023-04-07T19:00:56.844Z,2023-04-07T19:00:59Z,4170605103,141,31.0,4170605109,213,4.8,4170605105,212,18.5,4170605101,140,26.6,4170605099,56,Back,,,,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529922841,6,1,1,0,10,c9swyor08g9pedxpe3n321svu,1,26.6,28.9,2023-04-07T19:00:59.387Z,2023-04-07T19:01:02Z,4170605317,141,8.8,4170605323,213,5.2,4170605313,140,32.9,4170605309,56,Back,4170605321,212,15.2,,,,,,,,,,p3ebcmbu5i9le8czo76ngm0a,Khalifah Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
