id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2528631197,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-04-04T18:24:34.794Z,2023-04-04T19:04:15Z,4163672343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163672337,59,"22, 4, 13, 16, 3, 40, 38, 6, 9, 10, 17, 1, 7, 8, 14, 11, 12, 19, 20, 32",4163711923,197,6684,4163714843,194,465tn4volgmbkntekrvwuvmne,4163672339,130,8,4163672341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163672335,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163672333,30,"paq60rfkhm8gy9412w5tuo0k, cp8kbj12wth398bnglywepk9, 820fen2dxh3d2zmcbn9ak0u6t, 5s1ofruu4rz52k2ogzaujplw4, 624uaxchaea87v6na4wsd50x5, 465tn4volgmbkntekrvwuvmne, 970jrhb28ry898d1ocpad6dwp, cgwl99clcp8j1z4tq5n0bh9ed, 8cfopdu7tyfve6iu3sinme1gp, 9d3t6xtk6bceipt63k6c5rnit, evyk938tt0eebkhxrwejaonv9, 6kawv47ofbzjmuvaxfzsm8il0, 5x2mcnjeclk64b5l9o2h4d5g5, 2rdvd4egt9kk7cocies197i6t, 30k7kvnsp7a4gsl43gun7yhyi, 6yga33ui0heg0zkpe4r3kznmy, g15ldg2cnu1otbiwsm3dppg4, bx6o57idb4mbv2xo70l9gkfs9, 2j90w131xjmie2ozb2wb6a6p6, 5zwi7f2u6vd88wvc00ynpv209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528631827,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-04-04T18:28:14.899Z,2023-04-04T19:09:35Z,4163712019,197,620,4163676015,59,"34, 33, 95, 3, 20, 26, 90, 19, 9, 10, 70, 5, 11, 12, 14, 21, 24, 27, 36, 80",4163676013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163676023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163676017,130,8,4163676011,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, dfp7gtib09b9l0bdqfl89m356, emkg78pm7xdjkkt2w0yd8vh79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, 1cpbxhov5ypi6ez7k09oxo5w5, cfjp3mf7meekpcsx7hjrql79, aatjvj13ffwrj81vcfy68fnit, 6lpj04km1rma60n8l66q0hd5h, 7us8hoqv66v0fqos94zxijk2y, eqdev00exzhrls89wj77cdzp, du6wgayjqw7jqjh770c43vvmd, bg3kdsod1j0u3yk1jw5ndu9sk, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, 38qgiazulsyaxmvqqrdjlw2l0, 1ow25k1m9n3pf4r5s0erkqw2d",4163676019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163676021,194,4upzspmuautmtl51yxe3kva39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640835,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-04-04T19:03:06.542Z,2023-04-06T14:25:26Z,4163726045,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640827,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-04-04T19:03:06.542Z,2023-04-04T19:03:06Z,4163726011,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640857,3,1,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,50,50,2023-04-04T19:03:06.642Z,2023-04-04T19:14:58Z,4163726143,279,S,4163726137,141,28.3,4163726139,212,27.3,4163726141,213,3.7,4163726135,140,28.1,4163726133,56,Back,,,,,,,9d3t6xtk6bceipt63k6c5rnit,Nono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640875,4,1,1,0,4,4djrvao40r1vgr4psfl5dzc80,1,26,25.2,2023-04-04T19:03:11.480Z,2023-04-04T19:03:14Z,4163726207,56,Back,4163726219,213,5.1,4163726215,212,13.7,4163726211,141,6.4,4163726209,140,30.6,,,,,,,,,,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640901,5,1,1,0,7,4djrvao40r1vgr4psfl5dzc80,0,30.6,6.4,2023-04-04T19:03:14.346Z,2023-04-04T19:03:19Z,4163726347,56,Center,4163726351,141,23.0,4163726357,1,,4163726349,140,80.8,4163726345,155,,4163726355,213,0.2,4163726353,212,53.9,,,,cp8kbj12wth398bnglywepk9,Ibrahim Al Nakhli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640913,3,1,1,0,11,2kzl64gp8x37bon8tyxojqrr1,1,20.4,79.6,2023-04-04T19:03:18.308Z,2023-04-06T14:27:38Z,4163726407,140,25.2,4163726405,56,Back,4163726413,213,1.2,4163726411,212,14.7,4163726409,141,99.9,,,,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640947,6,49,1,0,11,2kzl64gp8x37bon8tyxojqrr1,1,21.9,81.3,2023-04-04T19:03:18.312Z,2023-04-06T14:28:43Z,,,,,,,,,,,,,,,,,,,,,,,,,dfp7gtib09b9l0bdqfl89m356,Ahmed Bamasoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529368867,854,3,1,0,11,2kzl64gp8x37bon8tyxojqrr1,1,28.9,93.9,2023-04-04T19:03:18.334Z,2023-04-07T13:23:25Z,4167596685,285,,4167596683,56,Back,4169211987,233,869,4167596825,464,,,,,,,,,,,,,,dfp7gtib09b9l0bdqfl89m356,Ahmed Bamasoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
