id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2516527417,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-03-06T16:16:04.566Z,2023-03-06T17:39:03Z,4078745051,130,8,4078745045,30,"9vt5q842htj38cblrh1v62qj9, 1nrxtmfkuqg2uz7pvgcgwgj4l, p3ebcmbu5i9le8czo76ngm0a, 3xtzd4wqoq2b6ak1k2tep9oet, inbrwc7gw6d1z8x60nl0padx, av4e1au7cz1s6rmz5u45l4yjt, 1jfxkmks9lci345fiz9z2gfl5, d25hyz1ov3mdflbnbyc9okrmd, 6wjktx17kp8g29h9gw27lwez9, hki3chjlidmwubff6srauj56, 2ghv5nqgyn0wv9ekdx1ow0445, 2i9cy7dt9zn1jz96h61oo2m6t, 5muk6frafyj5lj1jdg54z2thx, 14dpnweb51v7re2xa3qkpulex, 2lkra7wic5b481l7qybjh8lx, c4zklinh3sa5kchbvjugn0s0l, cotgnu5iq5oiiwo9t5yp5lel0, 2ibtue1dtek9mwj0fn8cn7jmc, 42ehf4i3uc1xiyk4gzmj8hhck, 574pdpfxal0lsopnsnz17ciqd",4078745059,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078745047,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078745053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078745049,59,"1, 2, 4, 6, 20, 5, 96, 28, 9, 14, 29, 8, 11, 16, 19, 21, 42, 56, 67, 70",4078745055,194,9vt5q842htj38cblrh1v62qj9,4078745057,197,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516529959,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-06T16:28:19.167Z,2023-03-10T13:55:44Z,4078759381,30,"26dlb4txygf7qzukjikr23mxh, 2h2r99zztgquxzs5it347aitx, 30dor76ut58qzf8ah4sgeqj1l, cee8klv6kur6xp1v57uikihg5, 4oiynjwt22nwpmy0oyx5q6jh0, 6y9gieuehyt2l41jeh0cucrmd, aqe0o77dv6114gsbpw3t1iymt, 6b717wlx0q8d73hsbgsp90no5, 3a2ef34105eqoes4s6zu1310p, zdrtch0slexakz6exy86cid, emt3e6x1c9howgtee0hr1hucp, etvu2javyjbzekaw2ro994iqd, 3qjdcqc4mo21w0au4rveeenkl, 92qhzmz7bik9yiyhpt9fcvqzu, jzdzefumhn1ch49i21rc2385, 4jar69o6t40f01o9dupxzhn2s, 7r64tr6z60hf77y84i4mfvllg, chedaa8t6qan96a525uhvo8wk, 9twzw7onygiy3indxm8rtjvu1, 6c553nvfijiwgxysc69p1747o",4078759389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078759393,197,9632,4078759395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078759383,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078759385,59,"1, 27, 18, 28, 3, 17, 11, 6, 9, 37, 7, 8, 16, 19, 26, 34, 75, 77, 87, 88",4078759387,130,8,4078759391,194,6y9gieuehyt2l41jeh0cucrmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541273,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-06T17:30:34.973Z,2023-03-06T17:30:35Z,4078825325,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541277,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-03-06T17:30:34.973Z,2023-03-25T20:26:53Z,4078825339,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541287,3,1,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,50,50,2023-03-06T17:30:34.975Z,2023-03-26T04:46:59Z,4078825399,279,S,4078825391,140,35.4,4124317397,178,,4078825395,212,15.6,4078825393,141,54.3,4078825389,56,Back,4078825397,213,3.0,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541295,4,1,1,0,3,aekjg4wbxaixtwu4aicmiju92,0,35.8,53.3,2023-03-06T17:30:38.029Z,2023-03-26T04:47:04Z,4078825503,213,5.9,4078825495,56,Right,4124317479,178,,4078825493,155,,4078825505,1,,4078825497,140,100.0,4078825499,141,11.7,4078825501,212,74.3,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541303,3,5,1,0,7,c9swyor08g9pedxpe3n321svu,1,-1.2,86.8,2023-03-06T17:30:42.331Z,2023-03-26T04:47:08Z,4078825535,346,,4078825539,233,5,4078825533,56,Back,,,,,,,,,,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541297,5,5,1,0,7,aekjg4wbxaixtwu4aicmiju92,0,101.2,13.2,2023-03-06T17:30:42.331Z,2023-03-26T04:47:08Z,4078825511,346,,4078825543,233,3,4078825509,56,Right,,,,,,,,,,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541445,4,1,1,0,37,c9swyor08g9pedxpe3n321svu,1,4.3,56.6,2023-03-06T17:31:12.162Z,2023-03-26T04:47:16Z,4078826293,1,,4078826289,212,78.6,4078826297,74,,4078826281,124,,4078826291,213,6.0,4078826287,141,25.9,4078826285,140,76.5,4078826283,56,Center,9vt5q842htj38cblrh1v62qj9,Abdullah Al Muaiouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541447,5,1,1,0,40,c9swyor08g9pedxpe3n321svu,0,60.7,23.9,2023-03-06T17:31:15.801Z,2023-03-26T04:47:24Z,4124317677,388,,4078826301,168,,4078826299,3,,4078826309,212,7.2,4078826307,141,22.1,4078826303,56,Center,4078826311,213,6.1,4078826305,140,67.5,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
