id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2451031283,9,1,1,0,17,f0zsn74nz0o01gr30weun240i,1,55.3,25.6,2022-08-26T15:45:43.473Z,2022-09-01T11:19:08Z,3732472263,213,2.5,3732472261,212,14.4,3732472253,3,,3749319429,388,,3732472255,56,Back,3732472259,141,38.0,3732472257,140,44.2,,,,8tvytrvm8g922nxp2sjc7lxp1,A. Sayoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031285,10,61,1,0,20,f0zsn74nz0o01gr30weun240i,0,44.9,27.3,2022-08-26T15:45:46.086Z,2022-09-01T11:19:23Z,3732472267,56,Back,3749319579,178,,3749319577,21,,,,,,,,,,,,,,,,,a8tgq32yvdrxup21s75ktvtw4,Abdulaziz Al Harabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031281,3,49,1,0,22,7dkxxicrwn77jpdfkwpnlnnyn,1,58.2,78.1,2022-08-26T15:45:47.584Z,2022-09-01T11:19:30Z,,,,,,,,,,,,,,,,,,,,,,,,,6q8kbaw3h6n77ekwl6fr0e9qt,Ali Abdullah Hazzazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031311,4,1,1,0,22,7dkxxicrwn77jpdfkwpnlnnyn,0,59,80,2022-08-26T15:45:47.932Z,2022-09-01T11:19:38Z,3749319697,178,,3732472393,56,Center,3732472397,141,78.3,3732472399,212,2.0,3732472395,140,60.5,3732472401,213,5.7,,,,,,,6q8kbaw3h6n77ekwl6fr0e9qt,Ali Abdullah Hazzazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451040941,385,61,1,0,22,f0zsn74nz0o01gr30weun240i,1,40.5,26.7,2022-08-26T15:45:47.981Z,2022-09-01T11:19:51Z,3749319827,178,,3732525709,56,Back,,,,,,,,,,,,,,,,,,,a8tgq32yvdrxup21s75ktvtw4,Abdulaziz Al Harabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031315,5,1,1,0,30,7dkxxicrwn77jpdfkwpnlnnyn,0,96.7,79.7,2022-08-26T15:45:55.814Z,2022-09-01T11:20:05Z,3732472427,141,77.2,3732472425,140,95.9,3732472431,213,4.3,3747248951,72,,3749319913,178,,3732472429,212,1.9,3732472461,286,,3732472419,2,,9j37dmdxamf5ykbw9l24wlt6,Ahmed Al Ghamdi,3732472423,56,Center,3732472455,236,3747248949,224,3732472457,233,11,,,,,,,,,,,,,,,,,,,,,,,,,
2451031323,11,12,1,0,30,f0zsn74nz0o01gr30weun240i,1,2.5,24.1,2022-08-26T15:45:56.161Z,2022-09-01T11:20:12Z,3732472463,233,5,3749319993,178,,3732472451,185,,3732472453,56,Back,,,,,,,,,,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031319,6,6,1,0,30,7dkxxicrwn77jpdfkwpnlnnyn,1,96.6,76.4,2022-08-26T15:45:56.465Z,2022-09-01T11:20:18Z,3732472435,73,,3732472433,56,Center,3732472495,233,12,,,,,,,,,,,,,,,,9j37dmdxamf5ykbw9l24wlt6,Ahmed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031329,12,6,1,0,30,f0zsn74nz0o01gr30weun240i,0,3.4,23.6,2022-08-26T15:45:56.465Z,2022-09-01T11:20:18Z,3732472491,56,Back,3732472493,73,,3732472499,233,6,,,,,,,,,,,,,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031393,7,1,1,1,3,7dkxxicrwn77jpdfkwpnlnnyn,1,99.5,99.5,2022-08-26T15:46:28.966Z,2022-09-05T07:03:17Z,3732472869,1,,3732473417,210,15,3732472859,56,Center,3732472863,141,44.7,3732472853,6,,3732472867,213,4.5,3732473419,154,,3732472855,155,,aervyzt3cfxxktpj81yjxo9d6,Hamed Al Ghamdi,3732472857,223,,3732472865,212,3732472861,140,3747249157,20,,1,38.5,90.3,3749320103,178,3732472851,2,,,,,,,,,,,,,,,,,,
