id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2545979507,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-05-08T17:46:57.289Z,2023-05-08T18:33:55Z,4263012581,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4263012579,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, dfp7gtib09b9l0bdqfl89m356, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, eqdev00exzhrls89wj77cdzp, 6lpj04km1rma60n8l66q0hd5h, cfjp3mf7meekpcsx7hjrql79, aatjvj13ffwrj81vcfy68fnit, 1cpbxhov5ypi6ez7k09oxo5w5, emkg78pm7xdjkkt2w0yd8vh79, du6wgayjqw7jqjh770c43vvmd, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, 38qgiazulsyaxmvqqrdjlw2l0, 3is4y6lh7y7chpmqtnx02ngno, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",4263012583,59,"34, 33, 95, 20, 26, 5, 10, 19, 9, 90, 3, 11, 14, 21, 24, 27, 36, 38, 70, 80",4263012591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4263012587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4263012585,130,12,4263012589,194,4upzspmuautmtl51yxe3kva39,4263172159,197,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545981627,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-05-08T17:51:51.859Z,2023-05-08T18:33:48Z,4263024875,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, jm8cn996mibk0hwauxvsb1lh, pgyt3j19g11v27qx998bgmi1, dxy1gb64e1hokq26qqnigirpx, bwew6i3fnis40s77t3e3sal0p, 6msbre1fcjcrvqyzoozo43sb8, c706bwqqpdkdk2zqzmop9wm39, 483n2f7a1xkseruh77bj7rxed, dp5fmyett2g7fvus88m85fsut, 6fy868uh27umb1dafjy7tk2xh, dkupkrs36el2b809255l816tx, 17rl734wbbzbxvj33id7j9l62, 97gy3oursbjphkf5t85x9wy96, 61o0q05smyp280htj5g3og5xw, bvmo38wfbtnrk5hdbxgczkzpx, bgac6td6x8qi2o7o5ofrj3t1x, 4jspfn1jca5yzxbhn8p2p06ax, 9o288vygjpcv3noeqnrnqh3ah, 2ycm47qi7qr17i31a8f6oq9gq",4263024877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4263024883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4263024881,130,8,4263024879,59,"16, 14, 3, 34, 4, 19, 18, 21, 10, 8, 7, 25, 9, 13, 15, 20, 31, 33, 39, 88",4263024887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4263024885,194,jm8cn996mibk0hwauxvsb1lh,4263167579,197,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008131,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-05-08T18:30:40.584Z,2023-05-08T18:30:40Z,4263179177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008145,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-05-08T18:30:40.584Z,2023-05-12T10:41:30Z,4263179241,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008157,3,1,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,49.8,49.3,2023-05-08T18:30:40.684Z,2023-05-08T18:30:43Z,4263179357,279,S,4263179351,141,87.0,4263179353,212,26.8,4263179347,56,Back,4263179355,213,1.9,4263179349,140,42.2,,,,,,,483n2f7a1xkseruh77bj7rxed,S. Bguir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008207,4,1,1,0,2,d47tf49ishm9qnfd8zyc8wv0j,1,45.7,83.4,2023-05-08T18:30:42.948Z,2023-05-08T18:30:46Z,4263179635,212,13.7,4263179629,56,Back,4263179633,141,84.3,4263179631,140,32.7,4263179637,213,3.1,,,,,,,,,,6fy868uh27umb1dafjy7tk2xh,Saleh  Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008233,5,1,1,0,6,d47tf49ishm9qnfd8zyc8wv0j,1,33.3,84.7,2023-05-08T18:30:46.819Z,2023-05-12T13:38:28Z,4263179777,213,0.6,4263179767,56,Back,4263179773,141,92.3,4263179775,212,8.6,4263179769,140,39.8,,,,,,,,,,bwew6i3fnis40s77t3e3sal0p,A. Atouchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008235,6,1,1,0,8,d47tf49ishm9qnfd8zyc8wv0j,0,38.6,91,2023-05-08T18:30:48.978Z,2023-05-08T18:30:50Z,4263179841,286,,4263179799,212,3.2,4263179789,3,,4263179837,233,3,4263179791,168,,4263179793,56,Back,4263179797,141,94.0,4263179835,236,,6fy868uh27umb1dafjy7tk2xh,Saleh  Al Amri,4263179795,140,40.9,4263179801,213,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008231,3,74,1,0,8,2kzl64gp8x37bon8tyxojqrr1,1,56.7,5.2,2023-05-08T18:30:48.979Z,2023-05-08T18:30:50Z,4263179757,56,Right,4263179845,233,6,4263179759,285,,,,,,,,,,,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546008267,7,1,1,0,9,d47tf49ishm9qnfd8zyc8wv0j,0,36,94.6,2023-05-08T18:30:50.354Z,2023-05-08T18:35:36Z,4263205075,141,94.8,4263205073,140,36.3,4263205099,286,,4263205079,212,0.3,4263205081,213,0.4,4263205093,236,,4263205095,233,4,4263180009,56,Back,6fy868uh27umb1dafjy7tk2xh,Saleh  Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
