id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,keyPass,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2511839979,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-02-25T12:13:02.472Z,2023-02-25T13:06:30Z,4053981161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053981151,59,"25, 6, 13, 17, 3, 4, 77, 8, 31, 10, 11, 15, 21, 22, 29, 20, 33, 19, 70, 94",4053981149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4053981157,194,e3q9barjksj9yb3obsi90i9jp,4053981159,197,2937,4053981153,130,8,4053981147,30,"e3q9barjksj9yb3obsi90i9jp, 96locb7oipzlke997xnx6ii38, b60up5thhuxb8e2bj4qry7ecq, 8zbaicqws2ux52rgiy95xetm2, 5etucjhifze9cu3fecy68dg16, 3wpliz4y0ex8jxtlt2enirc9h, 8btwu0jixlrcl9gj51uepz21g, dg7eawa1vjaz1uhrjhr7cucfe, tt0300qkkmgu52dbkxcaywut, b07spq4zt9abj441qcwfts5p1, clnli7y2s88p16yqtrbsb99sl, d5sexeurir6iq57sqk1d2xrs9, 53jsw38p3m81ohicrlus0j9ck, 92j12068e102fecql9i8bvehg, ql3ke0589k0ywxw4kzd5wgt0, exs0tbl2thbcz163r3vas74es, 8pelo35x9cxd3anj7xrfxk1nu, cznfldjv2fv42m6z68um5lzx0, en6ut1dhht8l7hrupqphorld5, 6un0w34djb8ml6r3dmmbzaq96",4053981155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511842063,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-25T12:16:37.606Z,2023-02-25T13:08:17Z,4053991357,130,5,4053991351,30,"77988i6l4je97ycm9rthdims5, c12jn6s39vsx86muur0cv16hg, d597taqcmedln0e50xgdyt8gk, 6q8kbaw3h6n77ekwl6fr0e9qt, 9brcp1e0kz59x1g4j73a54m50, 1x2kly8qv2vxujs6d0tgdt0id, 9j37dmdxamf5ykbw9l24wlt6, 5brwa0y63724t6s3y6gtz28yx, dvt8h9sh00qsqzhrb3y4fco9h, 4c540mry6f9esodej103n6xka, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, dpuogllbip7f2jpamgohjkfyt, a7sgm3cmjoxjjxanrad02l2lm, aervyzt3cfxxktpj81yjxo9d6, 9p1b5iftds5x02tx2eyseaklx, 8hw7lxbdh3zllchj5arfyc8np, 591kms3hpu9j70pl9an3kfx90, 1li4roqq55x7nss4ufnjt321g, bia0lpc5wkxjcyc92d12apas5",4054108597,197,3238,4053991361,194,6q8kbaw3h6n77ekwl6fr0e9qt,4053991363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053991355,59,"48, 49, 12, 11, 5, 32, 15, 98, 18, 16, 27, 1, 4, 6, 8, 14, 17, 20, 24, 99",4053991353,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4053991359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867063,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-25T13:00:15.341Z,2023-02-25T13:00:17Z,4054117657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867055,3,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-02-25T13:00:15.341Z,2023-03-18T09:13:17Z,4054117625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867107,4,1,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,50.6,50.6,2023-02-25T13:00:15.345Z,2023-03-18T09:38:23Z,4104229669,178,,4054117847,141,44.2,4054117853,279,S,4054117845,140,36.5,4054117843,56,Back,4054117849,212,15.4,4054117851,213,3.4,,,,tt0300qkkmgu52dbkxcaywut,R. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867129,5,1,1,0,2,dbhdov3cc47kcr1hjg5qr5qg7,1,36.5,44.3,2023-02-25T13:00:17.469Z,2023-03-18T09:38:29Z,4054117969,140,27.5,4104229759,178,,4054117971,141,66.6,4054117973,212,17.9,4054117967,56,Back,4054117975,213,2.1,,,,,,,dg7eawa1vjaz1uhrjhr7cucfe,J. Pedroza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867143,6,1,1,0,5,dbhdov3cc47kcr1hjg5qr5qg7,0,28,65.1,2023-02-25T13:00:21.075Z,2023-03-18T09:38:31Z,4054118041,213,6.0,4054118027,56,Center,4104229793,178,,4054118037,212,40.9,4054118025,155,,4054118045,1,,4054118029,140,65.0,4054118033,141,46.3,3wpliz4y0ex8jxtlt2enirc9h,Maurício Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867177,3,1,1,0,8,7dkxxicrwn77jpdfkwpnlnnyn,0,33.5,52.4,2023-02-25T13:00:23.365Z,2023-03-18T09:38:44Z,4054118247,56,Back,4054118253,212,15.5,4054118245,3,,4054118251,141,51.6,4054118249,140,48.3,4054118255,213,6.2,4104229959,178,,,,,1x2kly8qv2vxujs6d0tgdt0id,M. Tisserand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867193,7,44,1,0,9,dbhdov3cc47kcr1hjg5qr5qg7,1,47.4,50.9,2023-02-25T13:00:25.158Z,2023-03-18T10:31:39Z,4054118333,233,4,4054118321,285,,4054118319,56,Back,,,,,,,,,,,,,,,,8zbaicqws2ux52rgiy95xetm2,Yahya Al Qarani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511867183,4,44,1,0,9,7dkxxicrwn77jpdfkwpnlnnyn,0,52.6,49.1,2023-02-25T13:00:25.159Z,2023-03-18T09:38:47Z,4054118371,286,,4054118373,233,7,4054118279,56,Center,,,,,,,,,,,,,,,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
