id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass
2494369019,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-31T16:30:30.075Z,2022-12-31T17:30:05Z,3962096167,59,"1, 2, 27, 8, 3, 25, 6, 15, 9, 10, 58, 11, 13, 14, 16, 17, 20, 77, 96, 99",3962096169,130,4,3962146063,197,960,3962096165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962096175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962096171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962096173,194,6ry2ngrlp71y0q57zgz6wu2y2,3962096163,30,"8i6yz8rk72m7ovjuxjn0vcxqt, 4xf79nz0hvi8o83ta08cftffu, 6ry2ngrlp71y0q57zgz6wu2y2, 4k6v874ygp633amqtbp1g9nth, 3par6lcu330qnblngnl7b209h, 3uwyni9c8q0rprd1nhtt073e1, 5sjuufrdq1rx6senkjjgtimsp, 7q7awmtwv66htmei0xy1hzdn9, 22cd6gzfwo341qai1o6014251, 73n9fjkvpac4i2s9kn6j86evp, b2klrrbklz788iu4vd46j0e3u, dqqj2g1jdn57o1j12ycaa2a96, 94pujujlsh98axp2fdflycahg, 602ni3z01educzy1qx0cuvzai, axq2a1kfogeahtcdulwezvdre, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, 6utme8y4gczf6sbj4btikmm8k, 6k45sak4jgjqew0dpkcil4hyh, 2cso52su6r9afugn6mhw2bl9m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494370395,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-12-31T16:36:01.184Z,2022-12-31T17:53:00Z,3962104181,194,74yjko6gbejstpnhkr1gn8xxx,3962104173,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962104171,30,"9n8332rcl3v2jq0b791i0s5w5, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, 8h4z74vxc8qqbmwelwpo8oq5m, 4uyfs1epryrirnq46jttxm6sp, 114zbg6z77mdio95dbl9v27dh, ddb6de7pli57w8z163ztwczx1, dayca044hynhii8kgr7g1azth, bwj0ic6ljwuzim9zsmosx4hxx, 4lhyi7xvorswax9xwmz4v5tqt, cpws4xoaun4lc21p379rpd59l, 2gqls23835l3x6466sfwnthhx, bfbozn43eclzjwzz8nt69ktsl, 12x5lacdmnvc801277ugw9ecp, 1h4lbj5lsr3be6k2e5esd6356, rbhqo1mjhl4j1enpfpbehlgp, 8wxgeu7xdeuvvuhn5ga0vu4q2, 4u3pq05nvcw6aemv99pbiopp0, 92mpk5ev1xz0pcw6bp24xjhwq, eiarh2kihedqxxoftjyi55td5",3962104183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962104179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962104175,59,"25, 2, 13, 19, 5, 21, 10, 18, 9, 94, 29, 4, 8, 14, 16, 17, 23, 27, 44, 78",3962146061,197,16905,3962104177,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377969,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-12-31T17:30:13.862Z,2022-12-31T17:30:14Z,3962146069,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377971,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-31T17:30:13.862Z,2023-01-05T11:44:18Z,3962146071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377975,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,49.6,50.1,2022-12-31T17:30:13.867Z,2023-01-06T03:53:30Z,3962146093,212,19.3,3962146091,141,62.3,3966710967,178,,3962146087,56,Back,3962146095,213,2.7,3962146089,140,33.0,3962146097,279,S,,,,bwj0ic6ljwuzim9zsmosx4hxx,V. Aboubakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377979,4,1,1,0,2,57jcqe38hakh2hfit2zsogsb,0,30.6,59.2,2022-12-31T17:30:16.680Z,2023-01-06T03:53:48Z,3962180361,1,,3962146121,212,55.9,3962146123,213,5.6,3962146113,155,,3962146117,140,73.2,3962146115,56,Right,3966711089,178,,3962146119,141,9.9,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495250591,745,67,1,0,5,7w4300dn2tnd0eqmbtk531tkx,1,37.8,94,2022-12-31T17:30:19.363Z,2023-01-06T05:29:34Z,3966731935,233,1098,,,,,,,,,,,,,,,,,,,,,,b2klrrbklz788iu4vd46j0e3u,Ayman Al Hujaili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495250589,1098,67,1,0,5,57jcqe38hakh2hfit2zsogsb,0,62.2,6,2022-12-31T17:30:19.364Z,2023-01-06T04:47:01Z,3966731943,233,745,,,,,,,,,,,,,,,,,,,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377981,3,8,1,0,5,7w4300dn2tnd0eqmbtk531tkx,1,37.4,93.9,2022-12-31T17:30:19.379Z,2023-01-06T05:29:35Z,3962146125,56,Back,3966273953,384,,3966711221,388,,,,,,,,,,,,,,,,,b2klrrbklz788iu4vd46j0e3u,Ayman Al Hujaili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494377983,4,43,1,0,7,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-31T17:30:20.955Z,2023-01-05T11:47:02Z,3966273873,144,49,,,,,,,,,,,,,,,,,,,,,,6ry2ngrlp71y0q57zgz6wu2y2,Hussain Ali Alnwaiqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
