id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2458120951,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-09-10T17:20:13.573Z,2022-09-15T14:44:13Z,3770406971,197,678,3770221617,59,"25, 5, 13, 19, 21, 3, 14, 18, 9, 94, 29, 2, 4, 8, 11, 17, 23, 24, 33, 45",3770221625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3770221623,194,4uyfs1epryrirnq46jttxm6sp,3770221615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3770221621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3770221619,130,2,3770221613,30,"9n8332rcl3v2jq0b791i0s5w5, 4uyfs1epryrirnq46jttxm6sp, 19djqex4nu3lz6vw08f3fwv6x, 8h4z74vxc8qqbmwelwpo8oq5m, 114zbg6z77mdio95dbl9v27dh, drd86nrgxki1eobo3pam0jk5x, 12x5lacdmnvc801277ugw9ecp, dayca044hynhii8kgr7g1azth, bwj0ic6ljwuzim9zsmosx4hxx, 4lhyi7xvorswax9xwmz4v5tqt, cpws4xoaun4lc21p379rpd59l, 74yjko6gbejstpnhkr1gn8xxx, 2gqls23835l3x6466sfwnthhx, bfbozn43eclzjwzz8nt69ktsl, 92qhzmz7bik9yiyhpt9fcvqzu, rbhqo1mjhl4j1enpfpbehlgp, 8wxgeu7xdeuvvuhn5ga0vu4q2, 5hm2s34cfjlc1ha8bxnyelhm2, 3u9v4demk1goyq93e3xv3d42d, 3orh0redv58co5v3kmto42dhx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458128037,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-09-10T17:27:40.713Z,2022-09-10T17:59:53Z,3770261667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3770261671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3770261661,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3770261659,30,"exmyiidka52uylmreef9fpn85, bx6o57idb4mbv2xo70l9gkfs9, 820fen2dxh3d2zmcbn9ak0u6t, 624uaxchaea87v6na4wsd50x5, 5376r1hbhrywje7cys1vcyb4l, cp8kbj12wth398bnglywepk9, 1fypwti6kn4ae12fc9outj845, evyk938tt0eebkhxrwejaonv9, 8cfopdu7tyfve6iu3sinme1gp, cgwl99clcp8j1z4tq5n0bh9ed, 5x2mcnjeclk64b5l9o2h4d5g5, 2rdvd4egt9kk7cocies197i6t, 2j90w131xjmie2ozb2wb6a6p6, 12aymg9roti0joastjxyswzqh, deh42a9ovtkyfppy2pmthdre1, 5zwi7f2u6vd88wvc00ynpv209, 5zhllm5im47ot9gywrg0untd6, 465tn4volgmbkntekrvwuvmne, 5yrugwes9msd3cd5hhrluivah, dcv72l1n3nkz6aybcnqwfu5g4",3770261665,130,11,3770261669,194,5376r1hbhrywje7cys1vcyb4l,3770261663,59,"30, 19, 13, 3, 15, 4, 2, 17, 9, 6, 7, 8, 20, 23, 24, 32, 33, 40, 49, 99",3770401921,197,4263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458153475,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-09-10T18:00:18.886Z,2022-09-21T07:14:01Z,3770407999,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458153469,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-09-10T18:00:18.886Z,2022-09-10T18:00:19Z,3770407967,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458153495,3,1,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,49.8,50.3,2022-09-10T18:00:18.974Z,2022-09-22T05:17:54Z,3770408143,279,S,3770408133,56,Back,3770408139,212,6.5,3770408137,141,52.2,3797150663,178,,3770408135,140,43.7,3770408141,213,2.9,,,,evyk938tt0eebkhxrwejaonv9,D. Antolić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458153507,4,1,1,0,2,4djrvao40r1vgr4psfl5dzc80,1,39.5,48.7,2022-09-10T18:00:21.626Z,2022-09-22T05:17:58Z,3770408225,56,Back,3770408231,212,7.7,3770408227,140,35.9,3797150721,178,,3770408229,141,38.9,3770408233,213,4.2,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458153519,5,1,1,0,5,4djrvao40r1vgr4psfl5dzc80,1,35.9,38.9,2022-09-10T18:00:24.835Z,2022-09-22T05:18:01Z,3797150727,178,,3770408335,141,73.8,3770408337,212,23.8,3770408331,56,Back,3770408333,140,33.9,3770408339,213,1.7,,,,,,,cp8kbj12wth398bnglywepk9,Ibrahim Al Nakhli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458153535,6,1,1,0,8,4djrvao40r1vgr4psfl5dzc80,0,34,74.8,2022-09-10T18:00:27.772Z,2022-09-22T05:18:03Z,3770408481,212,37.7,3770408477,140,67.6,3770408475,56,Left,3770408485,1,,3797150751,178,,3770408479,141,94.4,3770408473,155,,3770408483,213,0.4,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463184289,835,43,1,0,11,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-09-10T18:00:30.153Z,2022-09-22T06:44:34Z,3797162223,233,847,3797204399,144,67,,,,,,,,,,,,,,,,,,,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463184287,847,43,1,0,11,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-09-10T18:00:30.154Z,2022-09-22T06:44:33Z,3797162227,233,835,3797204397,144,67,,,,,,,,,,,,,,,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
