id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/18/value,qualifier/17/value
2451763947,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-08-27T17:24:44.494Z,2022-08-30T13:57:45Z,3736329655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736329651,59,"1, 45, 27, 44, 25, 12, 10, 88, 11, 17, 82, 4, 6, 8, 9, 14, 18, 19, 23, 74",3736329657,194,6bl8ekn7ahyf7z4ri1cknbnfu,3736329649,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736514465,197,15800,3736329647,30,"6veqhleq95267xca919eg02j9, 6f7isvwcywig1hlvfed4q0hgq, 6yaoc71surv8vh9hjfli7dwid, 6bl8ekn7ahyf7z4ri1cknbnfu, 5n3pl3j98lkmzzus1b095bkd1, 829ypq99t1vn90xey32mwt7th, 6ygvaf7gjckdemde0ec0tem6t, 3kfeazpv3d1wy6e333pudwkid, 2neoemoj0t2ssvjhhii62rvje, 1l0bb9txaodn0kqc5rca35rdh, 9yceimet7wbytfai5ivr0v4k5, 52gxk6j2kp1i7dkz1w7wfxzsa, 7raap8bz78dmxw9ngo1w73tux, 3akxznb8k4r088rrqbbj04m39, 7gvqqqfoak5692c4xnrcrqe39, 9ex7z7sbghe3zx17a4u7gsay2, 3q942kxc3baiiwdozn97dgqtx, 3nahof9wwcvyylv87fjhhpt5h, d21tm0cmhxpy6rq71iyu5yzf9, 5sni2fs80zc0n2s2u3en54b56",3736329659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736329653,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772969,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-08-27T17:33:40.005Z,2022-08-27T19:03:38Z,3736380795,194,jm8cn996mibk0hwauxvsb1lh,3736380791,130,6,3736380789,59,"16, 14, 39, 89, 19, 3, 47, 8, 9, 10, 7, 4, 6, 13, 17, 18, 21, 27, 88, 1",3736380797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736380787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736514703,197,15478,3736380793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736380785,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, 9o288vygjpcv3noeqnrnqh3ah, btjt8zqd248l6mk9b2obdsr1l, bwew6i3fnis40s77t3e3sal0p, jm8cn996mibk0hwauxvsb1lh, 70847l0k04al2d9ekrdw2r1ii, dp5fmyett2g7fvus88m85fsut, 17rl734wbbzbxvj33id7j9l62, 483n2f7a1xkseruh77bj7rxed, 6fy868uh27umb1dafjy7tk2xh, dxy1gb64e1hokq26qqnigirpx, 7hi572oc3pv3uowvv4cupijmd, 97gy3oursbjphkf5t85x9wy96, 4fkudkcxt03pqaqz58nofkag9, 6msbre1fcjcrvqyzoozo43sb8, c706bwqqpdkdk2zqzmop9wm39, 7aeoxgg7e0g8t4ggq2l8nvb3d, 2ycm47qi7qr17i31a8f6oq9gq, 9xp5dssep1sdnexngspcmkst1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798731,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-08-27T18:00:36.576Z,2022-09-02T05:31:52Z,3736523159,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798715,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-08-27T18:00:36.576Z,2022-08-27T19:19:08Z,3736523065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451862417,351,43,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-08-27T18:00:36.576Z,2022-08-30T13:20:14Z,3744645967,144,49,,,,,,,,,,,,,,,,,,,,,,2neoemoj0t2ssvjhhii62rvje,K. El Berkaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798801,3,1,1,0,0,6ttwlm6op92r4670oayg5md7h,1,49.9,50,2022-08-27T18:00:36.889Z,2022-09-04T00:38:24Z,3736523399,213,3.7,3736523387,140,42.2,3736523403,279,S,3756252689,178,,3736523391,141,41.8,3736523383,56,Back,3736523395,212,9.8,,,,1l0bb9txaodn0kqc5rca35rdh,Júlio Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798857,4,1,1,0,2,6ttwlm6op92r4670oayg5md7h,1,42.2,40.4,2022-08-27T18:00:38.935Z,2022-09-04T00:38:36Z,3736523731,140,42.4,3736523735,212,19.7,3756253487,178,,3736523737,213,4.7,3736523729,56,Back,3736523733,141,11.4,,,,,,,6bl8ekn7ahyf7z4ri1cknbnfu,Sultan Al Farhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798873,5,1,1,0,4,6ttwlm6op92r4670oayg5md7h,1,41.3,6.4,2022-08-27T18:00:41.403Z,2022-09-04T00:38:45Z,3736523809,56,Back,3736523813,141,21.8,3736523817,213,2.3,3736523815,212,14.3,3736523811,140,32.0,3756254069,178,,,,,,,,6f7isvwcywig1hlvfed4q0hgq,Yahya Sunbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456295261,984,43,1,0,6,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-08-27T18:00:42.590Z,2022-09-05T12:24:37Z,3760502385,144,82,3760502365,178,0,,,,,,,,,,,,,,,,,,,5n3pl3j98lkmzzus1b095bkd1,Renê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798907,6,1,1,0,7,6ttwlm6op92r4670oayg5md7h,1,30.1,22.7,2022-08-27T18:00:43.722Z,2022-09-04T00:38:55Z,3736523969,141,54.5,3756254505,178,,3736523973,213,1.6,3736523971,212,21.7,3736523965,56,Back,3736523967,140,28.7,,,,,,,5n3pl3j98lkmzzus1b095bkd1,Renê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
