id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2503319311,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-03T16:08:57.740Z,2023-02-03T17:37:37Z,4009119837,194,1imyf62l4rk4oyith29w5bhzp,4009119827,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, 9kbzdpxg4ud1m8wppt1s1roq, 6q8kbaw3h6n77ekwl6fr0e9qt, 1x2kly8qv2vxujs6d0tgdt0id, 9p1b5iftds5x02tx2eyseaklx, 1imyf62l4rk4oyith29w5bhzp, 5brwa0y63724t6s3y6gtz28yx, dvt8h9sh00qsqzhrb3y4fco9h, bia0lpc5wkxjcyc92d12apas5, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, 9brcp1e0kz59x1g4j73a54m50, a7sgm3cmjoxjjxanrad02l2lm, aervyzt3cfxxktpj81yjxo9d6, d597taqcmedln0e50xgdyt8gk, 9j37dmdxamf5ykbw9l24wlt6, 4c540mry6f9esodej103n6xka, 8hw7lxbdh3zllchj5arfyc8np, 1li4roqq55x7nss4ufnjt321g",4009174747,197,608,4009119833,130,6,4009119835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009119831,59,"48, 2, 70, 11, 32, 14, 7, 98, 18, 99, 27, 1, 5, 6, 8, 12, 15, 16, 17, 24",4009119839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009119829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503321521,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-02-03T16:23:44.188Z,2023-02-03T17:34:15Z,4009132427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009174585,197,6655,4009132417,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009132423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009132425,194,vgyj638vzzteqqyxcdte3sgl,4009132421,130,13,4009132419,59,"1, 11, 23, 49, 3, 33, 43, 19, 12, 10, 17, 50, 5, 7, 14, 16, 20, 22, 24, 73",4009132415,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3km030r7hwsxw849nv0qpaql0, idjs50cwxlt56rylhn3znt62, 91e6dbk9uxyui5vbe47zdj6jt, 3qf9lidcmozvvpy2jprlx3v11, daqggbwzctkpojr1kn1l2sm39, vgyj638vzzteqqyxcdte3sgl, b6uziptaly2jgznnhe7l5bqol, si3wcnvnhiukn1novyv1su6t, 98nbel31pgxlifu6s4wqqxjv9, 2m9cba7mtmeo99f8alyhis2ne, c3ly1ivtw40f1rjqbbk9ublqt, aonc1y49ulmolyc47knpwtrtg, 15o6hxjc62wgd0ej4dxtxczpx, 4w7c7a9rw5id7f0wikw02orth, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 29pby7871xfvvog01vlcdxdrd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329341,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-02-03T17:30:19.575Z,2023-02-03T17:30:19Z,4009177649,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329345,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-03T17:30:19.575Z,2023-02-18T09:37:03Z,4009177655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329367,3,1,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,49.9,49.9,2023-02-03T17:30:19.644Z,2023-02-22T10:18:36Z,4009177735,212,18.0,4009177731,140,32.8,4009177733,141,51.3,4009177729,56,Back,4009177739,279,S,4009177737,213,3.1,4049063665,178,,,,,b6uziptaly2jgznnhe7l5bqol,M. Antonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329375,4,1,1,0,2,cq4rdp1mkan8zhaw7bmzjdaqk,0,32.8,51.3,2023-02-03T17:30:22.556Z,2023-02-22T10:18:41Z,4009177783,213,5.8,4009177773,155,,4009177781,212,42.8,4009177785,1,,4009177775,56,Center,4049064017,178,,4009177779,141,23.2,4009177777,140,69.3,91e6dbk9uxyui5vbe47zdj6jt,Fahad Al Harbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329373,3,49,1,0,5,7dkxxicrwn77jpdfkwpnlnnyn,1,27.3,87.3,2023-02-03T17:30:24.759Z,2023-02-22T10:18:47Z,,,,,,,,,,,,,,,,,,,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329399,4,1,1,0,8,7dkxxicrwn77jpdfkwpnlnnyn,0,34.1,94.1,2023-02-03T17:30:28.184Z,2023-02-22T10:18:51Z,4009177913,140,60.3,4009177915,141,89.1,4009177911,56,Left,4009177919,213,6.2,4049064241,178,,4009177917,212,27.7,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505386769,742,49,1,0,9,cq4rdp1mkan8zhaw7bmzjdaqk,1,41,19.9,2023-02-03T17:30:29.250Z,2023-02-22T10:19:16Z,,,,,,,,,,,,,,,,,,,,,,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503329417,5,1,1,0,9,cq4rdp1mkan8zhaw7bmzjdaqk,0,40.3,8.8,2023-02-03T17:30:29.288Z,2023-02-22T10:19:13Z,4009177997,212,14.0,4049064465,178,,4009177999,213,1.0,4009177991,56,Back,4009177995,141,26.0,4009177993,140,47.6,,,,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
