id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value,qualifier/18/value
2542663093,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-05-02T17:13:08.721Z,2023-05-02T18:26:27Z,4245308577,30,"6k45sak4jgjqew0dpkcil4hyh, 4xf79nz0hvi8o83ta08cftffu, dy434rgboexxvq6tgr8gwef9x, 4k6v874ygp633amqtbp1g9nth, 3par6lcu330qnblngnl7b209h, 3uwyni9c8q0rprd1nhtt073e1, 73n9fjkvpac4i2s9kn6j86evp, 5sjuufrdq1rx6senkjjgtimsp, 22cd6gzfwo341qai1o6014251, 7q7awmtwv66htmei0xy1hzdn9, netr5hv4nn69u7twf7u892hh, dqqj2g1jdn57o1j12ycaa2a96, 94pujujlsh98axp2fdflycahg, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, 1im5k8tl0j4weq6bkwet3le96, rzzmmqh8ib3206ey7sqsgv84, 5yrugwes9msd3cd5hhrluivah, 2cso52su6r9afugn6mhw2bl9m",4245309265,194,4k6v874ygp633amqtbp1g9nth,4245445891,197,960,4245308587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245308583,130,8,4245308585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245308581,59,"96, 2, 5, 8, 3, 25, 10, 6, 9, 15, 93, 11, 13, 14, 17, 20, 24, 35, 49, 99",4245308579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542664065,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-05-02T17:16:49.457Z,2023-05-02T18:40:33Z,4245447881,197,608,4245314089,59,"48, 2, 12, 6, 5, 32, 7, 16, 18, 27, 99, 1, 8, 11, 13, 14, 15, 17, 24, 98",4245314095,194,1imyf62l4rk4oyith29w5bhzp,4245314085,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, d597taqcmedln0e50xgdyt8gk, a7sgm3cmjoxjjxanrad02l2lm, 9brcp1e0kz59x1g4j73a54m50, 1x2kly8qv2vxujs6d0tgdt0id, 1imyf62l4rk4oyith29w5bhzp, 4c540mry6f9esodej103n6xka, dvt8h9sh00qsqzhrb3y4fco9h, 7rno5g3b18rzi95yfx6u9bs9h, bia0lpc5wkxjcyc92d12apas5, bzvpk1shkgjuuzmr0e7mrfaad, aervyzt3cfxxktpj81yjxo9d6, 6q8kbaw3h6n77ekwl6fr0e9qt, 3ps4l9x2ndwkypm1y4z6h5uxh, 9p1b5iftds5x02tx2eyseaklx, 9j37dmdxamf5ykbw9l24wlt6, 8hw7lxbdh3zllchj5arfyc8np, 1li4roqq55x7nss4ufnjt321g, 5brwa0y63724t6s3y6gtz28yx",4245314093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245314097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245314087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4245314091,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688617,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-05-02T18:30:13.179Z,2023-05-02T18:30:14Z,4245452109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688611,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-05-02T18:30:13.179Z,2023-05-04T14:24:53Z,4245452073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688631,3,1,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,50.1,50,2023-05-02T18:30:13.279Z,2023-05-02T18:30:16Z,4245452167,212,21.0,4245452163,141,42.8,4245452155,56,Back,4245452169,213,3.4,4245452171,279,S,4245452159,140,30.7,,,,,,,22cd6gzfwo341qai1o6014251,S. Çikalleshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688657,4,1,1,0,3,7w4300dn2tnd0eqmbtk531tkx,1,33.3,40.3,2023-05-02T18:30:16.850Z,2023-05-02T18:30:22Z,4245452301,155,,4245452303,56,Left,4245452307,141,91.8,4245452305,140,72.3,4245452311,213,0.7,4245452313,1,,4245452309,212,53.9,,,,3par6lcu330qnblngnl7b209h,Mohammed Al Khabrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688665,5,43,1,0,9,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-05-02T18:30:22.435Z,2023-05-02T18:30:42Z,4245452347,212,2.5,4245452343,140,70.3,4245452345,141,89.3,4245452341,56,Left,4245452349,213,4.1,4245452917,144,1,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688671,6,50,1,0,10,7w4300dn2tnd0eqmbtk531tkx,1,68.2,91.4,2023-05-02T18:30:23.326Z,2023-05-02T18:30:25Z,4245452367,56,Left,4245452369,286,,4245452411,233,3,,,,,,,,,,,,,,,,netr5hv4nn69u7twf7u892hh,Fábio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688663,3,7,1,0,10,7dkxxicrwn77jpdfkwpnlnnyn,1,31.8,8.6,2023-05-02T18:30:23.327Z,2023-05-04T14:26:05Z,4245452337,56,Back,4245452339,285,,4249838637,383,,4245452397,233,6,,,,,,,,,,,,,a7sgm3cmjoxjjxanrad02l2lm,Ibrahim Mahnashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542688667,4,49,1,0,10,7dkxxicrwn77jpdfkwpnlnnyn,1,32,6.7,2023-05-02T18:30:24.015Z,2023-05-02T18:33:08Z,,,,,,,,,,,,,,,,,,,,,,,,,a7sgm3cmjoxjjxanrad02l2lm,Ibrahim Mahnashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
