id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2517541843,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-03-09T16:44:04.239Z,2023-03-09T17:36:04Z,4084174607,197,685,4084125275,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, dcl1lgczly52fg4f7oh8se6l1, bepcao7uiozczrxbhc7fjjis5, 2gef3rw1e1q3d7qudetpgvbop, ytjrtqtximxhs52bfsezogk5, 8sllxmpst47s6c46fgtv1q47p, 93ysty1r8uw717axrz77q88ut, btjt8zqd248l6mk9b2obdsr1l, bjprfeyv38xb284im3yuu3u21, 6w77bixcwoy3qlg568od8wr9, cq1rq8a9wnt1dxvxe6fmz9vfu, 68cm9uvlgmi1q5xfki3g31i39, cstghu0b2nh9pfzn5p6me7jkl, e9vibltkrv53iodnepbqmtzbo, 3qum8ho760i5bw8ejmkjfdec5, d5e7ou0odurdq9omp4tk16ck4, 3m67z6okk8i52z0b6widofxsl, 9e8phbwelzhbdk0bfsuyu4a5m",4084125281,130,8,4084125285,194,ytjrtqtximxhs52bfsezogk5,4084125283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4084125279,59,"18, 27, 24, 15, 4, 5, 8, 23, 77, 89, 9, 6, 7, 10, 11, 26, 35, 16, 71, 88",4084125277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4084125287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517542397,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-03-09T16:47:18.140Z,2023-03-09T17:44:36Z,4084128569,59,"88, 8, 3, 33, 4, 22, 18, 37, 9, 10, 7, 1, 2, 6, 17, 19, 23, 27, 66, 98",4084128565,30,"5hewtfw3vtddu8u3qmueyv4yd, 28pvmv8slheuqzsh4eok2t905, 483s97qezyiz91n8qzwjd7uuh, 7qmg0s07y1tkthgu8zwa599ed, d3hiwrqyxc7ff8vlwk35tnsru, 9vsqe0uy76u157na942hdokx5, 5zmh9fz8vr0jcgt8zic0vyve2, 61u0tfe67undvqqutes55k2xh, cd3zg2t4cq4ghoh61kri7vaad, beeunz2xxmos83md5kmsy4hqt, 6m2uqbr8e3v4hcg8r02ee1ec5, 85paqhbw10m5ra3set109qz9, ettpwvqyj8pyfhwpc7q84svhm, dozljiegaplgkxwywguqomeei, 576sxo24s5ktc0t9chfh9v4d1, dybfeu5czibo3vri357z8yrpx, 9q7c1bn4dgyhoqto46puqeevp, 9k81fwyq8bbyhckt5t80fvwet, arqaprcadqfrz0tj3iouo98t1, 1dtpzd3m6rhsrc1vk1ddzk2jt",4084128577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4084128567,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4084174491,197,18162,4084128573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4084128571,130,11,4084128575,194,d3hiwrqyxc7ff8vlwk35tnsru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550465,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-03-09T17:30:37.696Z,2023-03-09T17:30:39Z,4084176083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550459,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-03-09T17:30:37.696Z,2023-03-26T09:45:00Z,4084176059,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550471,3,1,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,50,50,2023-03-09T17:30:37.714Z,2023-03-27T04:29:39Z,4084176105,212,7.2,4084176101,140,43.1,4084176099,56,Back,4084176103,141,49.7,4084176109,279,S,4084176107,213,3.2,4125939685,178,,,,,ytjrtqtximxhs52bfsezogk5,C. Guanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550483,4,1,1,0,1,2ry1fixv27p3xepazsxcuyoho,1,43.1,49.7,2023-03-09T17:30:39.659Z,2023-03-27T04:29:45Z,4125939777,178,,4084176159,140,46.6,4084176163,212,30.0,4084176161,141,93.5,4084176165,213,1.4,4084176157,56,Back,,,,,,,8sllxmpst47s6c46fgtv1q47p,G. Krychowiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550495,5,1,1,0,5,2ry1fixv27p3xepazsxcuyoho,1,46.6,93.6,2023-03-09T17:30:43.343Z,2023-03-27T04:29:51Z,4084176235,56,Back,4084176239,141,80.8,4084176241,212,11.1,4084176243,213,4.0,4125939809,178,,4084176237,140,40.0,,,,,,,2evokue4swxl64cxjuc21u2qy,Moteb Al Harbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550501,6,1,1,0,8,2ry1fixv27p3xepazsxcuyoho,1,40.1,79.6,2023-03-09T17:30:46.122Z,2023-03-27T04:29:53Z,4084176269,141,62.1,4084176265,56,Back,4084176273,213,4.3,4084176271,212,12.9,4125939817,178,,4084176267,140,35.4,,,,,,,dcl1lgczly52fg4f7oh8se6l1,Hussain Al Qahtani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550509,7,1,1,0,11,2ry1fixv27p3xepazsxcuyoho,1,35.4,61.7,2023-03-09T17:30:48.913Z,2023-03-27T04:29:58Z,4084176307,141,33.3,4084176311,213,4.8,4125939849,178,,4084176305,140,36.6,4084176303,56,Back,4084176309,212,19.4,,,,,,,2gef3rw1e1q3d7qudetpgvbop,Hassan Tambakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517550519,8,1,1,0,14,2ry1fixv27p3xepazsxcuyoho,1,36.6,33.3,2023-03-09T17:30:52.166Z,2023-03-27T04:30:02Z,4084176369,56,Back,4084176377,213,1.7,4125939877,178,,4084176371,140,34.6,4084176375,212,18.3,4084176373,141,60.0,,,,,,,bepcao7uiozczrxbhc7fjjis5,Iago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
