id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value
2529006833,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-04-05T18:17:46.655Z,2023-04-05T18:57:53Z,4165676251,130,8,4165676255,194,8j0yhxinglb5o5dpe2qd232dx,4165676247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4165676253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165676249,59,"1, 6, 31, 10, 4, 14, 7, 18, 3, 77, 8, 2, 11, 17, 25, 19, 33, 36, 49, 99",4165751533,197,11736,4165676245,30,"2r3ppks82lf3a7aycih7rc63t, 7msfk3faesnc4ls6893wdhi0a, 7l1lhluaxnuy4cun3omcva4us, cmijbwv0ine68v0y6kf9cuehh, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, c8sryc7a76ov57x24tv80swr9, 9f8pdf7j05xb111c5lunzgvyt, 8ab4hqpw7m6ocphleluf9sicp, 8pxv846gct3gjgrknr4glqulm, 75cibe9m6z4wb8be86hfgvtud, 7x4ltdnskxz0ym3i6meukx5hw, 2xkudoxz92f1vgbjlsbfum3f9, 7kbi9qu4y9rhc28x3ogyg5ot1, 336mfvzuqbqzrs5dj2ltg4nx0, 2b8fj2xnd2h9rdbg0bkgbizu1, ofynblpwoiwefv52bgqz30x6, cf6l2e5tkglv7decs50666w44, de3zx99d8qybnoq7nvlcd7xii",4165676257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529013675,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-04-05T18:36:35.935Z,2023-04-05T19:02:03Z,4165709209,194,jm8cn996mibk0hwauxvsb1lh,4165749981,197,15478,4165709211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165709199,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, jm8cn996mibk0hwauxvsb1lh, pgyt3j19g11v27qx998bgmi1, dxy1gb64e1hokq26qqnigirpx, bwew6i3fnis40s77t3e3sal0p, 483n2f7a1xkseruh77bj7rxed, dp5fmyett2g7fvus88m85fsut, bvmo38wfbtnrk5hdbxgczkzpx, 17rl734wbbzbxvj33id7j9l62, 6fy868uh27umb1dafjy7tk2xh, 87g8od8v77pe4m134wu8ipnu, 97gy3oursbjphkf5t85x9wy96, 6msbre1fcjcrvqyzoozo43sb8, bgac6td6x8qi2o7o5ofrj3t1x, 4jspfn1jca5yzxbhn8p2p06ax, 9o288vygjpcv3noeqnrnqh3ah, embrr58160gq57nfexeif3xsl, 7ueyn4p0d6gpkgz5yk4e1rzmc, 2ycm47qi7qr17i31a8f6oq9gq",4165709201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4165709207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165709203,59,"16, 14, 3, 34, 4, 19, 10, 8, 20, 9, 7, 23, 13, 18, 31, 33, 39, 77, 86, 88",4165709205,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022641,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-04-05T19:01:08.829Z,2023-04-07T08:12:44Z,4165758441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022651,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-04-05T19:01:08.829Z,2023-04-05T19:01:11Z,4165758471,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022683,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50,50,2023-04-05T19:01:08.929Z,2023-04-05T19:03:59Z,4165758661,56,Back,4165758665,141,50.6,4165758663,140,37.7,4165758669,213,3.1,4165758671,279,S,4165758667,212,12.9,,,,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022695,4,1,1,0,1,o1iwuxbv233ayidxpibbxy59,1,38.3,50.9,2023-04-05T19:01:10.827Z,2023-04-05T19:04:07Z,4165758729,140,49.1,4165758731,141,50.9,4165758733,212,11.3,4165758727,56,Back,4165758737,213,0,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529024417,38,1,1,0,2,o1iwuxbv233ayidxpibbxy59,1,48.3,51.4,2023-04-05T19:01:11.809Z,2023-04-05T19:17:22Z,4165767907,140,45.5,4165767913,213,1.8,4165767909,141,73.9,4165767911,212,15.6,4165767905,56,Back,,,,,,,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529024663,43,1,1,0,3,o1iwuxbv233ayidxpibbxy59,0,47.5,70.4,2023-04-05T19:01:12.290Z,2023-04-05T19:17:20Z,4165769357,141,83.4,4165769353,56,Left,4165769355,140,54.8,4165769361,213,0.9,4165769359,212,11.7,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022689,3,61,1,0,4,d47tf49ishm9qnfd8zyc8wv0j,1,40.7,18.2,2023-04-05T19:01:12.851Z,2023-04-05T19:01:13Z,4165758707,56,Back,,,,,,,,,,,,,,,,,,,,,,483n2f7a1xkseruh77bj7rxed,S. Bguir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022707,4,5,1,0,5,d47tf49ishm9qnfd8zyc8wv0j,0,39.7,-1.8,2023-04-05T19:01:14.121Z,2023-04-05T19:01:16Z,4165758969,233,5,4165758815,347,,4165758813,56,Back,,,,,,,,,,,,,,,,483n2f7a1xkseruh77bj7rxed,S. Bguir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
