id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,qualifier/11/value,keyPass,qualifier/13/value,qualifier/12/value,qualifier/17/value,qualifier/18/value,qualifier/14/value
2466646951,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2022-10-02T16:41:54.814Z,2022-10-02T17:55:45Z,3815819479,197,615,3815530457,130,6,3815530461,194,d9pwgddm81gw3caq3njscahud,3815530453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3815530459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815530451,30,"26dlb4txygf7qzukjikr23mxh, 85oc68xls37jerkaimzc1lv8q, 7tct6lamqw703ndfo60ruh6fp, d9pwgddm81gw3caq3njscahud, mnfpjrfb77nre55z4ha7b9p1, 6y9gieuehyt2l41jeh0cucrmd, aqe0o77dv6114gsbpw3t1iymt, 6b717wlx0q8d73hsbgsp90no5, 3a2ef34105eqoes4s6zu1310p, cee8klv6kur6xp1v57uikihg5, 2u7lvws9q3r5yu76aioea6ifp, emt3e6x1c9howgtee0hr1hucp, etvu2javyjbzekaw2ro994iqd, 6w77bixcwoy3qlg568od8wr9, eznzwuryd9khv90y1it9dey1h, jzdzefumhn1ch49i21rc2385, 73sjrd456fd075zz1gmoutpuc, 9twzw7onygiy3indxm8rtjvu1, 3yse82loi3vxx4kyg6oe8cbo4, cvlg8sqmyklrh34h1dbad8s9g",3815530463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815530455,59,"1, 2, 25, 14, 4, 17, 11, 6, 9, 28, 10, 7, 8, 12, 24, 26, 83, 87, 94, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466652879,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-10-02T16:47:37.716Z,2022-10-02T18:56:49Z,3815820987,197,15478,3815563663,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, 97gy3oursbjphkf5t85x9wy96, bwew6i3fnis40s77t3e3sal0p, c706bwqqpdkdk2zqzmop9wm39, dxy1gb64e1hokq26qqnigirpx, c8h2fwbtb1bs0i68fb730vpwp, btjt8zqd248l6mk9b2obdsr1l, bvmo38wfbtnrk5hdbxgczkzpx, dp5fmyett2g7fvus88m85fsut, 2ycm47qi7qr17i31a8f6oq9gq, 9xp5dssep1sdnexngspcmkst1, jm8cn996mibk0hwauxvsb1lh, 7hi572oc3pv3uowvv4cupijmd, 17rl734wbbzbxvj33id7j9l62, 483n2f7a1xkseruh77bj7rxed, 7aeoxgg7e0g8t4ggq2l8nvb3d, bgac6td6x8qi2o7o5ofrj3t1x, 4jspfn1jca5yzxbhn8p2p06ax, 9o288vygjpcv3noeqnrnqh3ah",3815563673,194,btjt8zqd248l6mk9b2obdsr1l,3815563669,130,11,3815563667,59,"16, 14, 13, 19, 21, 4, 11, 89, 20, 8, 88, 1, 3, 6, 9, 10, 27, 31, 33, 39",3815563677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815563671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815563665,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699413,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2022-10-02T18:00:12.750Z,2022-10-17T07:37:25Z,3815827393,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699417,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-10-02T18:00:12.750Z,2022-10-02T18:00:13Z,3815827407,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699445,3,1,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,50,50,2022-10-02T18:00:12.790Z,2022-10-17T09:40:00Z,3815827567,212,14.0,3815827563,140,37.5,3815827569,213,2.8,3815827565,141,57.3,3815827571,279,S,3815827561,56,Back,3829617103,178,,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699451,4,1,1,0,3,aekjg4wbxaixtwu4aicmiju92,0,38.8,54.5,2022-10-02T18:00:15.951Z,2022-10-17T09:40:08Z,3829617265,178,,3815827605,56,Center,3815827615,1,,3815827611,212,32.1,3815827603,155,,3815827609,141,27.4,3815827613,213,5.7,3815827607,140,63.8,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699457,3,1,1,0,5,d47tf49ishm9qnfd8zyc8wv0j,1,27.1,61.1,2022-10-02T18:00:17.900Z,2022-10-17T09:40:14Z,3815827645,56,Back,3815827651,212,6.4,3815827653,213,2.4,3829617449,388,,3815827647,140,22.5,3815827649,141,67.2,3815827643,3,,,,,btjt8zqd248l6mk9b2obdsr1l,Riyadh Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699461,4,49,1,0,7,d47tf49ishm9qnfd8zyc8wv0j,1,22.5,67.2,2022-10-02T18:00:19.810Z,2022-10-17T09:40:44Z,,,,,,,,,,,,,,,,,,,,,,,,,bwew6i3fnis40s77t3e3sal0p,A. Atouchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466699481,5,1,1,0,7,d47tf49ishm9qnfd8zyc8wv0j,1,22.5,67.2,2022-10-02T18:00:19.870Z,2022-10-17T09:40:40Z,3815827791,155,,3815827795,140,41.6,3829617763,178,,3815827801,213,0.0,3815827797,141,67.4,3815827793,56,Back,3815827799,212,20.1,,,,bwew6i3fnis40s77t3e3sal0p,A. Atouchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466724323,382,1,1,0,7,d47tf49ishm9qnfd8zyc8wv0j,1,37.2,85.8,2022-10-02T18:00:20.614Z,2022-10-17T09:40:49Z,3815964341,140,41.1,3815964345,212,4.1,3829618083,388,,3815964339,56,Back,3815964337,3,,3815964347,213,6.3,3815964343,141,85.7,,,,btjt8zqd248l6mk9b2obdsr1l,Riyadh Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
