id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2493163527,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-25T16:16:59.041Z,2022-12-25T17:32:34Z,3955700483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955700489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955700487,130,4,3955700493,197,960,3955700481,30,"8i6yz8rk72m7ovjuxjn0vcxqt, 4xf79nz0hvi8o83ta08cftffu, 6ry2ngrlp71y0q57zgz6wu2y2, 4k6v874ygp633amqtbp1g9nth, 94pujujlsh98axp2fdflycahg, anje77akol69g67tssc9p2bpx, 5sjuufrdq1rx6senkjjgtimsp, 7q7awmtwv66htmei0xy1hzdn9, 22cd6gzfwo341qai1o6014251, 73n9fjkvpac4i2s9kn6j86evp, b2klrrbklz788iu4vd46j0e3u, 3par6lcu330qnblngnl7b209h, dqqj2g1jdn57o1j12ycaa2a96, 602ni3z01educzy1qx0cuvzai, axq2a1kfogeahtcdulwezvdre, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, 6utme8y4gczf6sbj4btikmm8k, 6k45sak4jgjqew0dpkcil4hyh, 2cso52su6r9afugn6mhw2bl9m",3955700485,59,"1, 2, 27, 8, 13, 4, 6, 15, 9, 10, 58, 3, 11, 14, 16, 17, 20, 77, 96, 99",3955700491,194,anje77akol69g67tssc9p2bpx,3955700495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493166071,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-12-25T16:34:49.828Z,2022-12-25T17:36:41Z,3955714931,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, 9kbzdpxg4ud1m8wppt1s1roq, a7sgm3cmjoxjjxanrad02l2lm, 1x2kly8qv2vxujs6d0tgdt0id, 9brcp1e0kz59x1g4j73a54m50, 6q8kbaw3h6n77ekwl6fr0e9qt, 5brwa0y63724t6s3y6gtz28yx, bia0lpc5wkxjcyc92d12apas5, 1imyf62l4rk4oyith29w5bhzp, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, dpuogllbip7f2jpamgohjkfyt, aervyzt3cfxxktpj81yjxo9d6, d597taqcmedln0e50xgdyt8gk, 3ps4l9x2ndwkypm1y4z6h5uxh, 9j37dmdxamf5ykbw9l24wlt6, 8hw7lxbdh3zllchj5arfyc8np, dvt8h9sh00qsqzhrb3y4fco9h, 1li4roqq55x7nss4ufnjt321g",3955714943,197,608,3955714935,59,"48, 2, 70, 6, 32, 5, 11, 98, 99, 7, 27, 1, 4, 8, 12, 13, 15, 17, 18, 24",3955714937,130,4,3955714939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955714945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955714941,194,1imyf62l4rk4oyith29w5bhzp,3955714933,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174903,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-25T17:30:16.075Z,2022-12-25T17:30:18Z,3955762777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174901,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-12-25T17:30:16.075Z,2022-12-30T07:43:24Z,3955762775,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174907,3,1,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,49.9,50.1,2022-12-25T17:30:16.086Z,2022-12-30T17:34:44Z,3960773857,178,,3955762797,140,38.2,3955762803,213,2.9,3955762799,141,55.0,3955762795,56,Back,3955762805,279,S,3955762801,212,12.7,,,,5sjuufrdq1rx6senkjjgtimsp,Khaled Al Samiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174919,4,1,1,0,2,7w4300dn2tnd0eqmbtk531tkx,0,36.6,52.7,2022-12-25T17:30:18.949Z,2022-12-30T17:34:49Z,3955762869,213,5.8,3955762867,212,44.7,3960774961,178,,3955762863,140,73.6,3955762859,155,,3955762871,1,,3955762861,56,Right,3955762865,141,20.3,anje77akol69g67tssc9p2bpx,D. Benlamri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174921,3,44,1,0,5,7dkxxicrwn77jpdfkwpnlnnyn,1,25.4,85.9,2022-12-25T17:30:21.975Z,2022-12-30T18:49:42Z,3955762917,233,5,3955762875,285,,3955762873,56,Back,,,,,,,,,,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174929,5,44,1,0,5,7w4300dn2tnd0eqmbtk531tkx,0,74.6,14.1,2022-12-25T17:30:21.976Z,2022-12-30T17:34:59Z,3955762911,233,3,3955762895,286,,3955762893,56,Right,,,,,,,,,,,,,,,,22cd6gzfwo341qai1o6014251,S. Çikalleshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493175153,19,1,1,0,5,7dkxxicrwn77jpdfkwpnlnnyn,0,24.8,80.2,2022-12-25T17:30:22.054Z,2022-12-30T18:49:43Z,3960775555,388,,3955770931,141,80.6,3955770925,3,,3955770935,213,0.1,3955770927,56,Back,3955770929,140,27.8,3955770933,212,3.2,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493174937,6,61,1,0,5,7w4300dn2tnd0eqmbtk531tkx,1,74.3,14.4,2022-12-25T17:30:22.069Z,2022-12-30T17:35:22Z,3960775951,21,,3960775953,388,,3955762929,56,Right,,,,,,,,,,,,,,,,7q7awmtwv66htmei0xy1hzdn9,A. Biyogo Poko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
