id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/14/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2493321387,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-12-26T16:15:49.404Z,2022-12-26T17:34:12Z,3956555561,197,678,3956555553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956555557,194,74yjko6gbejstpnhkr1gn8xxx,3956555547,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3956555565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956555549,59,"25, 2, 13, 17, 5, 21, 23, 18, 9, 94, 14, 4, 8, 10, 16, 19, 27, 29, 33, 78",3956555545,30,"9n8332rcl3v2jq0b791i0s5w5, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, rbhqo1mjhl4j1enpfpbehlgp, 4uyfs1epryrirnq46jttxm6sp, 114zbg6z77mdio95dbl9v27dh, 8wxgeu7xdeuvvuhn5ga0vu4q2, dayca044hynhii8kgr7g1azth, bwj0ic6ljwuzim9zsmosx4hxx, 4lhyi7xvorswax9xwmz4v5tqt, 12x5lacdmnvc801277ugw9ecp, 2gqls23835l3x6466sfwnthhx, bfbozn43eclzjwzz8nt69ktsl, ddb6de7pli57w8z163ztwczx1, 1h4lbj5lsr3be6k2e5esd6356, 8h4z74vxc8qqbmwelwpo8oq5m, 4u3pq05nvcw6aemv99pbiopp0, cpws4xoaun4lc21p379rpd59l, 3u9v4demk1goyq93e3xv3d42d, eiarh2kihedqxxoftjyi55td5",3956555551,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493324467,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-26T16:18:16.615Z,2022-12-26T17:34:08Z,3956571831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956571835,197,1810,3956571829,130,2,3956571825,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3956571823,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 1nrxtmfkuqg2uz7pvgcgwgj4l, d25hyz1ov3mdflbnbyc9okrmd, inbrwc7gw6d1z8x60nl0padx, 574pdpfxal0lsopnsnz17ciqd, 2lkra7wic5b481l7qybjh8lx, 3xtzd4wqoq2b6ak1k2tep9oet, 6wjktx17kp8g29h9gw27lwez9, f53lu15h3s3mhmj2u7ztabd1x, 2ghv5nqgyn0wv9ekdx1ow0445, p3ebcmbu5i9le8czo76ngm0a, 2i9cy7dt9zn1jz96h61oo2m6t, 5muk6frafyj5lj1jdg54z2thx, dw77jbua2ppd6hru05mlhbetx, 14dpnweb51v7re2xa3qkpulex, c4zklinh3sa5kchbvjugn0s0l, 2rke2vs37xud2tqb5frwmusbt, 27jg2mdzgw4bt7l4215hq12sq, 1jfxkmks9lci345fiz9z2gfl5",3956571827,59,"1, 66, 2, 28, 20, 70, 19, 6, 9, 10, 29, 4, 8, 11, 15, 16, 21, 26, 88, 96",3956571833,194,9vt5q842htj38cblrh1v62qj9,3956571837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375785,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-26T17:32:33.596Z,2022-12-26T17:32:35Z,3956845925,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375777,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-12-26T17:32:33.596Z,2022-12-30T08:45:58Z,3956845885,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375813,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,49.6,50,2022-12-26T17:32:33.696Z,2022-12-30T19:12:20Z,3960914399,178,,3956846099,212,20.3,3956846095,140,32.2,3956846325,189,,3956846103,279,S,3956846093,56,Back,3956846097,141,62.9,3956846101,213,2.7,bwj0ic6ljwuzim9zsmosx4hxx,V. Aboubakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375823,4,1,1,0,1,57jcqe38hakh2hfit2zsogsb,1,32.2,62.9,2022-12-26T17:32:35.177Z,2022-12-30T19:12:23Z,3956846149,56,Right,3956846159,1,,3956846155,212,50.7,3956846151,140,62.5,3960914435,178,,3956846147,155,,3956846157,213,5.4,3956846153,141,4.9,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375827,5,1,1,0,4,57jcqe38hakh2hfit2zsogsb,0,62.5,4.9,2022-12-26T17:32:37.785Z,2022-12-30T19:12:26Z,3960914491,388,,3956846181,141,16.5,3956846177,56,Right,3956846185,213,0.5,3956846183,212,17.1,3956846179,140,76.9,3956846175,3,,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375821,3,49,1,0,5,c9swyor08g9pedxpe3n321svu,1,29.8,84.2,2022-12-26T17:32:38.887Z,2022-12-30T19:12:28Z,,,,,,,,,,,,,,,,,,,,,,,,,1nrxtmfkuqg2uz7pvgcgwgj4l,Mohammed Al Burayk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375845,4,1,1,0,6,c9swyor08g9pedxpe3n321svu,1,28.7,89,2022-12-26T17:32:39.830Z,2022-12-30T19:12:31Z,3960914545,178,,3956846333,140,17.9,3956846337,212,14.9,3956846331,56,Back,3956846339,213,3.9,3956846335,141,74.7,,,,,,,1nrxtmfkuqg2uz7pvgcgwgj4l,Mohammed Al Burayk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493375855,5,1,1,0,8,c9swyor08g9pedxpe3n321svu,1,13.8,74.8,2022-12-26T17:32:42.023Z,2022-12-30T19:12:35Z,3956846405,213,4.1,3960914621,178,,3956846397,56,Back,3956846401,141,49.7,3956846399,140,3.0,3956846403,212,20.5,,,,,,,574pdpfxal0lsopnsnz17ciqd,Mohammed Jahfali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
