id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value
2451564205,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2022-08-27T14:44:32.623Z,2022-08-27T15:50:33Z,3735273819,59,"26, 2, 25, 14, 4, 17, 11, 6, 20, 28, 10, 7, 9, 12, 15, 24, 27, 33, 83, 87",3735273825,194,d9pwgddm81gw3caq3njscahud,3735273821,130,2,3735273827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735770461,197,615,3735273817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3735273813,30,"jzdzefumhn1ch49i21rc2385, 85oc68xls37jerkaimzc1lv8q, 7tct6lamqw703ndfo60ruh6fp, d9pwgddm81gw3caq3njscahud, mnfpjrfb77nre55z4ha7b9p1, 6y9gieuehyt2l41jeh0cucrmd, aqe0o77dv6114gsbpw3t1iymt, 6b717wlx0q8d73hsbgsp90no5, 7x93sjn5afm0exqap67az0ay2, cee8klv6kur6xp1v57uikihg5, 2u7lvws9q3r5yu76aioea6ifp, emt3e6x1c9howgtee0hr1hucp, 3a2ef34105eqoes4s6zu1310p, 6w77bixcwoy3qlg568od8wr9, 5nixubl71qpjdgsba0q0wmiac, eznzwuryd9khv90y1it9dey1h, 2h2r99zztgquxzs5it347aitx, 7trx19a8qjoz7xj6sqxfsi904, 73sjrd456fd075zz1gmoutpuc, 9twzw7onygiy3indxm8rtjvu1",3735273823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451570723,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-08-27T14:47:24.767Z,2022-08-27T15:53:40Z,3735306655,59,"1, 15, 31, 18, 4, 14, 7, 24, 3, 10, 8, 5, 6, 9, 20, 11, 25, 50, 55, 77",3735770347,197,3483,3735306661,194,8j0yhxinglb5o5dpe2qd232dx,3735306663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735306659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735306653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3735306657,130,7,3735306651,30,"2r3ppks82lf3a7aycih7rc63t, cpqq8bpr6j13okdcilmwyimtw, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, cm8m8mytnpgldxvoi9or35a09, 9f8pdf7j05xb111c5lunzgvyt, cmijbwv0ine68v0y6kf9cuehh, 8pxv846gct3gjgrknr4glqulm, 1amphiae52a8rzm2ngpzffu21, 7msfk3faesnc4ls6893wdhi0a, 9etkdqceb3wo5zh0oktt0r85w, 6up21v3m8ws3veg1rh1r1ygpg, 7x4ltdnskxz0ym3i6meukx5hw, 7kbi9qu4y9rhc28x3ogyg5ot1, 8w8xdr5xd6ow5hu0g8in0gqhg, 6v8omj7wsj1109qqnkud3kslx, 8ab4hqpw7m6ocphleluf9sicp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451665917,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2022-08-27T15:45:45.690Z,2022-09-02T05:21:52Z,3735809307,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451666559,3,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-08-27T15:45:45.690Z,2022-08-27T15:46:05Z,3735812757,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451666009,3,1,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,51.4,50,2022-08-27T15:45:45.876Z,2022-09-03T08:21:48Z,3735809873,140,34.7,3735809871,56,Back,3735809877,212,18.2,3752176221,178,,3735809875,141,56.9,3735809881,279,S,3735809879,213,2.9,,,,7x93sjn5afm0exqap67az0ay2,A. Valera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451666039,4,1,1,0,4,aekjg4wbxaixtwu4aicmiju92,1,34.7,56.9,2022-08-27T15:45:50.221Z,2022-09-03T08:21:57Z,3735810047,140,31.6,3735810055,213,4.4,3735810051,212,11.6,3735810045,56,Back,3735810049,141,40.6,3752176389,178,,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451666083,5,1,1,0,6,aekjg4wbxaixtwu4aicmiju92,1,32.1,40.1,2022-08-27T15:45:52.529Z,2022-09-03T08:22:04Z,3735810259,213,4.5,3752176475,178,,3735810255,141,4.3,3735810257,212,24.7,3735810251,56,Back,3735810253,140,28.3,,,,,,,d9pwgddm81gw3caq3njscahud,Mohammed Al Fuhaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451666219,6,1,1,0,8,aekjg4wbxaixtwu4aicmiju92,1,28.3,4.3,2022-08-27T15:45:54.477Z,2022-09-03T08:22:08Z,3735810933,56,Right,3735810937,141,4.7,3752176511,178,,3735810935,140,52.8,3735810941,213,0.0,3735810939,212,25.7,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451666231,7,50,1,0,11,aekjg4wbxaixtwu4aicmiju92,1,47.2,4,2022-08-27T15:45:57.449Z,2022-09-03T08:22:19Z,3735811017,56,Back,3736101977,233,389,3735811019,286,,,,,,,,,,,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451721019,389,7,1,0,11,o1iwuxbv233ayidxpibbxy59,1,52.8,96,2022-08-27T15:45:57.620Z,2022-09-03T08:22:27Z,3736101843,56,Left,3744620655,383,,3736101887,233,7,3752176787,178,,3736101845,285,,,,,,,,,,,8pxv846gct3gjgrknr4glqulm,Sumayhan Al Nabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
