id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2542609675,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-05-02T14:57:48.084Z,2023-05-02T16:04:20Z,4245020329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245020327,130,8,4245146989,197,683,4245020323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4245020325,59,"1, 32, 27, 44, 12, 28, 10, 14, 17, 11, 82, 7, 8, 9, 18, 19, 23, 45, 88, 94",4245020331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245022923,194,6bl8ekn7ahyf7z4ri1cknbnfu,4245020321,30,"6veqhleq95267xca919eg02j9, 7a8ee7ohk4hnmaaw1imxeqsid, 6yaoc71surv8vh9hjfli7dwid, 6bl8ekn7ahyf7z4ri1cknbnfu, 829ypq99t1vn90xey32mwt7th, a04wl977uhtaea8pztvmdag2d, 6ygvaf7gjckdemde0ec0tem6t, 9ex7z7sbghe3zx17a4u7gsay2, 1l0bb9txaodn0kqc5rca35rdh, 2neoemoj0t2ssvjhhii62rvje, 9yceimet7wbytfai5ivr0v4k5, 77d2ej6852gf2ynsb8h01thwp, 3akxznb8k4r088rrqbbj04m39, 7gvqqqfoak5692c4xnrcrqe39, 3q942kxc3baiiwdozn97dgqtx, 3nahof9wwcvyylv87fjhhpt5h, d21tm0cmhxpy6rq71iyu5yzf9, 6f7isvwcywig1hlvfed4q0hgq, 3kfeazpv3d1wy6e333pudwkid, aq8efsoblaypm6spb7fce99g4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542611147,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-05-02T15:03:42.082Z,2023-05-02T15:56:42Z,4245027881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4245146805,197,2937,4245027883,59,"25, 6, 13, 8, 3, 90, 11, 94, 31, 70, 7, 4, 10, 17, 22, 24, 29, 20, 33, 77",4245027879,30,"e3q9barjksj9yb3obsi90i9jp, 96locb7oipzlke997xnx6ii38, b60up5thhuxb8e2bj4qry7ecq, dg7eawa1vjaz1uhrjhr7cucfe, 5etucjhifze9cu3fecy68dg16, 4ymo0battew5mb9h2d91gv9jo, clnli7y2s88p16yqtrbsb99sl, 6un0w34djb8ml6r3dmmbzaq96, tt0300qkkmgu52dbkxcaywut, en6ut1dhht8l7hrupqphorld5, bgzn0qcq2tcobzu1odwyaeeei, 3wpliz4y0ex8jxtlt2enirc9h, b07spq4zt9abj441qcwfts5p1, 8zbaicqws2ux52rgiy95xetm2, 92j12068e102fecql9i8bvehg, 8fzdgtbrfz7oeki448trj105w, ql3ke0589k0ywxw4kzd5wgt0, exs0tbl2thbcz163r3vas74es, 8pelo35x9cxd3anj7xrfxk1nu, 8btwu0jixlrcl9gj51uepz21g",4245027885,130,6,4245027891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245027889,194,e3q9barjksj9yb3obsi90i9jp,4245027887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635125,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-05-02T16:01:24.247Z,2023-05-02T16:01:24Z,4245154475,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635145,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-05-02T16:01:24.247Z,2023-05-05T13:55:06Z,4245154581,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635153,3,1,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,50.1,50,2023-05-02T16:01:24.347Z,2023-05-02T16:56:07Z,4245154611,56,Back,4245154621,279,S,4245154617,212,11.8,4245154615,141,51.2,4245154619,213,3.1,4245154613,140,38.9,,,,,,,tt0300qkkmgu52dbkxcaywut,R. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635165,4,1,1,0,2,dbhdov3cc47kcr1hjg5qr5qg7,1,39.6,56.1,2023-05-02T16:01:26.539Z,2023-05-02T16:01:28Z,4245154671,56,Back,4245154673,140,37.9,4245154679,213,1.6,4245154675,141,97.1,4245154677,212,27.9,,,,,,,,,,dg7eawa1vjaz1uhrjhr7cucfe,J. Pedroza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635175,5,1,1,0,4,dbhdov3cc47kcr1hjg5qr5qg7,1,39.8,97.7,2023-05-02T16:01:28.572Z,2023-05-02T16:01:29Z,4245154741,141,98.1,4245154737,140,53.7,4245154735,56,Left,4245154747,213,0.0,4245154745,212,14.6,,,,,,,,,,b60up5thhuxb8e2bj4qry7ecq,Abdullah Al Yousif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635207,6,1,1,0,5,dbhdov3cc47kcr1hjg5qr5qg7,1,54.2,98.1,2023-05-02T16:01:29.643Z,2023-05-02T16:01:33Z,4245154899,56,Left,4245154907,213,6.0,4245154901,140,79.6,4245154903,141,87.8,4245154905,212,27.6,,,,,,,,,,bgzn0qcq2tcobzu1odwyaeeei,Yousef Al Shammari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635213,7,3,1,0,9,dbhdov3cc47kcr1hjg5qr5qg7,0,82.2,88.5,2023-05-02T16:01:33.612Z,2023-05-05T13:56:31Z,4251679367,464,,4245154925,286,,4245154921,56,Left,4245154971,233,3,,,,,,,,,,,,,en6ut1dhht8l7hrupqphorld5,Rakan Shamlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635215,3,7,1,0,9,6ttwlm6op92r4670oayg5md7h,0,17.8,11.5,2023-05-02T16:01:33.613Z,2023-05-05T13:56:34Z,4245154959,233,7,4245154937,285,,4245154935,56,Back,4251679405,385,,,,,,,,,,,,,,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635223,8,61,1,0,10,dbhdov3cc47kcr1hjg5qr5qg7,1,79.3,87.9,2023-05-02T16:01:34.424Z,2023-05-02T16:01:34Z,4245154963,56,Left,,,,,,,,,,,,,,,,,,,,,,en6ut1dhht8l7hrupqphorld5,Rakan Shamlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635231,4,49,1,0,11,6ttwlm6op92r4670oayg5md7h,1,20.5,15.8,2023-05-02T16:01:35.284Z,2023-05-02T16:01:35Z,,,,,,,,,,,,,,,,,,,,,,,,,9ex7z7sbghe3zx17a4u7gsay2,Mansor Al Beshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635263,5,1,1,0,11,6ttwlm6op92r4670oayg5md7h,0,25,20,2023-05-02T16:01:36.197Z,2023-05-02T16:01:37Z,4245155151,56,Back,4245155157,212,16.6,4245155155,141,23.6,4245155153,140,40.6,4245155159,213,0.1,,,,,,,,,,9ex7z7sbghe3zx17a4u7gsay2,Mansor Al Beshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635285,9,49,1,0,14,dbhdov3cc47kcr1hjg5qr5qg7,1,65,76.8,2023-05-02T16:01:38.571Z,2023-05-02T16:01:38Z,,,,,,,,,,,,,,,,,,,,,,,,,6un0w34djb8ml6r3dmmbzaq96,Nawaf Al Sehimai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635295,10,1,1,0,15,dbhdov3cc47kcr1hjg5qr5qg7,1,65.1,76.8,2023-05-02T16:01:39.579Z,2023-05-02T16:01:40Z,4245155287,212,9.2,4245155289,213,2.0,4245155281,56,Left,4245155285,141,88.8,4245155283,140,61.1,,,,,,,,,,6un0w34djb8ml6r3dmmbzaq96,Nawaf Al Sehimai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
