id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/15/value,assist,qualifier/18/value
2528629717,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-04-04T18:16:05.737Z,2023-04-05T12:28:19Z,4163663807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163663801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163713025,194,h17s3qts1dz1zqjw19jazzkl,4163663803,59,"44, 2, 13, 17, 5, 21, 94, 18, 7, 14, 29, 22, 3, 8, 12, 16, 19, 23, 27, 78",4163713027,197,16905,4163663809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163663805,130,8,4163663799,30,"92mpk5ev1xz0pcw6bp24xjhwq, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, rbhqo1mjhl4j1enpfpbehlgp, 4uyfs1epryrirnq46jttxm6sp, 114zbg6z77mdio95dbl9v27dh, 4lhyi7xvorswax9xwmz4v5tqt, dayca044hynhii8kgr7g1azth, h17s3qts1dz1zqjw19jazzkl, 12x5lacdmnvc801277ugw9ecp, cpws4xoaun4lc21p379rpd59l, ej4r05u0q7ebnlwk9rlp7pv4l, drd86nrgxki1eobo3pam0jk5x, bfbozn43eclzjwzz8nt69ktsl, 85oc68xls37jerkaimzc1lv8q, 1h4lbj5lsr3be6k2e5esd6356, 8h4z74vxc8qqbmwelwpo8oq5m, 8wxgeu7xdeuvvuhn5ga0vu4q2, 4u3pq05nvcw6aemv99pbiopp0, eiarh2kihedqxxoftjyi55td5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528630239,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-04-04T18:18:35.473Z,2023-04-04T19:25:55Z,4163666781,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3km030r7hwsxw849nv0qpaql0, vgyj638vzzteqqyxcdte3sgl, 3qf9lidcmozvvpy2jprlx3v11, idjs50cwxlt56rylhn3znt62, si3wcnvnhiukn1novyv1su6t, 4w7c7a9rw5id7f0wikw02orth, b6uziptaly2jgznnhe7l5bqol, daqggbwzctkpojr1kn1l2sm39, jtuc25nybu22ifehsg8p9wb9, 91e6dbk9uxyui5vbe47zdj6jt, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, aonc1y49ulmolyc47knpwtrtg, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 2m9cba7mtmeo99f8alyhis2ne, 5zvanazhxnqfi6vwms2xcgsus",4163666785,59,"1, 11, 23, 19, 33, 49, 10, 16, 12, 43, 90, 3, 5, 6, 7, 20, 22, 24, 50, 96",4163713241,197,6655,4163666783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163666793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163666787,130,6,4163666789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163666791,194,vgyj638vzzteqqyxcdte3sgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639609,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-04-04T19:00:12.744Z,2023-04-04T19:00:12Z,4163719951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639623,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-04-04T19:00:12.744Z,2023-05-06T10:46:39Z,4163720019,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639637,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,50.1,49.8,2023-04-04T19:00:12.777Z,2023-05-06T10:52:13Z,4163720089,141,46.7,4163720091,212,2.8,4163720093,213,5.4,4163720085,56,Center,4163720087,140,51.9,4163720095,279,S,4253676301,178,,,,,h17s3qts1dz1zqjw19jazzkl,Cristiano Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639647,4,1,1,0,1,57jcqe38hakh2hfit2zsogsb,1,52,53.5,2023-04-04T19:00:14.573Z,2023-05-06T10:52:18Z,4163720145,212,25.4,4253676391,178,,4163720147,213,1.3,4163720141,140,59.6,4163720139,56,Left,4163720143,141,89.0,,,,,,,4lhyi7xvorswax9xwmz4v5tqt,Talisca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639669,5,1,1,0,4,57jcqe38hakh2hfit2zsogsb,1,59.6,89,2023-04-04T19:00:17.723Z,2023-05-06T10:52:23Z,4163720285,140,59.7,4163720289,212,5.6,4163720291,213,4.7,4163720283,56,Left,4253676517,178,,4163720287,141,80.8,,,,,,,19djqex4nu3lz6vw08f3fwv6x,G. Konan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544656409,1552,83,1,0,9,cq4rdp1mkan8zhaw7bmzjdaqk,1,37.5,19.9,2023-04-04T19:00:22.550Z,2023-05-06T19:32:34Z,4255914763,399,442552,,,,,,,,,,,,,,,,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639673,6,1,1,0,9,57jcqe38hakh2hfit2zsogsb,0,61.1,76.2,2023-04-04T19:00:22.583Z,2023-05-06T10:52:26Z,4163720321,56,Center,4253676565,178,,4163720323,140,58.2,4163720327,212,5.0,4163720325,141,70.4,4163720329,213,4.1,4165128755,155,,,,,cpws4xoaun4lc21p379rpd59l,Abdulrahman Ghareeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639691,3,8,1,0,10,cq4rdp1mkan8zhaw7bmzjdaqk,1,49.9,33.4,2023-04-04T19:00:23.242Z,2023-05-06T10:52:31Z,4163756379,15,,4253676647,388,,4165128833,384,,4163720385,56,Back,,,,,,,,,,,,,b6uziptaly2jgznnhe7l5bqol,M. Antonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639715,7,1,1,0,11,57jcqe38hakh2hfit2zsogsb,1,57.1,73,2023-04-04T19:00:24.168Z,2023-05-06T10:52:35Z,4163720527,213,3.3,4163720519,56,Back,4163720523,141,66.6,4163720521,140,26.7,4163720529,1,,4253676711,178,,4163720525,212,32.2,,,,cpws4xoaun4lc21p379rpd59l,Abdulrahman Ghareeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639743,8,1,1,0,15,57jcqe38hakh2hfit2zsogsb,1,23.5,67.8,2023-04-04T19:00:28.639Z,2023-05-06T10:52:38Z,4163720665,213,4.9,4163720657,56,Back,4163720663,212,24.9,4163720661,141,31.9,4253676775,178,,4163720659,140,28.2,,,,,,,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639753,9,1,1,0,19,57jcqe38hakh2hfit2zsogsb,1,34.1,24.3,2023-04-04T19:00:32.491Z,2023-05-06T10:52:43Z,4253676925,178,,4163720737,212,14.6,4163720739,213,5.4,4163720735,141,7.7,4163720731,56,Back,4163720733,140,42.9,,,,,,,4uyfs1epryrirnq46jttxm6sp,Abdulelah Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639761,10,1,1,0,22,57jcqe38hakh2hfit2zsogsb,1,43.5,7.5,2023-04-04T19:00:34.813Z,2023-05-06T10:52:48Z,4163720793,212,5.6,4163720789,140,41.5,4163720791,141,15.2,4253677059,178,,4163720787,56,Back,4163720795,213,2.0,,,,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639769,11,1,1,0,23,57jcqe38hakh2hfit2zsogsb,1,41.5,15.2,2023-04-04T19:00:36.027Z,2023-05-06T10:52:52Z,4253677131,178,,4163720837,140,39.9,4163720835,56,Back,4163720841,212,4.0,4163720839,141,9.8,4163720843,213,4.3,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639779,12,1,1,0,24,57jcqe38hakh2hfit2zsogsb,1,39.9,9.8,2023-04-04T19:00:37.142Z,2023-05-06T10:52:57Z,4163720885,212,6.6,4163720881,140,43.9,4163720883,141,17.2,4163720887,213,0.9,4163720879,56,Back,4253677263,178,,,,,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639787,13,1,1,0,25,57jcqe38hakh2hfit2zsogsb,0,43.9,17.2,2023-04-04T19:00:38.607Z,2023-05-06T10:53:00Z,4163721041,233,4,4163720931,141,16.9,4163720933,212,1.3,4163721039,236,,4163720927,56,Back,4253677337,178,,4163721045,286,,4163720935,213,6.1,dayca044hynhii8kgr7g1azth,Luiz Gustavo,4163720929,140,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
