id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2542999721,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-05-03T15:08:59.002Z,2023-05-03T16:06:50Z,4247078049,130,4,4247078035,30,"2r3ppks82lf3a7aycih7rc63t, 7msfk3faesnc4ls6893wdhi0a, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, cm8m8mytnpgldxvoi9or35a09, cmijbwv0ine68v0y6kf9cuehh, 9f8pdf7j05xb111c5lunzgvyt, 12dv2sa9xm0aedpb13ivl11wp, 9etkdqceb3wo5zh0oktt0r85w, 75cibe9m6z4wb8be86hfgvtud, 1amphiae52a8rzm2ngpzffu21, 8pxv846gct3gjgrknr4glqulm, 2b8fj2xnd2h9rdbg0bkgbizu1, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, cf6l2e5tkglv7decs50666w44, 8ab4hqpw7m6ocphleluf9sicp, de3zx99d8qybnoq7nvlcd7xii",4247078043,59,"1, 6, 31, 18, 4, 14, 24, 10, 3, 7, 9, 2, 5, 8, 33, 36, 44, 49, 77, 99",4247078039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247078053,194,8j0yhxinglb5o5dpe2qd232dx,4247078055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247176817,197,3483,4247078051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543000429,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-05-03T15:10:45.706Z,2023-05-03T15:58:30Z,4247081917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247081909,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, dfp7gtib09b9l0bdqfl89m356, cfjp3mf7meekpcsx7hjrql79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, 1omzj46rrvsev6v03nd72dgwl, emkg78pm7xdjkkt2w0yd8vh79, aatjvj13ffwrj81vcfy68fnit, 1cpbxhov5ypi6ez7k09oxo5w5, 6lpj04km1rma60n8l66q0hd5h, eqdev00exzhrls89wj77cdzp, du6wgayjqw7jqjh770c43vvmd, 79n11s84csv7ur8atv9qbi3o4, 5nknza12d4vlska3oip4gmlg4, d3sjamk5urj3zpdece4bopadx, dertlfklisnxnba0zl5lpp7u1, 38qgiazulsyaxmvqqrdjlw2l0, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",4247178197,197,18073,4247081919,194,4upzspmuautmtl51yxe3kva39,4247081911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247081921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247081913,59,"34, 33, 95, 19, 20, 26, 24, 3, 9, 90, 10, 5, 11, 14, 15, 21, 27, 36, 70, 80",4247081915,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018727,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-05-03T16:02:06.054Z,2023-05-09T10:53:17Z,4247186079,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018751,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-05-03T16:02:06.054Z,2023-05-03T16:02:09Z,4247186233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018747,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,49.8,49.9,2023-05-03T16:02:06.154Z,2023-05-03T16:02:08Z,4247186207,213,3.1,4247186199,56,Back,4247186205,212,11.2,4247186203,141,49.9,4247186209,279,S,4247186201,140,39.1,,,,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018755,4,1,1,0,2,o1iwuxbv233ayidxpibbxy59,1,39.1,49.9,2023-05-03T16:02:08.105Z,2023-05-03T16:02:09Z,4247186237,140,26.5,4247186235,56,Back,4247186241,212,13.7,4247186239,141,44.8,4247186243,213,3.4,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018785,5,1,1,0,3,o1iwuxbv233ayidxpibbxy59,0,26.5,44.8,2023-05-03T16:02:09.258Z,2023-05-03T16:05:32Z,4247186379,140,61.6,4247186375,155,,4247186387,1,,4247186383,212,42.1,4247186385,213,0.5,4247186377,56,Center,4247186381,141,74.6,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018789,3,44,1,0,6,2kzl64gp8x37bon8tyxojqrr1,1,36.9,22.1,2023-05-03T16:02:12.786Z,2023-05-03T16:05:33Z,4247186411,285,,4247186409,56,Back,4247196099,233,6,,,,,,,,,,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018793,6,44,1,0,6,o1iwuxbv233ayidxpibbxy59,0,63.1,77.9,2023-05-03T16:02:12.787Z,2023-05-03T16:27:56Z,4247186427,56,Center,4247196115,233,3,4247186429,286,,,,,,,,,,,,,,,,,9etkdqceb3wo5zh0oktt0r85w,Saad Al Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543018799,4,1,1,0,7,2kzl64gp8x37bon8tyxojqrr1,0,29.3,15.1,2023-05-03T16:02:13.151Z,2023-05-03T16:05:44Z,4247186465,3,,4247186469,140,31.6,4247186471,141,17.6,4247186467,56,Back,4247186475,213,0.6,4247186473,212,3.0,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
