id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,assist
2533156031,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-04-14T18:11:43.532Z,2023-04-14T19:00:53Z,4187791623,194,e3q9barjksj9yb3obsi90i9jp,4187791617,59,"25, 6, 13, 8, 3, 90, 11, 94, 31, 70, 7, 10, 21, 22, 24, 29, 20, 33, 19, 77",4187791615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187791621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187791619,130,6,4187791613,30,"e3q9barjksj9yb3obsi90i9jp, 96locb7oipzlke997xnx6ii38, b60up5thhuxb8e2bj4qry7ecq, dg7eawa1vjaz1uhrjhr7cucfe, 5etucjhifze9cu3fecy68dg16, 4ymo0battew5mb9h2d91gv9jo, clnli7y2s88p16yqtrbsb99sl, 6un0w34djb8ml6r3dmmbzaq96, tt0300qkkmgu52dbkxcaywut, en6ut1dhht8l7hrupqphorld5, bgzn0qcq2tcobzu1odwyaeeei, b07spq4zt9abj441qcwfts5p1, 53jsw38p3m81ohicrlus0j9ck, 92j12068e102fecql9i8bvehg, 8fzdgtbrfz7oeki448trj105w, ql3ke0589k0ywxw4kzd5wgt0, exs0tbl2thbcz163r3vas74es, 8pelo35x9cxd3anj7xrfxk1nu, cznfldjv2fv42m6z68um5lzx0, 8btwu0jixlrcl9gj51uepz21g",4187791625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187961161,197,2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533160183,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-04-14T18:17:28.670Z,2023-04-14T19:00:16Z,4187813993,130,4,4187972903,197,1906,4187813991,59,"21, 57, 16, 8, 4, 70, 28, 7, 9, 10, 11, 12, 14, 17, 19, 31, 42, 43, 67, 96",4187813999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187813987,30,"c4zklinh3sa5kchbvjugn0s0l, 7qi3yne24aqzor2d79etcg6qc, 14dpnweb51v7re2xa3qkpulex, 2i9cy7dt9zn1jz96h61oo2m6t, p3ebcmbu5i9le8czo76ngm0a, 574pdpfxal0lsopnsnz17ciqd, d25hyz1ov3mdflbnbyc9okrmd, 36cdm30lm4hf1t6ajakity8k5, 6wjktx17kp8g29h9gw27lwez9, f53lu15h3s3mhmj2u7ztabd1x, 5muk6frafyj5lj1jdg54z2thx, 7ci2qun6rv54fhho6bmgyv3dh, hki3chjlidmwubff6srauj56, a3t7bral3j0l1czbmojwqnob9, 2lkra7wic5b481l7qybjh8lx, eetv8nak7fg6paegpiduuk2qx, cotgnu5iq5oiiwo9t5yp5lel0, 2v2v3wzd9pv8j9phh6s0isdn8, 42ehf4i3uc1xiyk4gzmj8hhck, 1jfxkmks9lci345fiz9z2gfl5",4187813995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187813989,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187813997,194,36cdm30lm4hf1t6ajakity8k5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189113,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-04-14T19:00:32.002Z,2023-04-18T08:40:45Z,4187974737,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189061,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-04-14T19:00:32.002Z,2023-04-14T19:00:32Z,4187974507,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189133,3,1,1,0,0,c9swyor08g9pedxpe3n321svu,1,50,50,2023-04-14T19:00:32.102Z,2023-04-14T19:00:36Z,4187974813,140,38.7,4187974811,56,Back,4187974829,279,S,4187974823,213,2.6,4187974815,141,59.9,4187974819,212,13.6,,,,,,,6wjktx17kp8g29h9gw27lwez9,O. Ighalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189157,4,1,1,0,4,c9swyor08g9pedxpe3n321svu,1,38.4,61.1,2023-04-14T19:00:36.487Z,2023-04-14T20:02:01Z,4187974973,212,14.8,4187974971,141,75.0,4187974975,213,2.4,4187974969,140,27.6,4187974967,56,Back,,,,,,,,,,f53lu15h3s3mhmj2u7ztabd1x,L. Vietto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189219,5,1,1,0,6,c9swyor08g9pedxpe3n321svu,1,28.9,72.4,2023-04-14T19:00:38.632Z,2023-04-14T19:00:42Z,4187975179,141,40.6,4187975185,1,,4187975175,56,Center,4187975177,140,54.0,4187975183,213,5.6,4187975181,212,34.1,,,,,,,574pdpfxal0lsopnsnz17ciqd,Mohammed Jahfali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189259,6,1,1,0,10,c9swyor08g9pedxpe3n321svu,1,54,40.6,2023-04-14T19:00:42.343Z,2023-04-14T19:00:45Z,4187975389,213,5.9,4187975381,56,Center,4187975383,140,64.7,4187975387,212,11.9,4187975385,141,34.8,,,,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189271,7,1,1,0,13,c9swyor08g9pedxpe3n321svu,1,64.8,34.8,2023-04-14T19:00:45.079Z,2023-04-14T20:02:12Z,4187975465,213,3.1,4187975459,140,55.9,4187975457,56,Center,4187975463,212,9.3,4187975461,141,35.1,,,,,,,,,,5muk6frafyj5lj1jdg54z2thx,Saleh Al Shehri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189317,8,1,1,0,14,c9swyor08g9pedxpe3n321svu,1,55.9,35.1,2023-04-14T19:00:46.375Z,2023-04-14T19:00:48Z,4187975697,213,4.8,4187975695,212,18.0,4187975689,56,Right,4187975693,141,8.6,4187975691,140,56.7,,,,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
