id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass
2532322145,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-04-11T18:04:19.170Z,2023-04-11T19:01:43Z,4183414535,197,959,4183339031,30,"6k45sak4jgjqew0dpkcil4hyh, 4xf79nz0hvi8o83ta08cftffu, dy434rgboexxvq6tgr8gwef9x, 4k6v874ygp633amqtbp1g9nth, 3par6lcu330qnblngnl7b209h, 3uwyni9c8q0rprd1nhtt073e1, 5yrugwes9msd3cd5hhrluivah, 7q7awmtwv66htmei0xy1hzdn9, 22cd6gzfwo341qai1o6014251, 2cso52su6r9afugn6mhw2bl9m, netr5hv4nn69u7twf7u892hh, 8i6yz8rk72m7ovjuxjn0vcxqt, 5sjuufrdq1rx6senkjjgtimsp, dqqj2g1jdn57o1j12ycaa2a96, 94pujujlsh98axp2fdflycahg, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, 1im5k8tl0j4weq6bkwet3le96, b2klrrbklz788iu4vd46j0e3u",4183339035,59,"96, 2, 5, 8, 3, 25, 49, 15, 9, 99, 93, 1, 6, 11, 13, 14, 17, 20, 24, 58",4183339033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4183339037,130,8,4183339041,194,4k6v874ygp633amqtbp1g9nth,4183339043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4183339039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532324255,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-04-11T18:10:44.865Z,2023-04-13T15:23:36Z,4183351641,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, 8sllxmpst47s6c46fgtv1q47p, bepcao7uiozczrxbhc7fjjis5, 2gef3rw1e1q3d7qudetpgvbop, ytjrtqtximxhs52bfsezogk5, 68cm9uvlgmi1q5xfki3g31i39, bjprfeyv38xb284im3yuu3u21, dcl1lgczly52fg4f7oh8se6l1, cstghu0b2nh9pfzn5p6me7jkl, 6w77bixcwoy3qlg568od8wr9, cq1rq8a9wnt1dxvxe6fmz9vfu, epumfwql35ruytuh15rozq311, bdtfe5xkr2grbxqkgpntbypjp, 3qum8ho760i5bw8ejmkjfdec5, d5e7ou0odurdq9omp4tk16ck4, 3m67z6okk8i52z0b6widofxsl, 9e8phbwelzhbdk0bfsuyu4a5m, btjt8zqd248l6mk9b2obdsr1l",4183351645,59,"18, 27, 24, 23, 4, 5, 8, 10, 9, 15, 11, 6, 7, 12, 13, 35, 16, 71, 88, 89",4183351643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4183414497,197,686,4183351647,130,8,4183351651,194,68cm9uvlgmi1q5xfki3g31i39,4183351649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4183351653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335759,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-04-11T19:00:19.953Z,2023-04-11T19:00:20Z,4183418583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335773,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-04-11T19:00:19.953Z,2023-04-13T13:41:09Z,4183418681,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335771,3,1,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,50,50,2023-04-11T19:00:20.053Z,2023-04-11T19:00:23Z,4183418669,279,S,4183418661,140,38.3,4183418665,212,12.3,4183418663,141,50.2,4183418667,213,3.1,4183418659,56,Back,,,,,,,dcl1lgczly52fg4f7oh8se6l1,Hussain Al Qahtani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335779,4,1,1,0,3,2ry1fixv27p3xepazsxcuyoho,1,37.8,49.6,2023-04-11T19:00:23.156Z,2023-04-11T19:00:25Z,4183418721,141,51.9,4183418723,212,10.4,4183418717,56,Back,4183418727,213,0.2,4183418719,140,47.6,,,,,,,,,,68cm9uvlgmi1q5xfki3g31i39,É. Banega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335787,5,1,1,0,5,2ry1fixv27p3xepazsxcuyoho,1,47.5,52.2,2023-04-11T19:00:25.147Z,2023-04-11T19:00:26Z,4183418777,212,4.3,4183418773,140,45.8,4183418775,141,46.5,4183418771,56,Back,4183418783,213,4.3,,,,,,,,,,dcl1lgczly52fg4f7oh8se6l1,Hussain Al Qahtani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335793,6,1,1,0,6,2ry1fixv27p3xepazsxcuyoho,1,45.8,46.5,2023-04-11T19:00:26.563Z,2023-04-11T19:11:29Z,4183418815,140,47.2,4183418821,213,1.3,4183418817,141,54.9,4183418813,56,Back,4183418819,212,5.9,,,,,,,,,,ytjrtqtximxhs52bfsezogk5,C. Guanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335817,7,1,1,0,7,2ry1fixv27p3xepazsxcuyoho,1,47.5,54.7,2023-04-11T19:00:27.523Z,2023-04-11T19:00:31Z,4183418897,56,Back,4183418909,213,2.3,4183418899,140,30.6,4183418901,141,87.0,4183418905,212,28.2,,,,,,,,,,dcl1lgczly52fg4f7oh8se6l1,Hussain Al Qahtani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532335845,8,1,1,0,11,2ry1fixv27p3xepazsxcuyoho,1,22.3,93.3,2023-04-11T19:00:31.500Z,2023-04-11T19:00:37Z,4183419047,56,Back,4183419053,212,28.3,4183419049,140,7.0,4183419051,141,59.1,4183419055,213,4.1,,,,,,,,,,2gef3rw1e1q3d7qudetpgvbop,Hassan Tambakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
