id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2517761577,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-03-10T12:04:50.009Z,2023-03-10T12:57:03Z,4085301987,59,"16, 14, 13, 34, 19, 3, 18, 21, 20, 10, 7, 23, 4, 9, 15, 17, 31, 33, 39, 88",4085301993,194,jm8cn996mibk0hwauxvsb1lh,4085301983,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, 97gy3oursbjphkf5t85x9wy96, pgyt3j19g11v27qx998bgmi1, bwew6i3fnis40s77t3e3sal0p, jm8cn996mibk0hwauxvsb1lh, 6msbre1fcjcrvqyzoozo43sb8, c706bwqqpdkdk2zqzmop9wm39, bvmo38wfbtnrk5hdbxgczkzpx, 483n2f7a1xkseruh77bj7rxed, 6fy868uh27umb1dafjy7tk2xh, 87g8od8v77pe4m134wu8ipnu, dxy1gb64e1hokq26qqnigirpx, 17rl734wbbzbxvj33id7j9l62, 61o0q05smyp280htj5g3og5xw, 4fkudkcxt03pqaqz58nofkag9, bgac6td6x8qi2o7o5ofrj3t1x, 4jspfn1jca5yzxbhn8p2p06ax, 9o288vygjpcv3noeqnrnqh3ah, 2ycm47qi7qr17i31a8f6oq9gq",4085316659,197,15478,4085301989,130,8,4085301991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085301985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4085301995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517764089,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-10T12:12:07.409Z,2023-03-10T15:31:12Z,4085314587,59,"1, 3, 18, 14, 17, 4, 7, 16, 37, 88, 19, 8, 9, 11, 26, 27, 28, 34, 77, 87",4085314593,194,d9pwgddm81gw3caq3njscahud,4085314585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4085316361,197,615,4085314583,30,"26dlb4txygf7qzukjikr23mxh, 4oiynjwt22nwpmy0oyx5q6jh0, 30dor76ut58qzf8ah4sgeqj1l, d9pwgddm81gw3caq3njscahud, 6y9gieuehyt2l41jeh0cucrmd, mnfpjrfb77nre55z4ha7b9p1, emt3e6x1c9howgtee0hr1hucp, 3qjdcqc4mo21w0au4rveeenkl, zdrtch0slexakz6exy86cid, 6c553nvfijiwgxysc69p1747o, 92qhzmz7bik9yiyhpt9fcvqzu, etvu2javyjbzekaw2ro994iqd, 3a2ef34105eqoes4s6zu1310p, aqe0o77dv6114gsbpw3t1iymt, jzdzefumhn1ch49i21rc2385, 2h2r99zztgquxzs5it347aitx, cee8klv6kur6xp1v57uikihg5, 4jar69o6t40f01o9dupxzhn2s, chedaa8t6qan96a525uhvo8wk, 9twzw7onygiy3indxm8rtjvu1",4085314591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085314589,130,2,4085314595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769879,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-10T13:00:38.682Z,2023-03-10T13:00:40Z,4085346923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769875,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-03-10T13:00:38.682Z,2023-03-27T09:22:13Z,4085346917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769881,3,1,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,49.9,49.5,2023-03-10T13:00:39.010Z,2023-03-27T10:19:11Z,4085346937,212,6.1,4085346935,141,52.0,4085346931,56,Back,4085346933,140,44.3,4085346939,213,2.9,4085346941,279,S,4130203515,178,,,,,bvmo38wfbtnrk5hdbxgczkzpx,F. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769885,4,1,1,0,1,d47tf49ishm9qnfd8zyc8wv0j,1,44.5,52,2023-03-10T13:00:39.829Z,2023-03-27T10:19:43Z,4085346953,56,Left,4085346959,212,30.2,4085346961,213,1.2,4085346957,141,92.9,4130204003,178,,4085346955,140,55.7,4085346951,155,,,,,483n2f7a1xkseruh77bj7rxed,S. Bguir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525088135,1341,83,1,0,4,aekjg4wbxaixtwu4aicmiju92,1,43.3,5.6,2023-03-10T13:00:43.190Z,2023-03-27T11:05:53Z,4130281101,399,111199,,,,,,,,,,,,,,,,,,,,,,4oiynjwt22nwpmy0oyx5q6jh0,Ziyad Al Jari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769891,5,1,1,0,6,d47tf49ishm9qnfd8zyc8wv0j,1,55.8,93.7,2023-03-10T13:00:44.814Z,2023-03-27T10:19:57Z,4085346981,56,Back,4085346985,141,82.0,4085346987,212,23.3,4085346989,213,3.5,4130204289,178,,4085346983,140,34.9,,,,,,,6fy868uh27umb1dafjy7tk2xh,Saleh  Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769893,6,61,1,0,7,d47tf49ishm9qnfd8zyc8wv0j,1,34.9,82,2023-03-10T13:00:46.307Z,2023-03-27T10:20:08Z,4130204503,178,,4085346993,56,Back,,,,,,,,,,,,,,,,,,,c706bwqqpdkdk2zqzmop9wm39,Zakaria Al Sudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517769899,7,1,1,0,9,d47tf49ishm9qnfd8zyc8wv0j,1,29.5,78.8,2023-03-10T13:00:48.243Z,2023-03-27T10:20:11Z,4130204561,178,,4085347019,213,5.4,4085347013,140,41.0,4085347011,56,Back,4085347015,141,56.7,4085347017,212,19.3,,,,,,,jm8cn996mibk0hwauxvsb1lh,Abdullah Al Dossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
