id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2454446703,9,15,1,0,20,f0zsn74nz0o01gr30weun240i,1,82.6,46.8,2022-09-02T16:01:06.138Z,2022-09-19T09:55:51Z,3750705723,55,8,3750705727,102,46.9,3760521073,215,,3750705269,56,Center,3750705397,20,,3750705427,233,3,3750705719,29,,3750705735,146,93.6,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,3750705733,328,,3750705729,103,2.5,3750705265,22,3793541317,178,3750705721,154,3750705803,18,3750705731,108,3750705717,80,3750705739,147,48.6,,,,,,,,,,,,,,,,,,
2454446715,3,10,1,0,21,cq4rdp1mkan8zhaw7bmzjdaqk,1,3.9,53.1,2022-09-02T16:01:06.641Z,2022-09-19T09:55:54Z,3750705367,179,,3760521171,376,,3750705363,173,,3750705369,182,,3750705373,56,Back,3750705445,233,9,,,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446723,4,52,1,0,28,cq4rdp1mkan8zhaw7bmzjdaqk,1,3.9,53.1,2022-09-02T16:01:14.051Z,2022-09-19T09:55:56Z,3793541459,178,,3760521183,376,,,,,,,,,,,,,,,,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446785,5,80,1,0,45,cq4rdp1mkan8zhaw7bmzjdaqk,0,3.9,53.1,2022-09-02T16:01:30.601Z,2022-09-19T09:56:03Z,3793541513,178,,,,,,,,,,,,,,,,,,,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446809,6,1,1,0,45,cq4rdp1mkan8zhaw7bmzjdaqk,1,10.1,45.2,2022-09-02T16:01:30.622Z,2022-09-19T09:56:08Z,3750706005,140,25.6,3750706007,141,28.5,3750706003,56,Back,3750706009,212,19.8,3793541589,178,,3750706011,213,5.7,,,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446815,7,1,1,0,45,cq4rdp1mkan8zhaw7bmzjdaqk,1,25.6,28.5,2022-09-02T16:01:30.711Z,2022-09-19T09:56:12Z,3750706051,213,5.3,3750706049,212,12.4,3750706043,56,Back,3793541617,178,,3750706047,141,13.1,3750706045,140,31.9,,,,,,,ewpdng8x72853r8jkxv5z949h,M. Angha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446823,8,1,1,0,47,cq4rdp1mkan8zhaw7bmzjdaqk,1,31.9,13.2,2022-09-02T16:01:33.481Z,2022-09-19T09:56:21Z,3750706093,212,13.5,3750706095,213,2.0,3793541731,178,,3750706089,140,26.5,3750706091,141,31.2,3750706087,56,Back,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446877,9,1,1,0,50,cq4rdp1mkan8zhaw7bmzjdaqk,1,26.5,31.2,2022-09-02T16:01:35.613Z,2022-09-19T09:56:23Z,3750706317,141,65.1,3750706315,140,27.5,3750706321,213,1.5,3750706319,212,23.1,3750706313,56,Back,3793541739,178,,,,,,,,ewpdng8x72853r8jkxv5z949h,M. Angha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446891,10,1,1,0,57,cq4rdp1mkan8zhaw7bmzjdaqk,1,29.9,63.4,2022-09-02T16:01:42.692Z,2022-09-19T09:56:27Z,3750706383,56,Back,3750706389,212,17.2,3750706391,213,4.8,3750706385,140,31.0,3750706387,141,38.2,3793541787,178,,,,,,,,c3ly1ivtw40f1rjqbbk9ublqt,Murtadha Al Burayh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446911,11,1,1,1,1,cq4rdp1mkan8zhaw7bmzjdaqk,1,32.4,32.8,2022-09-02T16:01:46.850Z,2022-09-19T09:56:30Z,3750706521,212,19.2,3793541833,178,,3750706517,140,38.9,3750706515,56,Back,3750706523,213,5.1,3750706519,141,6.4,,,,,,,ewpdng8x72853r8jkxv5z949h,M. Angha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
