id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value
2549391827,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-05-15T14:55:20.775Z,2023-05-15T16:03:51Z,4281324929,197,2937,4281171235,59,"25, 29, 13, 8, 4, 90, 7, 94, 31, 10, 11, 2, 3, 17, 21, 22, 20, 33, 70, 77",4281171237,130,6,4281171231,30,"e3q9barjksj9yb3obsi90i9jp, ql3ke0589k0ywxw4kzd5wgt0, b60up5thhuxb8e2bj4qry7ecq, dg7eawa1vjaz1uhrjhr7cucfe, 3wpliz4y0ex8jxtlt2enirc9h, 4ymo0battew5mb9h2d91gv9jo, bgzn0qcq2tcobzu1odwyaeeei, 6un0w34djb8ml6r3dmmbzaq96, tt0300qkkmgu52dbkxcaywut, b07spq4zt9abj441qcwfts5p1, clnli7y2s88p16yqtrbsb99sl, e1ub5vwuoudrjiy0ijh8cy49g, 5etucjhifze9cu3fecy68dg16, 8zbaicqws2ux52rgiy95xetm2, 53jsw38p3m81ohicrlus0j9ck, 92j12068e102fecql9i8bvehg, exs0tbl2thbcz163r3vas74es, 8pelo35x9cxd3anj7xrfxk1nu, en6ut1dhht8l7hrupqphorld5, 8btwu0jixlrcl9gj51uepz21g",4281171243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4281171239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4281171233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4281171241,194,e3q9barjksj9yb3obsi90i9jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549391883,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-05-15T14:55:40.958Z,2023-05-15T16:10:13Z,4281171581,130,11,4281324921,197,3982,4281171585,194,d3hiwrqyxc7ff8vlwk35tnsru,4281171579,59,"88, 22, 17, 33, 4, 2, 19, 18, 9, 8, 7, 1, 6, 10, 11, 14, 16, 23, 27, 98",4281171587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4281171577,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4281171575,30,"5hewtfw3vtddu8u3qmueyv4yd, 9vsqe0uy76u157na942hdokx5, 576sxo24s5ktc0t9chfh9v4d1, 7qmg0s07y1tkthgu8zwa599ed, d3hiwrqyxc7ff8vlwk35tnsru, ettpwvqyj8pyfhwpc7q84svhm, dybfeu5czibo3vri357z8yrpx, 5zmh9fz8vr0jcgt8zic0vyve2, cd3zg2t4cq4ghoh61kri7vaad, 28pvmv8slheuqzsh4eok2t905, 6m2uqbr8e3v4hcg8r02ee1ec5, 85paqhbw10m5ra3set109qz9, dozljiegaplgkxwywguqomeei, beeunz2xxmos83md5kmsy4hqt, 9psac5vq3c7li645yxsaglo0l, 5ubo5fzjm4klr35vzszmyquc4, 6ryod1z32yns7blzdxvhwmzqi, 9q7c1bn4dgyhoqto46puqeevp, 9k81fwyq8bbyhckt5t80fvwet, 1dtpzd3m6rhsrc1vk1ddzk2jt",4281171583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549420923,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-05-15T16:00:33.949Z,2023-05-15T16:00:36Z,4281329909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549420895,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-05-15T16:00:33.949Z,2023-05-16T11:28:29Z,4281329787,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549420957,3,1,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,50,50,2023-05-15T16:00:34.049Z,2023-05-15T16:00:39Z,4281330081,141,51.0,4281330085,213,3.1,4281330087,279,S,4281330079,140,40.4,4281330083,212,10.1,4281330077,56,Back,,,,,,,tt0300qkkmgu52dbkxcaywut,R. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549420967,4,1,1,0,5,dbhdov3cc47kcr1hjg5qr5qg7,1,37.8,44.8,2023-05-15T16:00:39.009Z,2023-05-15T16:00:40Z,4281330129,213,4.5,4281330123,140,32.5,4281330121,56,Back,4281330127,212,23.6,4281330125,141,11.0,,,,,,,,,,dg7eawa1vjaz1uhrjhr7cucfe,J. Pedroza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549421001,5,1,1,0,6,dbhdov3cc47kcr1hjg5qr5qg7,1,32.5,11,2023-05-15T16:00:40.545Z,2023-05-15T16:00:43Z,4281330317,212,14.0,4281330315,141,29.5,4281330313,140,26.7,4281330311,56,Back,4281330319,213,2.0,,,,,,,,,,ql3ke0589k0ywxw4kzd5wgt0,Bader Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549421033,6,1,1,0,9,dbhdov3cc47kcr1hjg5qr5qg7,1,26.7,29.5,2023-05-15T16:00:43.681Z,2023-05-15T16:00:47Z,4281330477,212,26.4,4281330475,141,68.3,4281330471,56,Back,4281330473,140,26.2,4281330479,213,1.6,,,,,,,,,,3wpliz4y0ex8jxtlt2enirc9h,Maurício Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549421069,7,1,1,0,13,dbhdov3cc47kcr1hjg5qr5qg7,1,27,70.2,2023-05-15T16:00:47.088Z,2023-05-15T16:00:52Z,4281330727,56,Back,4281330731,141,89.2,4281330733,212,13.4,4281330729,140,30.5,4281330735,213,1.3,,,,,,,,,,4ymo0battew5mb9h2d91gv9jo,M. Salifu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549421079,8,1,1,0,18,dbhdov3cc47kcr1hjg5qr5qg7,0,42.4,81.9,2023-05-15T16:00:52.545Z,2023-05-15T16:00:54Z,4281330797,56,Left,4281330795,155,,4281330803,212,35.5,4281330801,141,86.9,4281330799,140,76.1,4281330807,1,,4281330805,213,0.1,,,,6un0w34djb8ml6r3dmmbzaq96,Nawaf Al Sehimai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
