id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/18/value
2470599309,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-10-11T14:06:37.238Z,2022-10-11T16:25:22Z,3836665475,59,"30, 7, 13, 40, 15, 4, 2, 17, 9, 6, 49, 8, 10, 11, 16, 18, 19, 22, 23, 99",3836665479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836665471,30,"exmyiidka52uylmreef9fpn85, 5x2mcnjeclk64b5l9o2h4d5g5, 820fen2dxh3d2zmcbn9ak0u6t, 465tn4volgmbkntekrvwuvmne, 5376r1hbhrywje7cys1vcyb4l, cp8kbj12wth398bnglywepk9, 1fypwti6kn4ae12fc9outj845, evyk938tt0eebkhxrwejaonv9, 8cfopdu7tyfve6iu3sinme1gp, cgwl99clcp8j1z4tq5n0bh9ed, 5yrugwes9msd3cd5hhrluivah, 2rdvd4egt9kk7cocies197i6t, 9d3t6xtk6bceipt63k6c5rnit, 6yga33ui0heg0zkpe4r3kznmy, 5s1ofruu4rz52k2ogzaujplw4, 6i6o3ix1opt8h0zxfi2n8bnqh, bx6o57idb4mbv2xo70l9gkfs9, paq60rfkhm8gy9412w5tuo0k, 12aymg9roti0joastjxyswzqh, dcv72l1n3nkz6aybcnqwfu5g4",3836665473,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3836665477,130,11,3836708871,197,4263,3836665483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836665481,194,5376r1hbhrywje7cys1vcyb4l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470599553,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-10-11T14:10:19.486Z,2022-10-11T15:30:58Z,3836708993,197,620,3836666649,59,"34, 33, 27, 19, 5, 26, 36, 3, 9, 10, 90, 12, 14, 21, 37, 38, 44, 70, 80",3836666645,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, dertlfklisnxnba0zl5lpp7u1, cfjp3mf7meekpcsx7hjrql79, eqdev00exzhrls89wj77cdzp, 4upzspmuautmtl51yxe3kva39, 38qgiazulsyaxmvqqrdjlw2l0, emkg78pm7xdjkkt2w0yd8vh79, aatjvj13ffwrj81vcfy68fnit, 6lpj04km1rma60n8l66q0hd5h, 1cpbxhov5ypi6ez7k09oxo5w5, bg3kdsod1j0u3yk1jw5ndu9sk, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, chjrxst4jz5dy3gbcr8ecxq1g, 3is4y6lh7y7chpmqtnx02ngno, dl6i7pzautxs7nxzasicwdtec, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",3836666651,130,8,3836666655,194,4upzspmuautmtl51yxe3kva39,3836666657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836666653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3836666647,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607373,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-10-11T15:15:52.972Z,2022-11-02T14:03:56Z,3836709619,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607387,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-10-11T15:15:52.972Z,2022-10-11T15:15:54Z,3836709653,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607389,3,1,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,49.9,49.6,2022-10-11T15:15:53.028Z,2022-10-16T19:44:54Z,3836709655,56,Back,3836709659,141,57.8,3836709657,140,39.3,3836709661,212,12.4,3836709665,279,S,3836709663,213,2.7,3850739687,178,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607393,4,1,1,0,1,4djrvao40r1vgr4psfl5dzc80,1,39.3,57.8,2022-10-11T15:15:54.380Z,2022-10-16T19:45:00Z,3836709685,212,8.9,3836709681,140,33.5,3836709683,141,48.2,3850740059,178,,3836709687,213,4.0,3836709679,56,Back,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607405,5,1,1,0,3,4djrvao40r1vgr4psfl5dzc80,0,33.5,48.2,2022-10-11T15:15:56.931Z,2022-10-16T19:45:04Z,3836709745,212,42.6,3836709749,1,,3836709741,140,73.7,3836709743,141,57.0,3836709747,213,0.1,3836709737,155,,3836709739,56,Center,3850740207,178,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607419,3,1,1,0,6,2kzl64gp8x37bon8tyxojqrr1,0,24.1,43.4,2022-10-11T15:15:59.579Z,2022-10-16T19:45:09Z,3836709811,3,,3836709819,141,51.0,3836709817,140,40.7,3836709813,56,Back,3850740491,388,,3836709821,212,18.2,3836709823,213,0.3,,,,eqdev00exzhrls89wj77cdzp,Omar Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607445,6,1,1,0,9,4djrvao40r1vgr4psfl5dzc80,1,55.2,45.7,2022-10-11T15:16:02.260Z,2022-10-16T19:45:22Z,3836709941,213,2.1,3836709929,56,Back,3850741211,178,,3836709937,212,25.2,3836709931,140,43.3,3836709935,141,77.9,3836709927,3,,,,,evyk938tt0eebkhxrwejaonv9,D. Antolić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607449,7,1,1,0,16,4djrvao40r1vgr4psfl5dzc80,1,37,52.7,2022-10-11T15:16:09.269Z,2022-10-16T19:45:29Z,3836709969,140,37.8,3836709967,56,Back,3850741615,178,,3836709973,212,7.5,3836709971,141,41.8,3836709975,213,4.8,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
