id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2549898723,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-05-16T17:11:43.604Z,2023-05-16T18:35:22Z,4283841295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4283853717,197,3316,4283841285,30,"c2mhdatj96x8eug6mekactrkl, 5ffogjpb96mfoihuw7pu5pl91, 37ozmigs9h3hachibcihs8t05, 7ieikgigejp7rmvrsra8mj1lh, 3hzwwygv4u0vn68g4z3taqj1l, bhdvvtp8iu46et3iqfn6c8f3e, 8tvytrvm8g922nxp2sjc7lxp1, 3s3rnrrv8i4rb0x7vaa5mhvpx, egk2nnpvvup731trr0x2kj696, f0fot1juj3i62tt8i2vybnjdh, 9i2vkt05nwdi1v6iqiyv3hl91, a8tgq32yvdrxup21s75ktvtw4, 2a8vmk0i57bvjmhx852b7xn2s, 4d1vfcib03lv7y3dbpv2b8usp, 2ff2szax8e6tod2rts23ok9re, bkpoy149cdahszf7g50fdox04, 8y6x61qorr95ai62ko6yo6cr8, czk2wmpl7wu9ogvo8oyij1t5h, 2j2uxep3rot3fwdq27b2im9qt, d0hq3mzumz2pvhkx2cxvalqsp",4283853715,194,f0fot1juj3i62tt8i2vybnjdh,4283841291,130,6,4283841293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4283841287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4283841289,59,"1, 40, 3, 8, 30, 12, 10, 7, 9, 11, 75, 6, 13, 15, 18, 19, 23, 26, 32, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549899847,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-05-16T17:14:04.755Z,2023-05-16T19:02:50Z,4283847365,30,"ej4r05u0q7ebnlwk9rlp7pv4l, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, rbhqo1mjhl4j1enpfpbehlgp, eiarh2kihedqxxoftjyi55td5, 114zbg6z77mdio95dbl9v27dh, bfbozn43eclzjwzz8nt69ktsl, dayca044hynhii8kgr7g1azth, h17s3qts1dz1zqjw19jazzkl, 4lhyi7xvorswax9xwmz4v5tqt, cpws4xoaun4lc21p379rpd59l, drd86nrgxki1eobo3pam0jk5x, 2gqls23835l3x6466sfwnthhx, 4uyfs1epryrirnq46jttxm6sp, 85oc68xls37jerkaimzc1lv8q, 12x5lacdmnvc801277ugw9ecp, 1h4lbj5lsr3be6k2e5esd6356, 8wxgeu7xdeuvvuhn5ga0vu4q2, 4u3pq05nvcw6aemv99pbiopp0, 3u9v4demk1goyq93e3xv3d42d",4283851171,194,h17s3qts1dz1zqjw19jazzkl,4283847371,130,4,4283847373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4283847369,59,"22, 2, 13, 17, 78, 21, 8, 18, 7, 94, 29, 3, 4, 5, 12, 14, 16, 23, 27, 33",4283847367,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4283974589,197,678,4283847375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924505,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-05-16T18:30:55.257Z,2023-05-16T18:30:57Z,4283983043,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924509,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-05-16T18:30:55.257Z,2023-05-16T18:30:56Z,4283983061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924515,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,49.9,50.2,2023-05-16T18:30:55.357Z,2023-05-16T18:49:26Z,4283983075,213,3.1,4283983067,56,Back,4283983069,140,41.9,4283983073,212,8.4,4283983071,141,50.2,4283983077,279,S,,,,,,,h17s3qts1dz1zqjw19jazzkl,Cristiano Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924535,4,1,1,0,4,57jcqe38hakh2hfit2zsogsb,1,41.9,50.2,2023-05-16T18:30:59.881Z,2023-05-16T18:36:45Z,4283983187,56,Back,4283983191,141,34.0,4283983193,212,11.2,4283983189,140,43.7,4283983195,213,4.9,,,,,,,,,,rbhqo1mjhl4j1enpfpbehlgp,Abdullah Al Khaibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924547,5,1,1,0,5,57jcqe38hakh2hfit2zsogsb,1,43.7,34,2023-05-16T18:31:01.066Z,2023-05-16T18:31:03Z,4283983263,56,Back,4283983267,141,8.5,4283983269,212,17.6,4283983271,213,4.9,4283983265,140,46.8,,,,,,,,,,bfbozn43eclzjwzz8nt69ktsl,Abdulmajeed Al Sulaiheem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924565,6,1,1,0,7,57jcqe38hakh2hfit2zsogsb,1,46.1,8.7,2023-05-16T18:31:03.081Z,2023-05-16T18:31:07Z,4283983375,56,Back,4283983379,141,25.6,4283983377,140,30.3,4283983383,213,2.5,4283983381,212,20.2,,,,,,,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924579,7,1,1,0,12,57jcqe38hakh2hfit2zsogsb,1,30.3,33.5,2023-05-16T18:31:07.481Z,2023-05-16T18:31:10Z,4283983469,141,65.4,4283983467,140,33.3,4283983465,56,Back,4283983473,213,1.4,4283983471,212,21.9,,,,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549924597,8,1,1,0,14,57jcqe38hakh2hfit2zsogsb,1,33.1,67.5,2023-05-16T18:31:10.057Z,2023-05-16T18:31:12Z,4283983573,56,Back,4283983579,212,18.2,4283983577,141,92.7,4283983581,213,1.2,4283983575,140,38.8,,,,,,,,,,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
