id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2470618507,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-10-11T16:21:12.457Z,2022-10-11T20:18:55Z,3836770211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836770209,194,74yjko6gbejstpnhkr1gn8xxx,3836858103,197,678,3836770207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3836770203,59,"25, 2, 13, 17, 5, 21, 23, 18, 9, 94, 14, 1, 3, 4, 8, 11, 16, 24, 29",3836770201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3836770205,130,8,3836770199,30,"9n8332rcl3v2jq0b791i0s5w5, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, rbhqo1mjhl4j1enpfpbehlgp, 4uyfs1epryrirnq46jttxm6sp, 114zbg6z77mdio95dbl9v27dh, 8wxgeu7xdeuvvuhn5ga0vu4q2, dayca044hynhii8kgr7g1azth, bwj0ic6ljwuzim9zsmosx4hxx, 4lhyi7xvorswax9xwmz4v5tqt, 12x5lacdmnvc801277ugw9ecp, 9mdjn6gf4q36hyghfz03fubjd, drd86nrgxki1eobo3pam0jk5x, 2gqls23835l3x6466sfwnthhx, bfbozn43eclzjwzz8nt69ktsl, 92qhzmz7bik9yiyhpt9fcvqzu, 1h4lbj5lsr3be6k2e5esd6356, 5hm2s34cfjlc1ha8bxnyelhm2, cpws4xoaun4lc21p379rpd59l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470619275,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-10-11T16:24:36.406Z,2022-10-11T17:32:56Z,3836774255,30,"ajtqeot5t9kv6mrtpdudlwmvp, aonc1y49ulmolyc47knpwtrtg, 3km030r7hwsxw849nv0qpaql0, vgyj638vzzteqqyxcdte3sgl, ewpdng8x72853r8jkxv5z949h, 6yf6ozyy2rpmiy86xno7u0es5, 9857q6zg63yro4ia9txv2l9pm, 98nbel31pgxlifu6s4wqqxjv9, 9n2zj5201b83mmcm7oomygacq, 15o6hxjc62wgd0ej4dxtxczpx, si3wcnvnhiukn1novyv1su6t, 91e6dbk9uxyui5vbe47zdj6jt, c3ly1ivtw40f1rjqbbk9ublqt, e81tor86msoqqodyy4xhiu31l, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 7cnb8jhbmd4n9ibdcuxym24fd, 6nwftpkqtitqtvk9c8gtxkut, 5zvanazhxnqfi6vwms2xcgsus",3836774257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3836774265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836774261,130,7,3836774273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836869467,197,6657,3836774259,59,"1, 7, 23, 19, 2, 4, 27, 17, 9, 14, 10, 3, 5, 11, 20, 22, 24, 70, 77, 96",3836774269,194,vgyj638vzzteqqyxcdte3sgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635287,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-10-11T17:30:16.900Z,2022-10-11T17:30:19Z,3836864013,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635285,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-10-11T17:30:16.900Z,2022-11-02T19:20:46Z,3836864011,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635299,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,49.8,50.1,2022-10-11T17:30:16.927Z,2022-10-16T20:10:04Z,3836864069,279,S,3836864059,56,Back,3836864061,140,32.6,3836864065,212,20.1,3836864067,213,2.7,3836864063,141,63.1,3850797665,178,,,,,bwj0ic6ljwuzim9zsmosx4hxx,V. Aboubakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635319,4,1,1,0,3,57jcqe38hakh2hfit2zsogsb,1,35.8,49.1,2022-10-11T17:30:20.171Z,2022-10-16T20:10:16Z,3836864163,213,5.7,3836864165,1,,3836864161,212,47.2,3836864153,155,,3836864157,140,73.8,3836864155,56,Right,3836864159,141,12.0,3850798481,178,,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635331,5,44,1,0,6,57jcqe38hakh2hfit2zsogsb,1,69.1,9.2,2022-10-11T17:30:23.137Z,2022-11-03T05:49:34Z,3836864221,233,3,3836864219,286,,3836864217,56,Right,,,,,,,,,,,,,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635323,3,44,1,0,6,cq4rdp1mkan8zhaw7bmzjdaqk,0,30.9,90.8,2022-10-11T17:30:23.138Z,2022-10-16T20:10:22Z,3836864189,285,,3836864187,56,Back,3836864225,233,5,,,,,,,,,,,,,,,,3km030r7hwsxw849nv0qpaql0,Mohammed Al Oufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635363,6,1,1,0,6,57jcqe38hakh2hfit2zsogsb,1,71.9,6.7,2022-10-11T17:30:23.167Z,2022-11-03T05:49:34Z,3836864377,56,Right,3836864375,3,,3850798993,388,,3836864383,212,9.8,3836864385,213,0.6,3836864381,141,14.7,3836864379,140,79.7,,,,74yjko6gbejstpnhkr1gn8xxx,Sultan Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470635377,7,61,1,0,7,57jcqe38hakh2hfit2zsogsb,0,80.1,15.2,2022-10-11T17:30:24.306Z,2022-10-16T20:11:15Z,3836864455,56,Right,3850799721,15,,3850799723,388,,,,,,,,,,,,,,,,,8wxgeu7xdeuvvuhn5ga0vu4q2,Ayman Yahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
