id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2455194265,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-09-03T17:13:27.131Z,2022-09-03T17:57:10Z,3754664251,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3754664259,130,13,3754664265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754864535,197,620,3754683685,194,4upzspmuautmtl51yxe3kva39,3754664247,30,"5il4uc7d941ndwjl0qu97y7dh, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, eqdev00exzhrls89wj77cdzp, emkg78pm7xdjkkt2w0yd8vh79, cfjp3mf7meekpcsx7hjrql79, 1cpbxhov5ypi6ez7k09oxo5w5, 29i4ruk1vkwrl1w9vg9ggqpqt, 6lpj04km1rma60n8l66q0hd5h, bg3kdsod1j0u3yk1jw5ndu9sk, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 56umgnm066b18r5v5m7xduead, 38qgiazulsyaxmvqqrdjlw2l0, chjrxst4jz5dy3gbcr8ecxq1g, dl6i7pzautxs7nxzasicwdtec, 7us8hoqv66v0fqos94zxijk2y, dfp7gtib09b9l0bdqfl89m356",3754664269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754664255,59,"34, 24, 27, 20, 26, 5, 3, 19, 90, 17, 10, 12, 14, 21, 33, 36, 37, 44, 70, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455194505,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-09-03T17:13:46.313Z,2022-09-03T20:05:44Z,3754665593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3754665609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754665591,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, 3ps4l9x2ndwkypm1y4z6h5uxh, 5brwa0y63724t6s3y6gtz28yx, 1x2kly8qv2vxujs6d0tgdt0id, 9kbzdpxg4ud1m8wppt1s1roq, 9j37dmdxamf5ykbw9l24wlt6, a7sgm3cmjoxjjxanrad02l2lm, bia0lpc5wkxjcyc92d12apas5, 6q8kbaw3h6n77ekwl6fr0e9qt, aervyzt3cfxxktpj81yjxo9d6, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, dpuogllbip7f2jpamgohjkfyt, d597taqcmedln0e50xgdyt8gk, 4c540mry6f9esodej103n6xka, 8hw7lxbdh3zllchj5arfyc8np, 8fnnkhu8buuejfilvhgtpv7ro, 9w8b4bdj7ox6hw6hkmhx9emfo, dvt8h9sh00qsqzhrb3y4fco9h",3754665603,194,6q8kbaw3h6n77ekwl6fr0e9qt,3754665599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754665597,130,7,3754665595,59,"48, 2, 13, 98, 32, 70, 15, 6, 99, 11, 8, 27, 1, 4, 12, 16, 17, 29, 44, 18",3754865525,197,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233651,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-09-03T18:01:06.791Z,2022-09-08T20:06:49Z,3754878997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233693,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2022-09-03T18:01:06.791Z,2022-09-03T18:01:09Z,3754879151,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233701,3,1,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,49.9,50.1,2022-09-03T18:01:06.873Z,2022-09-10T05:28:31Z,3768311931,178,,3754879187,212,9.0,3754879185,141,45.6,3754879183,140,41.8,3754879191,279,S,3754879189,213,3.5,3754879181,56,Back,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233717,4,1,1,0,2,2kzl64gp8x37bon8tyxojqrr1,0,41.8,45.6,2022-09-03T18:01:08.944Z,2022-09-10T05:28:38Z,3768312227,178,,3754879271,155,,3754879279,212,46.5,3754879273,56,Left,3754879275,140,75.9,3754879281,213,0.7,3754879277,141,89.3,3754879283,1,,dertlfklisnxnba0zl5lpp7u1,Hamdan Al Shamrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233733,3,49,1,0,4,7dkxxicrwn77jpdfkwpnlnnyn,1,23.2,10.3,2022-09-03T18:01:10.935Z,2022-09-10T05:28:43Z,,,,,,,,,,,,,,,,,,,,,,,,,2xoesy83pz2opdvnkdbraacph,Saeed Al Muwallad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233759,4,1,1,0,4,7dkxxicrwn77jpdfkwpnlnnyn,0,26.4,10.4,2022-09-03T18:01:11.551Z,2022-09-10T05:28:48Z,3754879419,56,Back,3754879425,212,20.0,3754879427,213,0.2,3754879421,140,45.0,3754879429,1,,3754879417,157,,3768312349,178,,3754879423,141,17.0,2xoesy83pz2opdvnkdbraacph,Saeed Al Muwallad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233769,5,49,1,0,7,2kzl64gp8x37bon8tyxojqrr1,1,57.4,75.5,2022-09-03T18:01:14.183Z,2022-09-10T05:28:53Z,,,,,,,,,,,,,,,,,,,,,,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457882657,1091,83,1,0,10,7dkxxicrwn77jpdfkwpnlnnyn,1,43.7,23.5,2022-09-03T18:01:17.656Z,2022-09-10T12:24:38Z,3768973447,399,178255,,,,,,,,,,,,,,,,,,,,,,a7sgm3cmjoxjjxanrad02l2lm,Ibrahim Mahnashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
