id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,assist,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2497095995,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-01-14T11:38:04.849Z,2023-01-14T12:34:06Z,3976415765,130,11,3976415767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976509653,197,2937,3976415759,30,"e3q9barjksj9yb3obsi90i9jp, ql3ke0589k0ywxw4kzd5wgt0, bgzn0qcq2tcobzu1odwyaeeei, 96locb7oipzlke997xnx6ii38, 3wpliz4y0ex8jxtlt2enirc9h, 92x3r5pxmvkgaxups0gdrvq39, 8zbaicqws2ux52rgiy95xetm2, dg7eawa1vjaz1uhrjhr7cucfe, tt0300qkkmgu52dbkxcaywut, 4ymo0battew5mb9h2d91gv9jo, 6un0w34djb8ml6r3dmmbzaq96, e1ub5vwuoudrjiy0ijh8cy49g, 5etucjhifze9cu3fecy68dg16, b07spq4zt9abj441qcwfts5p1, b60up5thhuxb8e2bj4qry7ecq, d5sexeurir6iq57sqk1d2xrs9, 53jsw38p3m81ohicrlus0j9ck, 92j12068e102fecql9i8bvehg, 4wvzsf1eyia9ny6qk3ft5slqs, 8btwu0jixlrcl9gj51uepz21g",3976415761,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976415769,194,e3q9barjksj9yb3obsi90i9jp,3976415763,59,"25, 29, 7, 6, 4, 23, 17, 8, 31, 90, 94, 2, 3, 10, 13, 15, 21, 22, 19, 77",3976415771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497097355,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-14T11:41:35.859Z,2023-01-14T12:42:46Z,3976422887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976422885,130,8,3976541287,197,620,3976422879,30,"5il4uc7d941ndwjl0qu97y7dh, 8g2nbo0z5g733zb4wzuo2390q, dertlfklisnxnba0zl5lpp7u1, emkg78pm7xdjkkt2w0yd8vh79, eqdev00exzhrls89wj77cdzp, 4upzspmuautmtl51yxe3kva39, 29i4ruk1vkwrl1w9vg9ggqpqt, 79n11s84csv7ur8atv9qbi3o4, aatjvj13ffwrj81vcfy68fnit, cfjp3mf7meekpcsx7hjrql79, 1cpbxhov5ypi6ez7k09oxo5w5, bg3kdsod1j0u3yk1jw5ndu9sk, e6prms9eb7zao76xzfbmdbbx0, d3sjamk5urj3zpdece4bopadx, 1omzj46rrvsev6v03nd72dgwl, 56umgnm066b18r5v5m7xduead, 38qgiazulsyaxmvqqrdjlw2l0, chjrxst4jz5dy3gbcr8ecxq1g, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",3976422889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976511891,194,4upzspmuautmtl51yxe3kva39,3976422883,59,"34, 13, 27, 3, 5, 26, 17, 14, 9, 19, 90, 12, 16, 21, 24, 33, 36, 37, 70, 80",3976422881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114877,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-01-14T12:32:46.566Z,2023-01-19T23:19:05Z,3976518377,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114883,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-14T12:32:46.566Z,2023-01-14T12:32:48Z,3976518389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114895,3,1,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,49.9,50.1,2023-01-14T12:32:46.711Z,2023-01-20T20:21:09Z,3976518451,279,S,3976518443,140,37.7,3976518449,213,3.2,3976518445,141,49.3,3986216283,178,,3976518447,212,12.8,3976518441,56,Back,,,,8zbaicqws2ux52rgiy95xetm2,Yahya Al Qarani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114915,4,1,1,0,2,dbhdov3cc47kcr1hjg5qr5qg7,1,37.7,49.3,2023-01-14T12:32:48.949Z,2023-01-20T20:21:16Z,3976518559,212,38.2,3976518561,213,0.7,3976518553,56,Left,3976518557,141,87.2,3976518555,140,64.5,3986216601,178,,3976518563,1,,3976518551,157,,dg7eawa1vjaz1uhrjhr7cucfe,J. Pedroza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114917,5,44,1,0,4,dbhdov3cc47kcr1hjg5qr5qg7,1,67.2,89.4,2023-01-14T12:32:51.490Z,2023-01-21T09:41:26Z,3976518599,233,3,3976518569,56,Left,3976518571,286,,,,,,,,,,,,,,,,,tt0300qkkmgu52dbkxcaywut,R. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114911,3,44,1,0,4,2kzl64gp8x37bon8tyxojqrr1,0,32.8,10.6,2023-01-14T12:32:51.491Z,2023-01-20T20:21:24Z,3976518617,233,5,3976518533,56,Back,3976518535,285,,,,,,,,,,,,,,,,,8g2nbo0z5g733zb4wzuo2390q,Muhannad Al Shanqiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114921,6,1,1,0,4,dbhdov3cc47kcr1hjg5qr5qg7,0,64.5,87.2,2023-01-14T12:32:51.511Z,2023-01-21T09:41:26Z,3976518585,168,,3976518595,213,6.1,3986217225,388,,3976518591,141,84.3,3976518587,56,Left,3976518593,212,9.8,3976518583,3,,3976518589,140,73.6,tt0300qkkmgu52dbkxcaywut,R. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497114941,4,1,1,0,6,2kzl64gp8x37bon8tyxojqrr1,1,23.6,11.7,2023-01-14T12:32:52.886Z,2023-01-20T20:21:31Z,3976518721,3,,3986217411,178,,3976518731,213,6.0,3976518725,140,40.4,3976518727,141,3.9,3976518723,56,Back,3976518729,212,18.4,,,,eqdev00exzhrls89wj77cdzp,Omar Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
