id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2508999015,942,67,1,0,11,57jcqe38hakh2hfit2zsogsb,1,37.2,83.5,2023-02-03T15:01:01.183Z,2023-02-18T12:32:56Z,4038982363,233,814,,,,,,,,,,,,,,,,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508999009,814,67,1,0,11,aekjg4wbxaixtwu4aicmiju92,0,62.8,16.5,2023-02-03T15:01:01.184Z,2023-02-18T12:18:37Z,4038982367,233,942,,,,,,,,,,,,,,,,,,,,,,cee8klv6kur6xp1v57uikihg5,S. Bendebka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312735,11,61,1,0,11,57jcqe38hakh2hfit2zsogsb,0,39,70.2,2023-02-03T15:01:01.275Z,2023-02-18T12:32:56Z,4038921711,178,,4009081969,56,Back,,,,,,,,,,,,,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312705,6,43,1,0,12,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-02-03T15:01:01.964Z,2023-02-07T15:11:45Z,4009081803,56,Center,4009081805,286,0,4018914089,144,3,4009081963,233,4,,,,,,,,,,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312707,4,43,1,0,12,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-02-03T15:01:01.965Z,2023-02-07T15:11:47Z,4009081957,285,0,4009081809,56,Back,4018914143,144,7,,,,,,,,,,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508999191,815,67,1,0,12,aekjg4wbxaixtwu4aicmiju92,1,60.1,26,2023-02-03T15:01:02.233Z,2023-02-18T12:32:57Z,4038983471,233,943,,,,,,,,,,,,,,,,,,,,,,zdrtch0slexakz6exy86cid,Tello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508999189,943,67,1,0,12,57jcqe38hakh2hfit2zsogsb,0,39.9,74,2023-02-03T15:01:02.234Z,2023-02-18T12:11:34Z,4038983505,233,815,,,,,,,,,,,,,,,,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312701,5,1,1,0,12,aekjg4wbxaixtwu4aicmiju92,0,44.4,4.6,2023-02-03T15:01:02.251Z,2023-02-22T04:42:29Z,4009081791,213,0.8,4038921805,178,,4009081789,212,19.2,4018954255,233,3,4018913195,236,,4009081787,141,23.9,4009081783,56,Center,4009081785,140,57.8,zdrtch0slexakz6exy86cid,Tello,4018913197,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312703,3,74,1,0,12,57jcqe38hakh2hfit2zsogsb,1,40.2,83.4,2023-02-03T15:01:02.516Z,2023-02-18T11:08:32Z,4018913125,285,,4038922251,389,,4018913123,56,Back,4018954259,233,5,,,,,,,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505195975,795,61,1,0,12,aekjg4wbxaixtwu4aicmiju92,1,61.4,26.5,2023-02-03T15:01:02.673Z,2023-02-18T11:08:39Z,4018913681,56,Center,4038922341,178,,,,,,,,,,,,,,,,,,,,zdrtch0slexakz6exy86cid,Tello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
