id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/16/value
2473101225,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-10-16T16:19:05.813Z,2022-10-16T17:28:07Z,3849947269,59,"30, 19, 13, 6, 15, 40, 17, 10, 9, 2, 49, 4, 7, 8, 11, 22, 23, 24, 32, 99",3849947277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849947273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850250267,197,4263,3849947275,194,5376r1hbhrywje7cys1vcyb4l,3849947265,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849947271,130,4,3849947261,30,"exmyiidka52uylmreef9fpn85, bx6o57idb4mbv2xo70l9gkfs9, 820fen2dxh3d2zmcbn9ak0u6t, cgwl99clcp8j1z4tq5n0bh9ed, 5376r1hbhrywje7cys1vcyb4l, 465tn4volgmbkntekrvwuvmne, evyk938tt0eebkhxrwejaonv9, 9d3t6xtk6bceipt63k6c5rnit, 8cfopdu7tyfve6iu3sinme1gp, 1fypwti6kn4ae12fc9outj845, 5yrugwes9msd3cd5hhrluivah, cp8kbj12wth398bnglywepk9, 5x2mcnjeclk64b5l9o2h4d5g5, 2rdvd4egt9kk7cocies197i6t, 6yga33ui0heg0zkpe4r3kznmy, paq60rfkhm8gy9412w5tuo0k, 12aymg9roti0joastjxyswzqh, deh42a9ovtkyfppy2pmthdre1, 5zwi7f2u6vd88wvc00ynpv209, dcv72l1n3nkz6aybcnqwfu5g4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473106357,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-10-16T16:24:39.789Z,2022-10-16T17:37:01Z,3849974913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849974909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849974911,194,c3ly1ivtw40f1rjqbbk9ublqt,3850264405,197,6655,3849974901,30,"ajtqeot5t9kv6mrtpdudlwmvp, si3wcnvnhiukn1novyv1su6t, 91e6dbk9uxyui5vbe47zdj6jt, 6yf6ozyy2rpmiy86xno7u0es5, c3ly1ivtw40f1rjqbbk9ublqt, ewpdng8x72853r8jkxv5z949h, aonc1y49ulmolyc47knpwtrtg, vgyj638vzzteqqyxcdte3sgl, 9n2zj5201b83mmcm7oomygacq, 5zvanazhxnqfi6vwms2xcgsus, 98nbel31pgxlifu6s4wqqxjv9, 7h6e2d1wfa89bvqfmhgm2r3kl, 3od5vsqck7ir6xf4kk2f5wbth, e81tor86msoqqodyy4xhiu31l, 15o6hxjc62wgd0ej4dxtxczpx, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 7cnb8jhbmd4n9ibdcuxym24fd, 6nwftpkqtitqtvk9c8gtxkut",3849974905,59,"1, 10, 3, 4, 5, 2, 7, 19, 9, 96, 17, 6, 8, 11, 14, 20, 22, 24, 70, 77",3849974907,130,11,3849974903,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159817,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-10-16T17:30:11.117Z,2022-10-22T18:02:06Z,3850255089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159827,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-10-16T17:30:11.117Z,2022-10-16T17:30:12Z,3850255131,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159845,3,1,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,50,50,2022-10-16T17:30:11.149Z,2022-10-22T18:07:51Z,3863913945,178,,3850255269,141,41.3,3850255275,279,S,3850255271,212,13.5,3850255265,56,Back,3850255273,213,3.6,3850255267,140,38.4,,,,9n2zj5201b83mmcm7oomygacq,L. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159861,4,1,1,0,1,cq4rdp1mkan8zhaw7bmzjdaqk,1,39,36.3,2022-10-16T17:30:13.043Z,2022-10-22T18:08:01Z,3850255357,141,33.0,3850255353,56,Back,3850255355,140,31.5,3863914767,178,,3850255359,212,8.2,3850255361,213,3.4,,,,,,,5zvanazhxnqfi6vwms2xcgsus,Hussain Al Nattar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159887,5,1,1,0,4,cq4rdp1mkan8zhaw7bmzjdaqk,1,31.5,33,2022-10-16T17:30:15.838Z,2022-10-22T18:08:08Z,3850255509,213,1.7,3850255503,140,29.2,3850255507,212,27.2,3863915607,178,,3850255505,141,72.9,3850255501,56,Back,,,,,,,ewpdng8x72853r8jkxv5z949h,M. Angha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159935,6,1,1,0,9,cq4rdp1mkan8zhaw7bmzjdaqk,1,34.7,86.9,2022-10-16T17:30:20.822Z,2022-10-22T18:08:15Z,3850255805,155,,3850255807,56,Center,3850255817,1,,3863916303,178,,3850255813,212,39.4,3850255809,140,67.0,3850255815,213,5.7,3850255811,141,57.3,6yf6ozyy2rpmiy86xno7u0es5,M. Dyrestam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160019,7,1,1,0,12,cq4rdp1mkan8zhaw7bmzjdaqk,1,59.2,61.4,2022-10-16T17:30:23.956Z,2022-10-22T18:08:25Z,3863917135,178,,3850256175,140,39.4,3850256171,56,Back,3850256179,141,30.6,3850256187,213,3.9,3850256183,212,29.5,,,,,,,9n2zj5201b83mmcm7oomygacq,L. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160043,8,1,1,0,15,cq4rdp1mkan8zhaw7bmzjdaqk,1,38.7,26.7,2022-10-16T17:30:26.742Z,2022-10-22T18:08:32Z,3850256325,140,45.1,3850256321,56,Back,3863917923,178,,3850256327,141,4.6,3850256331,213,5.1,3850256329,212,16.5,,,,,,,ewpdng8x72853r8jkxv5z949h,M. Angha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
