id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value
2468023981,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-10-06T17:20:33.033Z,2022-10-06T17:56:31Z,3822887955,194,5376r1hbhrywje7cys1vcyb4l,3822964623,197,4263,3822886517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3822886507,30,"exmyiidka52uylmreef9fpn85, bx6o57idb4mbv2xo70l9gkfs9, 820fen2dxh3d2zmcbn9ak0u6t, cgwl99clcp8j1z4tq5n0bh9ed, 5376r1hbhrywje7cys1vcyb4l, 465tn4volgmbkntekrvwuvmne, evyk938tt0eebkhxrwejaonv9, 9d3t6xtk6bceipt63k6c5rnit, 8cfopdu7tyfve6iu3sinme1gp, 1fypwti6kn4ae12fc9outj845, 5x2mcnjeclk64b5l9o2h4d5g5, cp8kbj12wth398bnglywepk9, 6yga33ui0heg0zkpe4r3kznmy, g15ldg2cnu1otbiwsm3dppg4, 5s1ofruu4rz52k2ogzaujplw4, 6i6o3ix1opt8h0zxfi2n8bnqh, paq60rfkhm8gy9412w5tuo0k, 12aymg9roti0joastjxyswzqh, deh42a9ovtkyfppy2pmthdre1, dcv72l1n3nkz6aybcnqwfu5g4",3822886509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3822886511,59,"30, 19, 13, 6, 15, 40, 17, 10, 9, 2, 7, 4, 11, 12, 16, 18, 22, 23, 24, 99",3822886513,130,4,3822886515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468030421,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2022-10-06T17:30:55.526Z,2022-10-06T18:55:26Z,3822922565,194,bgzn0qcq2tcobzu1odwyaeeei,3822922561,130,11,3822922555,30,"92j12068e102fecql9i8bvehg, ql3ke0589k0ywxw4kzd5wgt0, bgzn0qcq2tcobzu1odwyaeeei, 8fzdgtbrfz7oeki448trj105w, 3wpliz4y0ex8jxtlt2enirc9h, 5etucjhifze9cu3fecy68dg16, 8btwu0jixlrcl9gj51uepz21g, drlzps89wgzfvjmmvqnshmrkk, en6ut1dhht8l7hrupqphorld5, 96locb7oipzlke997xnx6ii38, cznfldjv2fv42m6z68um5lzx0, 7rfodyul3h9g09koricuuohsk, 6c9h442qns0cyep0948jcdf6c, exs0tbl2thbcz163r3vas74es, 4wvzsf1eyia9ny6qk3ft5slqs, 7viodtsy0imlbh9st2mpbclck, 5t98d281r2jcm6ciue9h9o3ro, 5jf9ehsqbdmxlcan1tjm7gmqc, kpt652xmwmbwuf9k7t59tzis, 2ulcka9bd1cna5mixtb0fu2ac",3822922563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3822922567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3822922557,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3822922559,59,"22, 29, 7, 24, 4, 3, 77, 18, 70, 6, 19, 5, 26, 20, 37, 41, 44, 45, 46, 14",3822966219,197,2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040165,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-10-06T18:00:13.754Z,2022-10-06T18:00:17Z,3822977577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040155,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2022-10-06T18:00:13.754Z,2022-10-21T09:07:29Z,3822977537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040181,3,1,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,50.2,50,2022-10-06T18:00:14.023Z,2022-10-21T09:29:41Z,3822977661,212,12.9,3822977655,56,Back,3822977663,213,2.4,3822977665,279,S,3822977659,141,62.3,3822977657,140,40.9,3859478677,178,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040195,4,1,1,0,1,4djrvao40r1vgr4psfl5dzc80,1,40.8,62.3,2022-10-06T18:00:14.893Z,2022-10-21T09:29:48Z,3822977747,140,36.5,3859479101,178,,3822977749,141,49.4,3822977753,213,4.2,3822977751,212,9.9,3822977745,56,Back,,,,,,,9d3t6xtk6bceipt63k6c5rnit,Nono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040199,5,1,1,0,2,4djrvao40r1vgr4psfl5dzc80,1,36.5,49.4,2022-10-06T18:00:16.294Z,2022-10-21T09:29:55Z,3822977761,56,Back,3822977763,140,41.7,3822977775,213,0.9,3822977771,212,8.9,3822977767,141,59.7,3859479435,178,,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040229,6,1,1,0,3,4djrvao40r1vgr4psfl5dzc80,1,41.7,59.7,2022-10-06T18:00:16.983Z,2022-10-21T09:29:59Z,3822977935,140,28.4,3859479677,178,,3822977933,56,Back,3822977941,213,4.0,3822977939,212,20.5,3822977937,141,37.6,,,,,,,9d3t6xtk6bceipt63k6c5rnit,Nono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040267,7,1,1,0,7,4djrvao40r1vgr4psfl5dzc80,1,29.5,38.2,2022-10-06T18:00:20.902Z,2022-10-21T09:30:04Z,3859479839,178,,3822978143,212,17.8,3822978139,140,31.3,3822978137,56,Back,3822978141,141,64.2,3822978145,213,1.5,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040303,8,1,1,0,10,4djrvao40r1vgr4psfl5dzc80,1,30,67.8,2022-10-06T18:00:23.833Z,2022-10-21T09:30:08Z,3859480125,178,,3822978349,213,1.3,3822978347,212,17.0,3822978345,141,92.1,3822978341,56,Back,3822978343,140,33.7,,,,,,,465tn4volgmbkntekrvwuvmne,Hassan Al Shamrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040319,9,1,1,0,12,4djrvao40r1vgr4psfl5dzc80,1,34.5,93.3,2022-10-06T18:00:26.066Z,2022-10-21T09:30:13Z,3822978435,56,Back,3822978445,213,4.4,3822978441,212,21.9,3859480349,178,,3822978439,141,62.9,3822978437,140,27.7,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
