id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value
2499657619,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-01-22T13:44:48.562Z,2023-01-22T15:08:50Z,3990192733,197,618,3989955911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989955907,30,"c4zklinh3sa5kchbvjugn0s0l, aq8pym2fuweqbkxbbu7hqn0x6, 14dpnweb51v7re2xa3qkpulex, 3xtzd4wqoq2b6ak1k2tep9oet, inbrwc7gw6d1z8x60nl0padx, av4e1au7cz1s6rmz5u45l4yjt, 2lkra7wic5b481l7qybjh8lx, 2ghv5nqgyn0wv9ekdx1ow0445, 5muk6frafyj5lj1jdg54z2thx, 1jfxkmks9lci345fiz9z2gfl5, f53lu15h3s3mhmj2u7ztabd1x, 9vt5q842htj38cblrh1v62qj9, p3ebcmbu5i9le8czo76ngm0a, 2i9cy7dt9zn1jz96h61oo2m6t, hki3chjlidmwubff6srauj56, a3t7bral3j0l1czbmojwqnob9, d25hyz1ov3mdflbnbyc9okrmd, cotgnu5iq5oiiwo9t5yp5lel0, 2v2v3wzd9pv8j9phh6s0isdn8, 574pdpfxal0lsopnsnz17ciqd",3989955917,130,4,3989955923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989955915,59,"21, 66, 16, 6, 20, 5, 19, 29, 11, 96, 10, 1, 4, 8, 14, 17, 28, 42, 43, 70",3990199533,194,2ghv5nqgyn0wv9ekdx1ow0445,3989955921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499660293,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-01-22T13:49:29.481Z,2023-01-22T15:03:49Z,3989970181,59,"16, 39, 31, 8, 4, 19, 18, 89, 9, 10, 7, 13, 14, 15, 17, 20, 21, 33, 77, 88",3989970185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989970179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989970177,30,"7qirhp2v0034pkiwvnmsfd785, 9o288vygjpcv3noeqnrnqh3ah, bgac6td6x8qi2o7o5ofrj3t1x, dp5fmyett2g7fvus88m85fsut, dxy1gb64e1hokq26qqnigirpx, bwew6i3fnis40s77t3e3sal0p, 6msbre1fcjcrvqyzoozo43sb8, btjt8zqd248l6mk9b2obdsr1l, 17rl734wbbzbxvj33id7j9l62, 483n2f7a1xkseruh77bj7rxed, 6fy868uh27umb1dafjy7tk2xh, 97gy3oursbjphkf5t85x9wy96, 1qt77p34tr6jf5vl5pzbh8zfu, 61o0q05smyp280htj5g3og5xw, 4fkudkcxt03pqaqz58nofkag9, bvmo38wfbtnrk5hdbxgczkzpx, c706bwqqpdkdk2zqzmop9wm39, 4jspfn1jca5yzxbhn8p2p06ax, embrr58160gq57nfexeif3xsl, 2ycm47qi7qr17i31a8f6oq9gq",3989970187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990194641,197,1311,3990198755,194,483n2f7a1xkseruh77bj7rxed,3989970183,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702739,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-01-22T15:00:21.314Z,2023-01-22T15:00:22Z,3990203713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702727,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-01-22T15:00:21.314Z,2023-02-13T07:07:54Z,3990203653,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702759,3,1,1,0,0,c9swyor08g9pedxpe3n321svu,1,50.4,50.1,2023-01-22T15:00:21.334Z,2023-01-28T03:08:34Z,3990203815,213,3.3,3990203819,279,S,3990203807,56,Back,3997647547,178,,3990203809,140,37.5,3990203811,141,47.8,3990203813,212,13.6,,,,5muk6frafyj5lj1jdg54z2thx,Saleh Al Shehri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702781,4,1,1,0,2,c9swyor08g9pedxpe3n321svu,1,37,46.1,2023-01-22T15:00:23.635Z,2023-01-28T03:08:42Z,3990203933,56,Back,3997647681,178,,3990203935,140,41.8,3990203939,212,16.2,3990203937,141,23.4,3990203941,213,5.0,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702795,5,1,1,0,4,c9swyor08g9pedxpe3n321svu,1,41.8,23.4,2023-01-22T15:00:25.706Z,2023-01-28T03:08:49Z,3990203993,56,Back,3990204001,213,5.1,3997647733,178,,3990203999,212,13.5,3990203995,140,46.4,3990203997,141,4.9,,,,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702809,6,1,1,0,5,c9swyor08g9pedxpe3n321svu,1,46.4,4.9,2023-01-22T15:00:27.103Z,2023-01-28T03:09:04Z,3990204095,56,Back,3990204099,140,43.3,3990204105,213,1.9,3990204101,141,21.5,3990204103,212,11.7,3997647929,178,,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702839,7,1,1,0,8,c9swyor08g9pedxpe3n321svu,1,43.3,21.5,2023-01-22T15:00:29.395Z,2023-01-28T03:09:13Z,3997647973,178,,3990204193,140,29.3,3990204191,56,Back,3990204199,213,2.6,3990204195,141,35.1,3990204197,212,17.4,,,,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499702873,8,1,1,0,10,c9swyor08g9pedxpe3n321svu,1,29.3,36.3,2023-01-22T15:00:31.594Z,2023-01-28T03:09:17Z,3997648063,178,,3990204373,212,17.8,3990204367,56,Back,3990204371,141,62.3,3990204369,140,30.8,3990204375,213,1.5,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
