id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2470599741,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-10-11T14:14:00.352Z,2022-10-11T15:10:55Z,3836667615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836667607,30,"2r3ppks82lf3a7aycih7rc63t, 1amphiae52a8rzm2ngpzffu21, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, f5eje4do4lvjul2ban3ycraax, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, 2xkudoxz92f1vgbjlsbfum3f9, 9f8pdf7j05xb111c5lunzgvyt, cmijbwv0ine68v0y6kf9cuehh, 8pxv846gct3gjgrknr4glqulm, 8j0yhxinglb5o5dpe2qd232dx, 7msfk3faesnc4ls6893wdhi0a, 9etkdqceb3wo5zh0oktt0r85w, 6up21v3m8ws3veg1rh1r1ygpg, 7kbi9qu4y9rhc28x3ogyg5ot1, ofynblpwoiwefv52bgqz30x6, cf6l2e5tkglv7decs50666w44, 8ab4hqpw7m6ocphleluf9sicp, de3zx99d8qybnoq7nvlcd7xii",3836704935,197,3483,3836667609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3836667617,194,95zoygnjudd2lmvc38oyuhwid,3836667613,130,7,3836667619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836667611,59,"1, 5, 31, 18, 44, 14, 7, 17, 3, 10, 8, 4, 6, 9, 20, 25, 36, 49, 77, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470599965,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-10-11T14:19:08.220Z,2022-10-11T15:26:11Z,3836668603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3836668609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836668607,130,8,3836668613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3836668605,59,"16, 14, 3, 89, 4, 19, 10, 21, 20, 8, 7, 1, 6, 9, 13, 17, 27, 31, 39, 88",3836668611,194,jm8cn996mibk0hwauxvsb1lh,3836704407,197,15478,3836668601,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, jm8cn996mibk0hwauxvsb1lh, btjt8zqd248l6mk9b2obdsr1l, dxy1gb64e1hokq26qqnigirpx, bwew6i3fnis40s77t3e3sal0p, 483n2f7a1xkseruh77bj7rxed, c706bwqqpdkdk2zqzmop9wm39, bvmo38wfbtnrk5hdbxgczkzpx, dp5fmyett2g7fvus88m85fsut, 6fy868uh27umb1dafjy7tk2xh, 9xp5dssep1sdnexngspcmkst1, 7hi572oc3pv3uowvv4cupijmd, 17rl734wbbzbxvj33id7j9l62, 97gy3oursbjphkf5t85x9wy96, 4fkudkcxt03pqaqz58nofkag9, 7aeoxgg7e0g8t4ggq2l8nvb3d, bgac6td6x8qi2o7o5ofrj3t1x, 9o288vygjpcv3noeqnrnqh3ah, 2ycm47qi7qr17i31a8f6oq9gq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607277,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-10-11T15:15:19.102Z,2022-11-02T13:58:55Z,3836709113,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607279,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-10-11T15:15:19.102Z,2022-10-11T15:15:21Z,3836709123,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607287,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50.1,50.3,2022-10-11T15:15:19.110Z,2022-10-16T19:21:36Z,3836709171,56,Back,3836709175,141,66.9,3836709181,279,S,3850653017,178,,3836709177,212,13.8,3836709179,213,2.2,3836709173,140,42.6,,,,2xkudoxz92f1vgbjlsbfum3f9,A. Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607291,4,1,1,0,1,o1iwuxbv233ayidxpibbxy59,1,43,67.2,2022-10-11T15:15:20.628Z,2022-10-16T19:21:47Z,3836709211,140,59.6,3850655291,178,,3836709209,56,Left,3836709215,212,25.5,3836709213,141,94.5,3836709217,213,0.8,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607299,5,1,1,0,4,o1iwuxbv233ayidxpibbxy59,1,59.6,94.5,2022-10-11T15:15:23.530Z,2022-10-16T19:21:52Z,3836709271,213,3.9,3836709265,140,52.8,3836709267,141,85.1,3836709269,212,9.6,3836709263,56,Left,3850655833,178,,,,,,,,8pxv846gct3gjgrknr4glqulm,Sumayhan Al Nabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607315,6,2,1,0,7,o1iwuxbv233ayidxpibbxy59,1,53.1,82.8,2022-10-11T15:15:26.170Z,2022-10-16T19:21:57Z,3836709429,7,2xkudoxz92f1vgbjlsbfum3f9,3836709319,1,,3836709313,141,68.0,3850656263,178,,3836709309,56,Center,3836709311,140,82.1,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607323,3,55,1,0,7,d47tf49ishm9qnfd8zyc8wv0j,1,31.1,29.9,2022-10-11T15:15:26.171Z,2022-10-16T19:21:58Z,,,,,,,,,,,,,,,,,,,,,,,,,bwew6i3fnis40s77t3e3sal0p,A. Atouchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470607397,4,1,1,0,38,d47tf49ishm9qnfd8zyc8wv0j,0,25.4,51.8,2022-10-11T15:15:57.579Z,2022-10-16T19:22:16Z,3836709715,241,,3836709725,213,0.4,3836709723,212,54.5,3850657731,178,,3836709717,56,Left,3836709751,1,,3836709713,155,,3836709719,140,73.8,7qirhp2v0034pkiwvnmsfd785,D. Epassy,3836709711,5,3836709721,141,80.9,3836709733,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
