id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2531236821,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-04-09T17:58:07.944Z,2023-04-09T19:06:38Z,4177487525,194,d3hiwrqyxc7ff8vlwk35tnsru,4177487521,130,11,4177487527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177487517,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177487523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177725969,197,3982,4177487519,59,"88, 22, 3, 33, 4, 2, 27, 18, 7, 10, 9, 1, 6, 8, 17, 23, 26, 66, 98, 99",4177487515,30,"5hewtfw3vtddu8u3qmueyv4yd, 9vsqe0uy76u157na942hdokx5, 483s97qezyiz91n8qzwjd7uuh, 7qmg0s07y1tkthgu8zwa599ed, d3hiwrqyxc7ff8vlwk35tnsru, ettpwvqyj8pyfhwpc7q84svhm, 9k81fwyq8bbyhckt5t80fvwet, 5zmh9fz8vr0jcgt8zic0vyve2, 6m2uqbr8e3v4hcg8r02ee1ec5, beeunz2xxmos83md5kmsy4hqt, cd3zg2t4cq4ghoh61kri7vaad, 85paqhbw10m5ra3set109qz9, dozljiegaplgkxwywguqomeei, 28pvmv8slheuqzsh4eok2t905, 576sxo24s5ktc0t9chfh9v4d1, 9q7c1bn4dgyhoqto46puqeevp, azjpcg32pigro8iunnll88wyd, arqaprcadqfrz0tj3iouo98t1, 1dtpzd3m6rhsrc1vk1ddzk2jt, xno71pju2e3av9s7066ergiy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531239213,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-04-09T18:02:30.835Z,2023-04-09T19:17:16Z,4177501783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177501771,30,"92mpk5ev1xz0pcw6bp24xjhwq, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, rbhqo1mjhl4j1enpfpbehlgp, 4uyfs1epryrirnq46jttxm6sp, 114zbg6z77mdio95dbl9v27dh, 8wxgeu7xdeuvvuhn5ga0vu4q2, dayca044hynhii8kgr7g1azth, h17s3qts1dz1zqjw19jazzkl, 4lhyi7xvorswax9xwmz4v5tqt, cpws4xoaun4lc21p379rpd59l, ej4r05u0q7ebnlwk9rlp7pv4l, drd86nrgxki1eobo3pam0jk5x, bfbozn43eclzjwzz8nt69ktsl, 85oc68xls37jerkaimzc1lv8q, 1h4lbj5lsr3be6k2e5esd6356, 8h4z74vxc8qqbmwelwpo8oq5m, 4u3pq05nvcw6aemv99pbiopp0, 1t15mjei0rp87wgz2jseajutx, eiarh2kihedqxxoftjyi55td5",4177501777,130,8,4177805963,197,14024,4177501773,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177501775,59,"44, 2, 13, 17, 5, 21, 23, 18, 7, 94, 29, 22, 3, 8, 12, 16, 19, 27, 77, 78",4177501781,194,h17s3qts1dz1zqjw19jazzkl,4177501779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279587,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-04-09T19:00:22.343Z,2023-04-09T19:00:22Z,4177725555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279595,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-04-09T19:00:22.343Z,2023-04-10T16:53:37Z,4177725595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279619,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,50,50,2023-04-09T19:00:22.443Z,2023-04-09T20:20:36Z,4177725703,56,Center,4177725723,279,S,4177725719,212,3.6,4177725707,140,50.5,4177725721,213,1.4,4177725713,141,55.2,,,,,,,h17s3qts1dz1zqjw19jazzkl,Cristiano Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279633,4,1,1,0,3,57jcqe38hakh2hfit2zsogsb,1,50.5,55.2,2023-04-09T19:00:25.698Z,2023-04-09T19:52:28Z,4177725785,212,28.5,4177725783,141,95.1,4177725779,56,Back,4177725787,213,1.9,4177725781,140,42.1,,,,,,,,,,4lhyi7xvorswax9xwmz4v5tqt,Talisca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279659,5,1,1,0,4,57jcqe38hakh2hfit2zsogsb,1,43,93.6,2023-04-09T19:00:26.499Z,2023-04-09T19:52:29Z,4177725953,140,36.0,4177725955,141,70.9,4177725959,213,4.3,4177725957,212,17.1,4177725951,56,Back,,,,,,,,,,19djqex4nu3lz6vw08f3fwv6x,G. Konan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279715,6,1,1,0,5,57jcqe38hakh2hfit2zsogsb,1,36,66.7,2023-04-09T19:00:28.339Z,2023-04-09T19:00:33Z,4177726213,140,44.5,4177726219,213,5.2,4177726215,141,44.5,4177726211,56,Back,4177726217,212,17.5,,,,,,,,,,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279731,7,1,1,0,10,57jcqe38hakh2hfit2zsogsb,1,43.6,44.2,2023-04-09T19:00:32.946Z,2023-04-09T19:00:34Z,4177726307,213,2.1,4177726301,140,36.6,4177726299,56,Back,4177726305,212,13.6,4177726303,141,61.1,,,,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279783,8,1,1,0,12,57jcqe38hakh2hfit2zsogsb,1,36.7,59.7,2023-04-09T19:00:34.802Z,2023-04-09T19:00:39Z,4177726617,141,16.1,4177726619,212,29.7,4177726613,56,Back,4177726621,213,4.6,4177726615,140,34.6,,,,,,,,,,114zbg6z77mdio95dbl9v27dh,Álvaro González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
