id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value
2531948277,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-04-10T18:08:25.294Z,2023-04-10T19:03:25Z,4181444511,197,6657,4181343155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4181343163,194,vgyj638vzzteqqyxcdte3sgl,4181343159,130,6,4181343153,30,"ajtqeot5t9kv6mrtpdudlwmvp, aonc1y49ulmolyc47knpwtrtg, 3km030r7hwsxw849nv0qpaql0, vgyj638vzzteqqyxcdte3sgl, 3qf9lidcmozvvpy2jprlx3v11, idjs50cwxlt56rylhn3znt62, daqggbwzctkpojr1kn1l2sm39, 4w7c7a9rw5id7f0wikw02orth, b6uziptaly2jgznnhe7l5bqol, 98nbel31pgxlifu6s4wqqxjv9, jtuc25nybu22ifehsg8p9wb9, 91e6dbk9uxyui5vbe47zdj6jt, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, e81tor86msoqqodyy4xhiu31l, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 2m9cba7mtmeo99f8alyhis2ne, 5zvanazhxnqfi6vwms2xcgsus",4181343157,59,"1, 7, 23, 19, 33, 49, 43, 16, 12, 17, 90, 3, 5, 6, 11, 20, 22, 24, 50, 96",4181343161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4181343165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531948299,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-04-10T18:08:28.324Z,2023-04-10T19:39:57Z,4181343267,30,"exmyiidka52uylmreef9fpn85, bx6o57idb4mbv2xo70l9gkfs9, 820fen2dxh3d2zmcbn9ak0u6t, evyk938tt0eebkhxrwejaonv9, 5376r1hbhrywje7cys1vcyb4l, 624uaxchaea87v6na4wsd50x5, 5x2mcnjeclk64b5l9o2h4d5g5, cgwl99clcp8j1z4tq5n0bh9ed, 8cfopdu7tyfve6iu3sinme1gp, 9d3t6xtk6bceipt63k6c5rnit, g15ldg2cnu1otbiwsm3dppg4, 2rdvd4egt9kk7cocies197i6t, 30k7kvnsp7a4gsl43gun7yhyi, 6yga33ui0heg0zkpe4r3kznmy, 5s1ofruu4rz52k2ogzaujplw4, 2j90w131xjmie2ozb2wb6a6p6, paq60rfkhm8gy9412w5tuo0k, 5zwi7f2u6vd88wvc00ynpv209, 970jrhb28ry898d1ocpad6dwp, 465tn4volgmbkntekrvwuvmne",4181445237,197,4263,4181343277,194,5376r1hbhrywje7cys1vcyb4l,4181343273,130,8,4181343271,59,"30, 19, 13, 17, 15, 3, 7, 6, 9, 10, 12, 8, 14, 11, 16, 20, 22, 32, 38, 40",4181343279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4181343269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4181343275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969481,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-04-10T19:00:21.068Z,2023-04-13T14:58:25Z,4181451075,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969483,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-04-10T19:00:21.068Z,2023-04-10T19:00:23Z,4181451085,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969521,3,1,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,50.1,49.9,2023-04-10T19:00:21.168Z,2023-04-10T20:11:11Z,4181451295,56,Back,4181451301,212,13.0,4181451305,279,S,4181451299,141,45.7,4181451297,140,38.0,4181451303,213,3.4,,,,,,,9d3t6xtk6bceipt63k6c5rnit,Nono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969541,4,1,1,0,5,4djrvao40r1vgr4psfl5dzc80,1,39.5,36.5,2023-04-10T19:00:26.952Z,2023-04-10T20:22:04Z,4181451371,56,Back,4181451379,213,4.8,4181451375,141,14.6,4181451373,140,40.5,4181451377,212,14.9,,,,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969575,5,1,1,0,8,4djrvao40r1vgr4psfl5dzc80,1,40.2,13.4,2023-04-10T19:00:29.095Z,2023-04-10T20:39:24Z,4181451539,212,25.8,4181451533,56,Right,4181451541,213,6.1,4181451537,141,8.2,4181451535,140,64.5,,,,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969585,6,1,1,0,10,4djrvao40r1vgr4psfl5dzc80,0,66.4,7.6,2023-04-10T19:00:31.303Z,2023-04-10T20:39:26Z,4181451579,141,15.5,4181451581,212,6.9,4181451577,140,70.5,4181451583,213,0.9,4181451575,56,Right,,,,,,,,,,5x2mcnjeclk64b5l9o2h4d5g5,Mansour Hamzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969587,3,49,1,0,11,cq4rdp1mkan8zhaw7bmzjdaqk,1,24.2,77.9,2023-04-10T19:00:32.386Z,2023-04-10T19:00:32Z,,,,,,,,,,,,,,,,,,,,,,,,,idjs50cwxlt56rylhn3znt62,Ali Al Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531969601,4,1,1,0,11,cq4rdp1mkan8zhaw7bmzjdaqk,1,24.2,77.9,2023-04-10T19:00:32.609Z,2023-04-10T19:00:34Z,4181451657,56,Back,4181451661,141,77.6,4181451665,213,6.3,4181451663,212,11.6,4181451659,140,35.2,,,,,,,,,,idjs50cwxlt56rylhn3znt62,Ali Al Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
