id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2518274321,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-03-11T14:11:52.533Z,2023-03-11T14:11:52Z,4088004973,197,6655,4088004975,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088004957,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3km030r7hwsxw849nv0qpaql0, 7h6e2d1wfa89bvqfmhgm2r3kl, 3qf9lidcmozvvpy2jprlx3v11, idjs50cwxlt56rylhn3znt62, daqggbwzctkpojr1kn1l2sm39, 98nbel31pgxlifu6s4wqqxjv9, b6uziptaly2jgznnhe7l5bqol, si3wcnvnhiukn1novyv1su6t, jtuc25nybu22ifehsg8p9wb9, 91e6dbk9uxyui5vbe47zdj6jt, aonc1y49ulmolyc47knpwtrtg, 4w7c7a9rw5id7f0wikw02orth, 9v0ncjrqgandlju8x483181ec, emoaqymruvce71ow6gidqjc6i, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 2m9cba7mtmeo99f8alyhis2ne, 5zvanazhxnqfi6vwms2xcgsus",4088004967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088004971,194,7h6e2d1wfa89bvqfmhgm2r3kl,4088004959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4088004965,130,4,4088004961,59,"1, 11, 23, 6, 33, 49, 43, 17, 12, 10, 90, 3, 7, 16, 20, 21, 22, 24, 50, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518279989,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-03-11T14:16:48.555Z,2023-03-11T15:48:22Z,4088035929,30,"6veqhleq95267xca919eg02j9, 7a8ee7ohk4hnmaaw1imxeqsid, 6yaoc71surv8vh9hjfli7dwid, 6bl8ekn7ahyf7z4ri1cknbnfu, 829ypq99t1vn90xey32mwt7th, a04wl977uhtaea8pztvmdag2d, 6ygvaf7gjckdemde0ec0tem6t, 9ex7z7sbghe3zx17a4u7gsay2, 1l0bb9txaodn0kqc5rca35rdh, 2neoemoj0t2ssvjhhii62rvje, 9yceimet7wbytfai5ivr0v4k5, 77d2ej6852gf2ynsb8h01thwp, 3akxznb8k4r088rrqbbj04m39, 70848f3slhydvi4p0wq4enqol, 3q942kxc3baiiwdozn97dgqtx, 3nahof9wwcvyylv87fjhhpt5h, 77768ik0kuvcahklr0b8viwwk, d21tm0cmhxpy6rq71iyu5yzf9, 6f7isvwcywig1hlvfed4q0hgq, 3kfeazpv3d1wy6e333pudwkid",4088035943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088035939,194,6bl8ekn7ahyf7z4ri1cknbnfu,4088035941,197,684,4088035937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088035933,59,"1, 32, 27, 44, 12, 28, 10, 14, 17, 11, 82, 7, 8, 16, 18, 19, 20, 23, 45, 88",4088035935,130,2,4088035931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321929,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-03-11T15:00:54.651Z,2023-03-11T15:00:57Z,4088251729,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321867,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-03-11T15:00:54.651Z,2023-03-29T08:06:49Z,4088251491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322011,3,1,1,0,0,6ttwlm6op92r4670oayg5md7h,1,50,50,2023-03-11T15:00:54.667Z,2023-03-29T10:24:41Z,4088252063,279,S,4088252053,56,Back,4088252055,140,36.4,4088252061,213,3.3,4148161597,178,,4088252059,212,14.5,4100710875,189,,4088252057,141,46.3,2neoemoj0t2ssvjhhii62rvje,K. El Berkaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518441967,338,1,1,0,2,6ttwlm6op92r4670oayg5md7h,1,37.3,45.1,2023-03-11T15:00:56.958Z,2023-03-29T10:24:51Z,4088879049,212,12.0,4088879045,140,26.5,4088879043,56,Back,4148161999,178,,4088879051,213,3.5,4088879047,141,39.2,,,,,,,6bl8ekn7ahyf7z4ri1cknbnfu,Sultan Al Farhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322043,4,1,1,0,5,6ttwlm6op92r4670oayg5md7h,0,36.2,46.4,2023-03-11T15:01:00.053Z,2023-03-29T10:24:55Z,4088252205,213,0.2,4088252197,212,33.3,4088252175,155,,4088252211,1,,4088252191,141,56.1,4148162137,178,,4088252181,56,Center,4088252185,140,67.3,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322097,3,1,1,0,7,cq4rdp1mkan8zhaw7bmzjdaqk,0,32.9,41.3,2023-03-11T15:01:02.151Z,2023-03-29T10:25:40Z,4088252409,141,13.1,4088252415,1,,4088252413,213,5.7,4088252411,212,34.3,4148163665,178,,4088252405,56,Right,4088252403,3,,4088252407,140,60.0,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322249,5,1,1,0,11,6ttwlm6op92r4670oayg5md7h,1,33,90.6,2023-03-11T15:01:05.705Z,2023-03-29T10:25:45Z,4088253113,56,Back,4088253115,140,45.3,4088253121,213,0.4,4088253119,212,13.9,4088253117,141,98.3,4148163831,178,,,,,,,,6yaoc71surv8vh9hjfli7dwid,Awad Al Faraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322301,6,1,1,0,17,6ttwlm6op92r4670oayg5md7h,1,35.6,85.6,2023-03-11T15:01:11.819Z,2023-03-29T10:25:52Z,4148164075,178,,4088253427,141,74.2,4088253431,213,5.2,4088253425,140,39.8,4088253423,56,Back,4088253429,212,8.9,,,,,,,9yceimet7wbytfai5ivr0v4k5,A. Mitriță,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
