id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2545879179,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-08T14:56:41.599Z,2023-05-08T16:08:49Z,4262452213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262452207,59,"1, 28, 27, 4, 17, 6, 76, 24, 88, 74, 87, 2, 3, 9, 13, 23, 29, 49, 80, 90",4262452203,30,"8qps88s8g1c8xw5uiz5gyh4ut, 84a84u8p0tc4v0rsnwjtdw8np, 7fjkirlsme7wdpjibaw136s4, bl117o6ogkgnnbv2gl0ozpn85, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, ciw54ghi1jv1xb5dmtv558xjp, 6rsym2764y5k4vw569ab62x3o, 6wto8d6jcd41bo451wwbjng89, b21fztzyrqua7i6lkfk7wh979, 5fpfdgzit3468e1a04ooetsr9, 8po9k5w3ds7hoai833haglrf8, 3a591b3l0o7ucdb8w72vjz4kp, aotysrmw0ffmznm2u4ya487o5, 64122p1l6bayb1x6lfi9w85m2, dr08g6m75jde8h9p96jfwojit, bx7lsguu67h38eanl7xf0hclw, c79pr94ulryjygvurdgku45w5, a9xl33f68np358angkw5o606i, c7da9wqhoce68v0tvfhb4itjo",4262452211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262452209,130,4,4262452205,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262679229,197,2908,4262679227,194,bl117o6ogkgnnbv2gl0ozpn85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545883887,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-05-08T15:07:09.241Z,2023-05-08T15:59:35Z,4262683241,194,ajtqeot5t9kv6mrtpdudlwmvp,4262477545,130,7,4262477549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262477543,59,"1, 11, 23, 16, 33, 49, 10, 43, 12, 17, 90, 3, 5, 6, 14, 20, 21, 22, 24, 50",4262477547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262477539,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3km030r7hwsxw849nv0qpaql0, 4w7c7a9rw5id7f0wikw02orth, 3qf9lidcmozvvpy2jprlx3v11, idjs50cwxlt56rylhn3znt62, si3wcnvnhiukn1novyv1su6t, daqggbwzctkpojr1kn1l2sm39, b6uziptaly2jgznnhe7l5bqol, 98nbel31pgxlifu6s4wqqxjv9, jtuc25nybu22ifehsg8p9wb9, 91e6dbk9uxyui5vbe47zdj6jt, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, 15o6hxjc62wgd0ej4dxtxczpx, 9v0ncjrqgandlju8x483181ec, emoaqymruvce71ow6gidqjc6i, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 2m9cba7mtmeo99f8alyhis2ne",4262477541,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262681051,197,6657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921195,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-08T16:00:49.760Z,2023-05-08T16:00:49Z,4262685789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921199,3,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-05-08T16:00:49.760Z,2023-05-12T13:03:41Z,4262685795,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921291,3,1,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,50.4,50.2,2023-05-08T16:00:49.860Z,2023-05-08T16:00:55Z,4262686285,279,S,4262686279,141,52.3,4262686281,212,21.7,4262686277,140,29.8,4262686283,213,3.1,4262686275,56,Back,,,,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921375,4,1,1,0,5,2xl3g56k2mbuwdbre46s29vt4,1,29.5,47.6,2023-05-08T16:00:55.381Z,2023-05-08T16:01:03Z,4262686687,1,,4262686683,212,36.3,4262686675,155,,4262686679,140,59.5,4262686685,213,0.5,4262686681,141,74.2,4262686677,56,Center,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921399,5,1,1,0,13,2xl3g56k2mbuwdbre46s29vt4,1,63.3,82.5,2023-05-08T16:01:03.365Z,2023-05-08T16:01:05Z,4262686793,141,91.3,4262686789,56,Left,4262686797,213,2.5,4262686791,140,55.2,4262686795,212,10.4,,,,,,,,,,5fpfdgzit3468e1a04ooetsr9,Anselmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921407,6,1,1,0,15,2xl3g56k2mbuwdbre46s29vt4,0,54.7,91.2,2023-05-08T16:01:05.157Z,2023-05-08T16:01:05Z,4262686839,140,60.0,4262686843,212,5.6,4262686837,56,Left,4262686845,213,6.2,4262686841,141,90.7,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921435,4,49,1,0,18,cq4rdp1mkan8zhaw7bmzjdaqk,1,35.6,1.4,2023-05-08T16:01:08.387Z,2023-05-08T16:01:08Z,,,,,,,,,,,,,,,,,,,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921447,5,4,1,0,18,cq4rdp1mkan8zhaw7bmzjdaqk,1,38,3.7,2023-05-08T16:01:08.448Z,2023-05-08T16:01:10Z,4262687029,265,,4262687031,286,,4262687023,13,,4262687027,152,,4262687127,233,7,4262687025,56,Back,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
