id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2497711213,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-01-15T14:11:46.506Z,2023-01-15T14:56:51Z,3979699153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979699149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979699151,194,9vt5q842htj38cblrh1v62qj9,3979699141,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979699139,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 14dpnweb51v7re2xa3qkpulex, 3xtzd4wqoq2b6ak1k2tep9oet, inbrwc7gw6d1z8x60nl0padx, av4e1au7cz1s6rmz5u45l4yjt, d25hyz1ov3mdflbnbyc9okrmd, 2lkra7wic5b481l7qybjh8lx, f53lu15h3s3mhmj2u7ztabd1x, 1jfxkmks9lci345fiz9z2gfl5, 2ghv5nqgyn0wv9ekdx1ow0445, 2i9cy7dt9zn1jz96h61oo2m6t, 5muk6frafyj5lj1jdg54z2thx, hki3chjlidmwubff6srauj56, a3t7bral3j0l1czbmojwqnob9, c4zklinh3sa5kchbvjugn0s0l, 6155cf9oe0zhtal2k3qw9pi3t, cotgnu5iq5oiiwo9t5yp5lel0, 2v2v3wzd9pv8j9phh6s0isdn8, 574pdpfxal0lsopnsnz17ciqd",3979699143,59,"1, 66, 16, 6, 20, 5, 28, 19, 10, 96, 29, 8, 11, 14, 17, 21, 32, 42, 43, 70",3979699145,130,4,3979874087,197,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497716075,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-01-15T14:17:25.289Z,2023-01-15T15:01:58Z,3979725675,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, aonc1y49ulmolyc47knpwtrtg, idjs50cwxlt56rylhn3znt62, 91e6dbk9uxyui5vbe47zdj6jt, 6yf6ozyy2rpmiy86xno7u0es5, 99h9ihbi9zj82ubnt4pqr3s9h, 15o6hxjc62wgd0ej4dxtxczpx, emoaqymruvce71ow6gidqjc6i, 2x6zibds9jmaex2mq4o6mj9hx, daqggbwzctkpojr1kn1l2sm39, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, 5h45zm18ma74i4emdr3l8ps0k, 4w7c7a9rw5id7f0wikw02orth, 834gxi4ejlhbs4bta8j0kqp78, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 3km030r7hwsxw849nv0qpaql0, 5zvanazhxnqfi6vwms2xcgsus",3979725687,130,17,3979725699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979874109,197,6657,3979725681,59,"1, 11, 7, 49, 3, 4, 24, 14, 21, 71, 43, 5, 6, 15, 16, 18, 20, 22, 23, 96",3979725677,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979725695,194,ajtqeot5t9kv6mrtpdudlwmvp,3979725691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743485,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-01-15T15:01:13.253Z,2023-02-10T09:35:39Z,3979883671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743489,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-01-15T15:01:13.253Z,2023-01-15T15:01:15Z,3979883683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743531,3,1,1,0,0,c9swyor08g9pedxpe3n321svu,1,49.8,49.9,2023-01-15T15:01:13.280Z,2023-01-19T09:00:19Z,3979883939,279,S,3979883937,213,2.9,3979883933,141,56.3,3979883935,212,15.4,3979883931,140,35.7,3984361983,178,,3979883927,56,Back,,,,f53lu15h3s3mhmj2u7ztabd1x,L. Vietto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743541,4,1,1,0,1,c9swyor08g9pedxpe3n321svu,1,35.3,58.2,2023-01-15T15:01:14.950Z,2023-01-19T09:00:26Z,3979883993,213,2.2,3979883991,212,8.0,3979883985,56,Back,3984362035,178,,3979883989,141,67.5,3979883987,140,30.6,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743577,5,1,1,0,3,c9swyor08g9pedxpe3n321svu,1,30.6,67.5,2023-01-15T15:01:16.895Z,2023-01-19T09:00:33Z,3979884181,141,34.8,3979884177,56,Back,3979884179,140,35.4,3979884183,212,22.8,3979884185,213,4.9,3984362083,178,,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743587,6,1,1,0,6,c9swyor08g9pedxpe3n321svu,1,44.7,27.9,2023-01-15T15:01:19.986Z,2023-01-19T09:00:40Z,3984362137,178,,3979884255,141,6.1,3979884253,140,55.5,3979884251,56,Right,3979884259,213,5.4,3979884257,212,18.7,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743623,7,1,1,0,9,c9swyor08g9pedxpe3n321svu,1,53.5,6.7,2023-01-15T15:01:22.876Z,2023-01-19T09:00:44Z,3979884477,212,7.7,3979884479,213,2.4,3979884471,56,Back,3984362169,178,,3979884475,141,14.6,3979884473,140,48.3,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743631,8,1,1,0,12,c9swyor08g9pedxpe3n321svu,1,53.1,20,2023-01-15T15:01:25.577Z,2023-01-19T09:00:59Z,3979884533,213,1.9,3979884531,212,24.7,3984362239,178,,3979884527,140,45.4,3979884529,141,54.3,3979884525,56,Back,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
