id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2497184641,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-01-14T14:18:18.668Z,2023-01-14T15:09:54Z,3976882389,194,829ypq99t1vn90xey32mwt7th,3976882385,130,4,3976882379,30,"6veqhleq95267xca919eg02j9, 7a8ee7ohk4hnmaaw1imxeqsid, 6yaoc71surv8vh9hjfli7dwid, 70848f3slhydvi4p0wq4enqol, aq8efsoblaypm6spb7fce99g4, 829ypq99t1vn90xey32mwt7th, 9ex7z7sbghe3zx17a4u7gsay2, 3kfeazpv3d1wy6e333pudwkid, 1l0bb9txaodn0kqc5rca35rdh, 6ygvaf7gjckdemde0ec0tem6t, 9yceimet7wbytfai5ivr0v4k5, 3q7kuavoofo98cuoyiifozqqc, 52gxk6j2kp1i7dkz1w7wfxzsa, 77d2ej6852gf2ynsb8h01thwp, 3akxznb8k4r088rrqbbj04m39, a6ut1eni17e2yprprmptj7a50, 77768ik0kuvcahklr0b8viwwk, d21tm0cmhxpy6rq71iyu5yzf9, 6f7isvwcywig1hlvfed4q0hgq, b7o2y8beklfrbcrl7di1rm5uc",3976882391,197,683,3976882383,59,"1, 32, 27, 16, 94, 12, 14, 88, 17, 10, 82, 42, 4, 7, 8, 15, 20, 23, 45, 66",3976882393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976882381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976882387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497188275,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-01-14T14:22:49.978Z,2023-01-14T15:02:47Z,3976902357,30,"5hewtfw3vtddu8u3qmueyv4yd, dr0tmxtk2sx5am4xmm6qw72ll, 483s97qezyiz91n8qzwjd7uuh, 7qmg0s07y1tkthgu8zwa599ed, d3hiwrqyxc7ff8vlwk35tnsru, 9vsqe0uy76u157na942hdokx5, 9k81fwyq8bbyhckt5t80fvwet, 61u0tfe67undvqqutes55k2xh, 9q7c1bn4dgyhoqto46puqeevp, beeunz2xxmos83md5kmsy4hqt, 5zmh9fz8vr0jcgt8zic0vyve2, 85paqhbw10m5ra3set109qz9, dozljiegaplgkxwywguqomeei, 28pvmv8slheuqzsh4eok2t905, 9psac5vq3c7li645yxsaglo0l, 6ryod1z32yns7blzdxvhwmzqi, 576sxo24s5ktc0t9chfh9v4d1, dybfeu5czibo3vri357z8yrpx, azjpcg32pigro8iunnll88wyd, 1dtpzd3m6rhsrc1vk1ddzk2jt",3976902365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976902369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977025407,197,6685,3976902367,194,d3hiwrqyxc7ff8vlwk35tnsru,3976902361,59,"88, 80, 3, 33, 4, 22, 27, 37, 23, 10, 18, 1, 6, 8, 11, 16, 17, 19, 26, 98",3976902359,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976902363,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211649,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-01-14T15:00:12.188Z,2023-01-18T14:23:39Z,3977029755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211651,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2023-01-14T15:00:12.188Z,2023-01-14T15:00:14Z,3977029759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211721,3,1,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,50,50,2023-01-14T15:00:12.198Z,2023-01-21T00:59:47Z,3977030025,279,S,3977030015,56,Back,3977030019,141,57.2,3977030021,212,12.0,3986497881,178,,3977030017,140,39.6,3977030023,213,2.7,,,,9q7c1bn4dgyhoqto46puqeevp,M. Pavkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211747,4,1,1,0,2,ebcxfnmnxrxvv6lcjsahgd38j,1,39.5,59,2023-01-14T15:00:14.371Z,2023-01-21T01:00:47Z,3977030165,212,13.3,3977030167,213,2.4,3977030161,140,29.9,3986498273,178,,3977030159,56,Back,3977030163,141,71.8,,,,,,,beeunz2xxmos83md5kmsy4hqt,Víctor Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211763,5,1,1,0,4,ebcxfnmnxrxvv6lcjsahgd38j,1,31.9,72.6,2023-01-14T15:00:17.154Z,2023-01-21T01:00:53Z,3977030227,141,53.4,3977030223,56,Back,3986498309,178,,3977030231,213,4.2,3977030229,212,14.6,3977030225,140,25.6,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211843,6,1,1,0,7,ebcxfnmnxrxvv6lcjsahgd38j,1,25.6,53.4,2023-01-14T15:00:19.646Z,2023-01-21T01:00:57Z,3977030571,140,30.0,3977030569,56,Back,3977030581,212,18.9,3986498341,178,,3977030585,213,1.3,3977030575,141,80.3,,,,,,,d3hiwrqyxc7ff8vlwk35tnsru,Sami Al Khaibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211899,7,1,1,0,12,ebcxfnmnxrxvv6lcjsahgd38j,1,41.1,73.5,2023-01-14T15:00:24.791Z,2023-01-21T01:01:00Z,3977030857,141,2.5,3977030849,155,,3977030851,196,,3986498389,178,,3977030853,56,Right,3977030861,213,5.0,3977030859,212,50.2,3977030863,1,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,3977030855,140,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211935,8,1,1,0,17,ebcxfnmnxrxvv6lcjsahgd38j,1,54.3,2.5,2023-01-14T15:00:29.884Z,2023-01-21T01:01:04Z,3977031007,212,11.6,3977031001,56,Back,3977031003,140,44.0,3986498423,178,,3977031009,213,2.8,3977031005,141,8.5,,,,,,,dr0tmxtk2sx5am4xmm6qw72ll,Osama Al Khalaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
