id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2494339165,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-12-31T14:08:19.093Z,2022-12-31T15:00:15Z,3961935371,59,"1, 33, 31, 18, 4, 14, 7, 10, 3, 17, 77, 5, 8, 9, 13, 11, 36, 44, 49, 99",3961935375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961979689,197,3483,3961935369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961935377,194,8j0yhxinglb5o5dpe2qd232dx,3961935367,30,"2r3ppks82lf3a7aycih7rc63t, 2b8fj2xnd2h9rdbg0bkgbizu1, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, cmijbwv0ine68v0y6kf9cuehh, 9f8pdf7j05xb111c5lunzgvyt, 2xkudoxz92f1vgbjlsbfum3f9, 8ab4hqpw7m6ocphleluf9sicp, 1amphiae52a8rzm2ngpzffu21, 8pxv846gct3gjgrknr4glqulm, 9etkdqceb3wo5zh0oktt0r85w, crx6u6bfmbgw4ivuxa7rwiuc4, 7x4ltdnskxz0ym3i6meukx5hw, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, cf6l2e5tkglv7decs50666w44, de3zx99d8qybnoq7nvlcd7xii",3961935373,130,7,3961935379,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494339937,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-12-31T14:11:36.658Z,2022-12-31T15:06:45Z,3961939765,194,3nahof9wwcvyylv87fjhhpt5h,3961939755,30,"6veqhleq95267xca919eg02j9, 7a8ee7ohk4hnmaaw1imxeqsid, 6yaoc71surv8vh9hjfli7dwid, 3nahof9wwcvyylv87fjhhpt5h, 829ypq99t1vn90xey32mwt7th, aq8efsoblaypm6spb7fce99g4, 6ygvaf7gjckdemde0ec0tem6t, 3kfeazpv3d1wy6e333pudwkid, 2neoemoj0t2ssvjhhii62rvje, 1l0bb9txaodn0kqc5rca35rdh, 9yceimet7wbytfai5ivr0v4k5, 52gxk6j2kp1i7dkz1w7wfxzsa, 3akxznb8k4r088rrqbbj04m39, 7gvqqqfoak5692c4xnrcrqe39, 9ex7z7sbghe3zx17a4u7gsay2, a6ut1eni17e2yprprmptj7a50, 70848f3slhydvi4p0wq4enqol, 77768ik0kuvcahklr0b8viwwk, d21tm0cmhxpy6rq71iyu5yzf9, 6f7isvwcywig1hlvfed4q0hgq",3961939761,130,10,3961939767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961939759,59,"1, 32, 27, 19, 12, 94, 10, 88, 11, 17, 82, 4, 8, 9, 14, 15, 16, 20, 23, 45",3961939763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961939757,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961979619,197,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347717,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-12-31T15:00:17.886Z,2022-12-31T15:00:19Z,3961982221,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347713,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-12-31T15:00:17.886Z,2023-01-05T21:37:22Z,3961982217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347733,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50,49.9,2022-12-31T15:00:18.193Z,2023-01-06T04:54:10Z,3961982291,213,3.1,3966692881,178,,3961982285,140,41.7,3961982287,141,50.1,3961982289,212,8.7,3966288105,278,,3961982283,56,Back,3961982293,279,S,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347741,4,1,1,0,2,o1iwuxbv233ayidxpibbxy59,1,31,62.2,2022-12-31T15:00:20.113Z,2023-01-06T00:57:04Z,3961982315,141,26.9,3961982311,56,Back,3961982319,213,4.5,3961982313,140,25.8,3961982317,212,24.6,3966692897,178,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347745,5,1,1,0,5,o1iwuxbv233ayidxpibbxy59,1,26.3,25.5,2022-12-31T15:00:23.769Z,2023-01-06T00:57:11Z,3961982343,212,19.4,3961982341,141,54.0,3961982337,56,Back,3966692907,178,,3961982345,213,1.5,3961982339,140,27.2,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347805,6,1,1,0,8,o1iwuxbv233ayidxpibbxy59,1,25.2,53.7,2022-12-31T15:00:26.323Z,2023-01-06T00:57:17Z,3961982593,213,1.2,3961982589,141,88.3,3961982587,140,33.5,3966692911,178,,3961982585,56,Back,3961982591,212,25.1,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347809,7,1,1,0,16,o1iwuxbv233ayidxpibbxy59,1,52.1,91.3,2022-12-31T15:00:34.192Z,2023-01-06T00:58:16Z,3962063579,141,67.6,3962063583,213,4.3,3962063577,140,45.4,3966692919,178,,3962063581,212,17.6,3962063575,56,Back,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347827,8,1,1,0,18,o1iwuxbv233ayidxpibbxy59,1,38.6,66.8,2022-12-31T15:00:36.257Z,2023-01-06T00:58:31Z,3961982651,56,Back,3961982655,141,33.3,3966692933,178,,3961982657,212,22.8,3961982653,140,39.3,3961982659,213,4.7,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347831,9,1,1,0,22,o1iwuxbv233ayidxpibbxy59,1,39.3,33.3,2022-12-31T15:00:40.328Z,2023-01-06T00:59:05Z,3961982675,56,Center,3961982681,212,25.5,3961982677,140,63.5,3961982683,213,6.2,3961982679,141,30.8,3966692937,178,,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347877,10,1,1,0,23,o1iwuxbv233ayidxpibbxy59,0,63.5,30.8,2022-12-31T15:00:41.246Z,2023-01-06T00:59:16Z,3966289165,156,,3961982911,212,14.7,3966692943,178,,3961982905,56,Center,3961982913,213,2.4,3961982909,141,46.0,3961982907,140,53.6,,,,2xkudoxz92f1vgbjlsbfum3f9,A. Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347835,3,49,1,0,25,6ttwlm6op92r4670oayg5md7h,1,47.4,54.9,2022-12-31T15:00:43.074Z,2023-01-06T00:59:52Z,,,,,,,,,,,,,,,,,,,,,,,,,1l0bb9txaodn0kqc5rca35rdh,Júlio Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347843,4,1,1,0,25,6ttwlm6op92r4670oayg5md7h,1,47.4,54.9,2022-12-31T15:00:43.131Z,2023-01-06T00:59:57Z,3961982735,213,1.5,3966692951,178,,3961982731,141,59.6,3961982733,212,3.2,3961982727,56,Back,3961982729,140,47.5,,,,,,,1l0bb9txaodn0kqc5rca35rdh,Júlio Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
