id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2491839933,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-16T16:09:42.684Z,2022-12-16T17:35:46Z,3948664423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948664431,194,9vt5q842htj38cblrh1v62qj9,3948801623,197,1906,3948664427,130,2,3948664421,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 14dpnweb51v7re2xa3qkpulex, 3xtzd4wqoq2b6ak1k2tep9oet, inbrwc7gw6d1z8x60nl0padx, 574pdpfxal0lsopnsnz17ciqd, 2lkra7wic5b481l7qybjh8lx, dw77jbua2ppd6hru05mlhbetx, 6wjktx17kp8g29h9gw27lwez9, a3t7bral3j0l1czbmojwqnob9, d25hyz1ov3mdflbnbyc9okrmd, p3ebcmbu5i9le8czo76ngm0a, 2i9cy7dt9zn1jz96h61oo2m6t, f53lu15h3s3mhmj2u7ztabd1x, 5muk6frafyj5lj1jdg54z2thx, 2rke2vs37xud2tqb5frwmusbt, eetv8nak7fg6paegpiduuk2qx, 2v2v3wzd9pv8j9phh6s0isdn8, 2ibtue1dtek9mwj0fn8cn7jmc, 27jg2mdzgw4bt7l4215hq12sq",3948664429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948664425,59,"1, 66, 16, 6, 20, 70, 19, 15, 9, 17, 28, 4, 8, 10, 11, 26, 31, 43, 56, 88",3948664433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491841891,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2022-12-16T16:15:20.788Z,2022-12-16T17:57:47Z,3948674963,59,"25, 29, 7, 4, 6, 3, 45, 20, 18, 19, 77, 5, 22, 32, 37, 40, 41, 43, 46, 88",3948674971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948674959,30,"e3q9barjksj9yb3obsi90i9jp, ql3ke0589k0ywxw4kzd5wgt0, bgzn0qcq2tcobzu1odwyaeeei, 3wpliz4y0ex8jxtlt2enirc9h, 96locb7oipzlke997xnx6ii38, 5etucjhifze9cu3fecy68dg16, 5jf9ehsqbdmxlcan1tjm7gmqc, exs0tbl2thbcz163r3vas74es, drlzps89wgzfvjmmvqnshmrkk, cznfldjv2fv42m6z68um5lzx0, 8btwu0jixlrcl9gj51uepz21g, 7rfodyul3h9g09koricuuohsk, 92j12068e102fecql9i8bvehg, gl7hsktv7nhftt3vgrv3tz4k, 4wvzsf1eyia9ny6qk3ft5slqs, 9xw2h8gmd6xhg3hhi0m7ktyxg, 7viodtsy0imlbh9st2mpbclck, abei4pi5q8mto46c76nj5kic, kpt652xmwmbwuf9k7t59tzis, aucxl9yasloywzymq8non94ic",3948674967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948674961,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948674969,194,e3q9barjksj9yb3obsi90i9jp,3948674965,130,11,3948799961,197,3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866267,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2022-12-16T17:30:29.721Z,2022-12-16T17:30:32Z,3948807091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866261,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-12-16T17:30:29.721Z,2022-12-18T09:43:28Z,3948807065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866271,3,1,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,49.6,49.7,2022-12-16T17:30:29.775Z,2022-12-18T18:17:27Z,3951431247,178,,3948807115,279,S,3948807109,141,48.7,3948807113,213,3.3,3948807105,56,Back,3948807111,212,3.4,3948807107,140,46.4,,,,cznfldjv2fv42m6z68um5lzx0,Abdulrahman Saad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866289,4,1,1,0,2,dbhdov3cc47kcr1hjg5qr5qg7,0,45.6,49.4,2022-12-16T17:30:31.849Z,2022-12-26T22:28:18Z,3951431379,178,,3948807207,1,,3948807197,56,Center,3948807203,212,33.5,3948807205,213,0.4,3948807199,140,75.5,3948807201,141,66.6,3948807195,155,,5jf9ehsqbdmxlcan1tjm7gmqc,Abdul Al Jumaili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866309,3,1,1,0,4,c9swyor08g9pedxpe3n321svu,1,29.9,34.9,2022-12-16T17:30:34.061Z,2022-12-18T18:17:38Z,3948807335,213,0.9,3948807331,141,43.0,3948807327,56,Back,3951431443,178,,3948807329,140,33.9,3948807325,3,,3948807333,212,6.9,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866315,4,49,1,0,5,c9swyor08g9pedxpe3n321svu,1,33.8,46.3,2022-12-16T17:30:35.150Z,2022-12-18T18:17:42Z,,,,,,,,,,,,,,,,,,,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866321,5,1,1,0,6,c9swyor08g9pedxpe3n321svu,1,33.8,46.3,2022-12-16T17:30:35.753Z,2022-12-18T18:17:45Z,3951431565,178,,3948807367,141,65.7,3948807363,56,Back,3948807371,213,2.0,3948807365,140,28.0,3948807369,212,14.5,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491866357,6,1,1,0,8,c9swyor08g9pedxpe3n321svu,1,28,65.7,2022-12-16T17:30:37.756Z,2022-12-18T18:17:48Z,3948807565,141,82.0,3948807569,213,0.7,3948807561,56,Back,3951431625,178,,3948807567,212,17.6,3948807563,140,41.0,,,,,,,574pdpfxal0lsopnsnz17ciqd,Mohammed Jahfali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
