id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value
2505799025,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-10T11:51:41.677Z,2023-02-10T12:59:14Z,4022117229,59,"48, 2, 70, 11, 32, 14, 7, 98, 18, 99, 27, 1, 5, 6, 8, 12, 13, 15, 16, 17",4022117231,130,6,4022173371,197,5838,4022117225,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, 9kbzdpxg4ud1m8wppt1s1roq, 6q8kbaw3h6n77ekwl6fr0e9qt, 1x2kly8qv2vxujs6d0tgdt0id, 9p1b5iftds5x02tx2eyseaklx, 1imyf62l4rk4oyith29w5bhzp, 5brwa0y63724t6s3y6gtz28yx, dvt8h9sh00qsqzhrb3y4fco9h, bia0lpc5wkxjcyc92d12apas5, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, 9brcp1e0kz59x1g4j73a54m50, a7sgm3cmjoxjjxanrad02l2lm, aervyzt3cfxxktpj81yjxo9d6, d597taqcmedln0e50xgdyt8gk, 3ps4l9x2ndwkypm1y4z6h5uxh, 9j37dmdxamf5ykbw9l24wlt6, 4c540mry6f9esodej103n6xka, 8hw7lxbdh3zllchj5arfyc8np",4022117235,194,1imyf62l4rk4oyith29w5bhzp,4022117233,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022117227,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4022117237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505800209,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-02-10T11:56:08.098Z,2023-02-10T13:14:22Z,4022178303,197,3316,4022123267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4022123273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022123275,194,f0fot1juj3i62tt8i2vybnjdh,4022123265,30,"c2mhdatj96x8eug6mekactrkl, 5ffogjpb96mfoihuw7pu5pl91, bhdvvtp8iu46et3iqfn6c8f3e, 3hzwwygv4u0vn68g4z3taqj1l, b6o9hx5v7y8t4hc6t3k4vrv11, bodbz7zwlae3zytzhmbk5ncwk, 8tvytrvm8g922nxp2sjc7lxp1, 3s3rnrrv8i4rb0x7vaa5mhvpx, 2j2uxep3rot3fwdq27b2im9qt, f0fot1juj3i62tt8i2vybnjdh, 22nbr9lhehz7zxfpml2cdfx4a, 37ozmigs9h3hachibcihs8t05, a8tgq32yvdrxup21s75ktvtw4, 7ieikgigejp7rmvrsra8mj1lh, bkpoy149cdahszf7g50fdox04, 8y6x61qorr95ai62ko6yo6cr8, czk2wmpl7wu9ogvo8oyij1t5h, 9kn5o2yki8zu3wihjwqjort9l, d0hq3mzumz2pvhkx2cxvalqsp, 9i2vkt05nwdi1v6iqiyv3hl91",4022123271,130,8,4022123279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022123269,59,"1, 40, 12, 30, 5, 4, 10, 7, 32, 11, 24, 3, 6, 8, 19, 23, 26, 27, 44, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809921,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2023-02-10T13:00:20.260Z,2023-02-28T17:53:53Z,4022174199,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809915,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-10T13:00:20.260Z,2023-02-10T13:00:20Z,4022174193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809931,3,1,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,49.8,50.3,2023-02-10T13:00:20.324Z,2023-03-01T07:31:33Z,4022174247,213,3.0,4022174245,212,14.9,4022174243,141,52.7,4064665979,178,,4022174239,56,Back,4022174249,279,S,4022174241,140,35.7,,,,6q8kbaw3h6n77ekwl6fr0e9qt,Ali Abdullah Hazzazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809935,4,1,1,0,2,7dkxxicrwn77jpdfkwpnlnnyn,0,35.7,53,2023-02-10T13:00:22.747Z,2023-03-01T07:31:47Z,4064666059,178,,4022174271,141,89.1,4022174269,140,83.7,4022174275,213,0.5,4022174267,56,Left,4022174273,212,56.1,4022174265,155,,4022174277,1,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809945,3,12,1,0,5,f0zsn74nz0o01gr30weun240i,1,19.6,6.8,2023-02-10T13:00:25.669Z,2023-03-01T07:31:57Z,4064666153,388,,4022174353,167,,4022174341,212,6.8,4022174339,141,0.0,4022174337,140,23.5,4022174347,15,,4022174343,213,5.4,4022174335,56,Back,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809947,4,5,1,0,6,f0zsn74nz0o01gr30weun240i,0,22.6,-1.6,2023-02-10T13:00:27.128Z,2023-03-01T07:32:02Z,4022174351,347,,4022174545,233,5,4022174349,56,Back,,,,,,,,,,,,,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809985,5,5,1,0,6,7dkxxicrwn77jpdfkwpnlnnyn,1,77.4,101.6,2023-02-10T13:00:27.128Z,2023-03-01T07:32:01Z,4022174539,347,,4022174541,233,4,4022174537,56,Left,,,,,,,,,,,,,,,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505809997,6,1,1,0,19,7dkxxicrwn77jpdfkwpnlnnyn,1,69.2,100,2023-02-10T13:00:39.969Z,2023-03-01T07:32:08Z,4022174637,212,12.0,4022174633,140,79.4,4022174635,141,94.2,4022174631,56,Left,4022174639,213,5.8,4022174629,107,,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
