id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2542607223,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-05-02T14:46:34.550Z,2023-05-02T16:07:36Z,4245008517,130,8,4245008523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245008509,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, jm8cn996mibk0hwauxvsb1lh, c706bwqqpdkdk2zqzmop9wm39, dxy1gb64e1hokq26qqnigirpx, bwew6i3fnis40s77t3e3sal0p, 6msbre1fcjcrvqyzoozo43sb8, pgyt3j19g11v27qx998bgmi1, bvmo38wfbtnrk5hdbxgczkzpx, dp5fmyett2g7fvus88m85fsut, 6fy868uh27umb1dafjy7tk2xh, 87g8od8v77pe4m134wu8ipnu, 17rl734wbbzbxvj33id7j9l62, 483n2f7a1xkseruh77bj7rxed, 97gy3oursbjphkf5t85x9wy96, 61o0q05smyp280htj5g3og5xw, bgac6td6x8qi2o7o5ofrj3t1x, 4jspfn1jca5yzxbhn8p2p06ax, 9o288vygjpcv3noeqnrnqh3ah, 2ycm47qi7qr17i31a8f6oq9gq",4245008519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245008521,194,jm8cn996mibk0hwauxvsb1lh,4245146113,197,1311,4245008513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4245008515,59,"16, 14, 3, 21, 4, 19, 18, 34, 20, 8, 7, 23, 9, 10, 13, 15, 31, 33, 39, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542608007,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-05-02T14:50:18.804Z,2023-05-02T14:50:18Z,4245012271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245012257,30,"ajtqeot5t9kv6mrtpdudlwmvp, aonc1y49ulmolyc47knpwtrtg, 3km030r7hwsxw849nv0qpaql0, 4w7c7a9rw5id7f0wikw02orth, 3qf9lidcmozvvpy2jprlx3v11, idjs50cwxlt56rylhn3znt62, si3wcnvnhiukn1novyv1su6t, daqggbwzctkpojr1kn1l2sm39, b6uziptaly2jgznnhe7l5bqol, 98nbel31pgxlifu6s4wqqxjv9, jtuc25nybu22ifehsg8p9wb9, 91e6dbk9uxyui5vbe47zdj6jt, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, e81tor86msoqqodyy4xhiu31l, 15o6hxjc62wgd0ej4dxtxczpx, 9v0ncjrqgandlju8x483181ec, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 2m9cba7mtmeo99f8alyhis2ne",4245012267,194,ajtqeot5t9kv6mrtpdudlwmvp,4245012265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245012263,130,7,4245012261,59,"1, 7, 23, 16, 33, 49, 10, 43, 12, 17, 90, 3, 5, 6, 11, 14, 20, 22, 24, 50",4245012269,197,6655,4245012259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635079,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2023-05-02T16:01:19.636Z,2023-05-02T16:01:19Z,4245154231,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635087,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-05-02T16:01:19.636Z,2023-05-05T13:54:18Z,4245154279,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635109,3,1,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,50.1,49.9,2023-05-02T16:01:19.736Z,2023-05-02T16:01:22Z,4245154377,212,19.1,4245154371,140,32.3,4245154379,213,2.9,4245154381,279,S,4245154375,141,55.7,4245154369,56,Back,,,,,,,b6uziptaly2jgznnhe7l5bqol,M. Antonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635137,4,1,1,0,2,cq4rdp1mkan8zhaw7bmzjdaqk,1,33.1,60.6,2023-05-02T16:01:22.222Z,2023-05-02T16:01:24Z,4245154535,212,18.2,4245154533,141,80.2,4245154531,140,21.3,4245154537,213,2.3,4245154529,56,Back,,,,,,,,,,4w7c7a9rw5id7f0wikw02orth,Khalid Hamithi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635167,5,1,1,0,5,cq4rdp1mkan8zhaw7bmzjdaqk,1,21.3,79.7,2023-05-02T16:01:24.798Z,2023-05-02T16:01:28Z,4245154691,213,4.1,4245154689,212,22.7,4245154687,141,53.1,4245154685,140,8.2,4245154683,56,Back,,,,,,,,,,idjs50cwxlt56rylhn3znt62,Ali Al Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635273,6,1,1,0,8,cq4rdp1mkan8zhaw7bmzjdaqk,1,10.4,47.2,2023-05-02T16:01:28.606Z,2023-05-02T16:01:38Z,4245155199,212,83.9,4245155191,155,,4245155193,56,Right,4245155195,140,86.7,4245155197,141,10.4,4245155201,213,6.0,4245155203,1,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635281,7,50,1,0,18,cq4rdp1mkan8zhaw7bmzjdaqk,1,95.7,3.3,2023-05-02T16:01:37.983Z,2023-05-02T16:01:40Z,4245155277,233,3,4245155241,286,,4245155239,56,Right,,,,,,,,,,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542635289,3,7,1,0,18,d47tf49ishm9qnfd8zyc8wv0j,1,4.3,96.7,2023-05-02T16:01:37.984Z,2023-05-05T13:56:01Z,4245155263,285,,4245155259,167,,4245155261,56,Back,4251679037,385,,4245155273,233,7,,,,,,,,,,jm8cn996mibk0hwauxvsb1lh,Abdullah Al Dossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
