id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2520935787,1,34,16,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-03-17T12:11:34.429Z,2023-03-17T13:01:54Z,4102108591,30,"e3q9barjksj9yb3obsi90i9jp, 96locb7oipzlke997xnx6ii38, b60up5thhuxb8e2bj4qry7ecq, dg7eawa1vjaz1uhrjhr7cucfe, 5etucjhifze9cu3fecy68dg16, 3wpliz4y0ex8jxtlt2enirc9h, clnli7y2s88p16yqtrbsb99sl, 8zbaicqws2ux52rgiy95xetm2, 53jsw38p3m81ohicrlus0j9ck, 4ymo0battew5mb9h2d91gv9jo, bgzn0qcq2tcobzu1odwyaeeei, d5sexeurir6iq57sqk1d2xrs9, 92j12068e102fecql9i8bvehg, ql3ke0589k0ywxw4kzd5wgt0, exs0tbl2thbcz163r3vas74es, 8pelo35x9cxd3anj7xrfxk1nu, cznfldjv2fv42m6z68um5lzx0, en6ut1dhht8l7hrupqphorld5, 8btwu0jixlrcl9gj51uepz21g, 6un0w34djb8ml6r3dmmbzaq96",4102133857,197,2937,4102108599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102108595,59,"25, 6, 13, 8, 3, 4, 11, 17, 21, 90, 7, 15, 22, 29, 20, 33, 19, 70, 77, 94",4102108601,194,e3q9barjksj9yb3obsi90i9jp,4102108597,130,6,4102108603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102108593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520936055,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-17T12:13:01.218Z,2023-03-17T13:21:49Z,4102129325,197,4263,4102109739,30,"exmyiidka52uylmreef9fpn85, cp8kbj12wth398bnglywepk9, 820fen2dxh3d2zmcbn9ak0u6t, cgwl99clcp8j1z4tq5n0bh9ed, 5376r1hbhrywje7cys1vcyb4l, 624uaxchaea87v6na4wsd50x5, 970jrhb28ry898d1ocpad6dwp, 9d3t6xtk6bceipt63k6c5rnit, 30k7kvnsp7a4gsl43gun7yhyi, 5s1ofruu4rz52k2ogzaujplw4, evyk938tt0eebkhxrwejaonv9, 2rdvd4egt9kk7cocies197i6t, 8cfopdu7tyfve6iu3sinme1gp, g15ldg2cnu1otbiwsm3dppg4, bx6o57idb4mbv2xo70l9gkfs9, 2j90w131xjmie2ozb2wb6a6p6, paq60rfkhm8gy9412w5tuo0k, deh42a9ovtkyfppy2pmthdre1, 465tn4volgmbkntekrvwuvmne, dcv72l1n3nkz6aybcnqwfu5g4",4102109743,59,"30, 4, 13, 6, 15, 3, 38, 10, 14, 16, 17, 8, 9, 12, 19, 20, 22, 24, 40, 99",4102109751,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102109749,194,5376r1hbhrywje7cys1vcyb4l,4102109741,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102109747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102109745,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941509,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-17T13:00:39.172Z,2023-03-29T09:46:38Z,4102136313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941507,2,32,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,0,0,2023-03-17T13:00:39.172Z,2023-03-17T13:00:39Z,4102136311,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941519,3,1,1,0,0,dbhdov3cc47kcr1hjg5qr5qg7,1,50,50,2023-03-17T13:00:39.934Z,2023-03-30T06:07:45Z,4102136373,213,3.5,4102136371,212,12.5,4149003167,178,,4102136365,56,Back,4102136367,140,39.0,4102136375,279,S,4102136369,141,42.8,,,,53jsw38p3m81ohicrlus0j9ck,Abdullah Al Burayh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941529,4,1,1,0,2,dbhdov3cc47kcr1hjg5qr5qg7,1,39,42.8,2023-03-17T13:00:41.288Z,2023-03-30T06:07:48Z,4102136443,56,Back,4102136451,213,1.6,4149003191,178,,4102136445,140,39.2,4102136447,141,60.0,4102136449,212,11.7,,,,,,,dg7eawa1vjaz1uhrjhr7cucfe,J. Pedroza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941543,5,1,1,0,4,dbhdov3cc47kcr1hjg5qr5qg7,1,39.2,60,2023-03-17T13:00:44.017Z,2023-03-30T06:07:58Z,4102136511,141,54.8,4149003281,178,,4102136515,213,3.5,4102136507,56,Back,4102136513,212,10.6,4102136509,140,29.7,,,,,,,8zbaicqws2ux52rgiy95xetm2,Yahya Al Qarani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941549,6,1,1,0,7,dbhdov3cc47kcr1hjg5qr5qg7,1,29.3,53.3,2023-03-17T13:00:46.534Z,2023-03-30T06:08:01Z,4149003319,178,,4102136611,212,28.8,4102136609,141,12.6,4102136613,213,5.0,4102136607,140,36.8,4102136605,56,Back,,,,,,,3wpliz4y0ex8jxtlt2enirc9h,Maurício Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941557,7,1,1,0,10,dbhdov3cc47kcr1hjg5qr5qg7,0,36.8,12.6,2023-03-17T13:00:49.584Z,2023-03-30T06:08:09Z,4102136655,213,0.4,4149003359,178,,4102136649,141,18.0,4102136653,212,10.3,4102136647,140,46.0,4102136645,56,Back,,,,,,,96locb7oipzlke997xnx6ii38,Mohammed Bassam Al Hurayji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520941559,3,50,1,0,11,4djrvao40r1vgr4psfl5dzc80,1,52.6,78.9,2023-03-17T13:00:50.906Z,2023-03-30T06:08:15Z,4102220637,286,,4114622067,233,299,4102136671,56,Left,,,,,,,,,,,,,,,,5s1ofruu4rz52k2ogzaujplw4,Bader Munshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
