id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2531292579,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-04-09T19:15:05.872Z,2023-04-09T20:02:24Z,4177793309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177793315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177793311,59,"1, 2, 23, 76, 17, 6, 74, 4, 80, 87, 90, 3, 7, 9, 13, 24, 29, 35, 49, 77",4177805795,194,bl117o6ogkgnnbv2gl0ozpn85,4177988291,197,2908,4177793307,30,"8qps88s8g1c8xw5uiz5gyh4ut, 8po9k5w3ds7hoai833haglrf8, dr08g6m75jde8h9p96jfwojit, ciw54ghi1jv1xb5dmtv558xjp, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, b21fztzyrqua7i6lkfk7wh979, bl117o6ogkgnnbv2gl0ozpn85, a9xl33f68np358angkw5o606i, 5fpfdgzit3468e1a04ooetsr9, c7da9wqhoce68v0tvfhb4itjo, 3a591b3l0o7ucdb8w72vjz4kp, et956pmx883y3lica15q6zxii, aotysrmw0ffmznm2u4ya487o5, 64122p1l6bayb1x6lfi9w85m2, 6rsym2764y5k4vw569ab62x3o, bx7lsguu67h38eanl7xf0hclw, ae1vyz6x5wtwwinop1knbbzs9, c79pr94ulryjygvurdgku45w5, al6arz2vftyr9b2yn9ldgp15g",4177793317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177793313,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531294939,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-04-09T19:17:17.103Z,2023-04-09T20:01:24Z,4177805997,59,"34, 33, 12, 3, 20, 26, 11, 19, 9, 90, 10, 5, 14, 21, 24, 27, 36, 70, 80",4177806003,194,4upzspmuautmtl51yxe3kva39,4177805993,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, bg3kdsod1j0u3yk1jw5ndu9sk, emkg78pm7xdjkkt2w0yd8vh79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, du6wgayjqw7jqjh770c43vvmd, cfjp3mf7meekpcsx7hjrql79, aatjvj13ffwrj81vcfy68fnit, 1cpbxhov5ypi6ez7k09oxo5w5, 6lpj04km1rma60n8l66q0hd5h, eqdev00exzhrls89wj77cdzp, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, 38qgiazulsyaxmvqqrdjlw2l0, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",4177805999,130,8,4177805995,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4177806005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177806001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4177986567,197,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327695,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-04-09T20:00:49.099Z,2023-04-09T20:00:49Z,4177988687,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327697,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-04-09T20:00:49.099Z,2023-04-12T10:43:53Z,4177988695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327737,3,1,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,50.2,50.3,2023-04-09T20:00:49.199Z,2023-04-09T20:00:52Z,4177988843,141,63.7,4177988847,212,15.6,4177988857,279,S,4177988837,56,Back,4177988851,213,2.5,4177988841,140,38.1,,,,,,,aatjvj13ffwrj81vcfy68fnit,A. Hamed Allah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327757,4,1,1,0,3,2kzl64gp8x37bon8tyxojqrr1,1,38.3,63.6,2023-04-09T20:00:52.535Z,2023-04-09T20:00:54Z,4177988937,140,28.1,4177988939,141,72.1,4177988943,213,2.6,4177988935,56,Back,4177988941,212,12.2,,,,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327783,5,1,1,0,5,2kzl64gp8x37bon8tyxojqrr1,1,28.1,72.1,2023-04-09T20:00:54.263Z,2023-04-09T20:00:57Z,4177989107,212,29.3,4177989103,140,22.2,4177989101,56,Back,4177989105,141,30.0,4177989109,213,4.5,,,,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327787,6,1,1,0,8,2kzl64gp8x37bon8tyxojqrr1,1,21.2,30.3,2023-04-09T20:00:57.814Z,2023-04-09T20:00:59Z,4177989183,141,7.9,4177989179,56,Back,4177989187,213,5.4,4177989181,140,33.9,4177989185,212,20.2,,,,,,,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327799,7,1,1,0,10,2kzl64gp8x37bon8tyxojqrr1,1,33.9,7.9,2023-04-09T20:00:59.191Z,2023-04-09T20:01:02Z,4177989299,212,7.6,4177989295,140,27.6,4177989301,213,2.6,4177989297,141,13.4,4177989293,56,Back,,,,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531327803,8,1,1,0,12,2kzl64gp8x37bon8tyxojqrr1,0,27.6,13.4,2023-04-09T20:01:01.927Z,2023-04-09T20:01:04Z,4177989335,213,0.1,4177989325,155,,4177989331,141,21.6,4177989329,140,65.0,4177989327,56,Center,4177989337,1,,4177989333,212,39.7,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
