id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/10/value,qualifier/15/value,keyPass
2545881281,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-05-08T15:03:01.856Z,2023-05-08T16:04:10Z,4262696283,197,678,4262463541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262463535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262463543,194,h17s3qts1dz1zqjw19jazzkl,4262463533,30,"ej4r05u0q7ebnlwk9rlp7pv4l, 74yjko6gbejstpnhkr1gn8xxx, 19djqex4nu3lz6vw08f3fwv6x, dayca044hynhii8kgr7g1azth, eiarh2kihedqxxoftjyi55td5, 114zbg6z77mdio95dbl9v27dh, 4lhyi7xvorswax9xwmz4v5tqt, bfbozn43eclzjwzz8nt69ktsl, h17s3qts1dz1zqjw19jazzkl, 8h4z74vxc8qqbmwelwpo8oq5m, cpws4xoaun4lc21p379rpd59l, drd86nrgxki1eobo3pam0jk5x, 2gqls23835l3x6466sfwnthhx, 4uyfs1epryrirnq46jttxm6sp, 85oc68xls37jerkaimzc1lv8q, 1h4lbj5lsr3be6k2e5esd6356, 8wxgeu7xdeuvvuhn5ga0vu4q2, 4u3pq05nvcw6aemv99pbiopp0, 3u9v4demk1goyq93e3xv3d42d, 1t15mjei0rp87wgz2jseajutx",4262463537,59,"22, 2, 13, 18, 78, 21, 94, 8, 7, 19, 29, 3, 4, 5, 12, 16, 23, 27, 33, 77",4262463539,130,7,4262463545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545881761,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-05-08T15:04:13.728Z,2023-05-08T16:31:18Z,4262466153,59,"96, 2, 5, 8, 3, 25, 10, 6, 9, 15, 93, 11, 13, 14, 17, 20, 24, 35, 49, 99",4262466157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262466159,194,4k6v874ygp633amqtbp1g9nth,4262466151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262774587,197,959,4262466155,130,8,4262466161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262466149,30,"6k45sak4jgjqew0dpkcil4hyh, 4xf79nz0hvi8o83ta08cftffu, dy434rgboexxvq6tgr8gwef9x, 4k6v874ygp633amqtbp1g9nth, 3par6lcu330qnblngnl7b209h, 3uwyni9c8q0rprd1nhtt073e1, 73n9fjkvpac4i2s9kn6j86evp, 5sjuufrdq1rx6senkjjgtimsp, 22cd6gzfwo341qai1o6014251, 7q7awmtwv66htmei0xy1hzdn9, netr5hv4nn69u7twf7u892hh, dqqj2g1jdn57o1j12ycaa2a96, 94pujujlsh98axp2fdflycahg, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, 1im5k8tl0j4weq6bkwet3le96, rzzmmqh8ib3206ey7sqsgv84, 5yrugwes9msd3cd5hhrluivah, 2cso52su6r9afugn6mhw2bl9m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921119,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-05-08T16:00:40.769Z,2023-05-10T14:25:36Z,4262685365,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921135,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-05-08T16:00:40.769Z,2023-05-08T16:00:41Z,4262685447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545946113,481,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,49.7,50.1,2023-05-08T16:00:40.869Z,2023-05-08T16:50:34Z,4262824445,213,2.9,4262824433,56,Back,4262824437,141,57.8,4262825725,189,,4262824435,140,32.3,4262824449,279,S,4262824441,212,19.0,,,,h17s3qts1dz1zqjw19jazzkl,Cristiano Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545946201,482,1,1,0,2,57jcqe38hakh2hfit2zsogsb,1,32.3,57.8,2023-05-08T16:00:42.769Z,2023-05-08T16:50:35Z,4262825013,212,22.5,4262825011,141,49.9,4262825015,213,6.0,4262825767,189,,4262825007,56,Center,4262825009,140,53.1,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545946211,483,3,1,0,3,57jcqe38hakh2hfit2zsogsb,0,62.8,38.7,2023-05-08T16:00:44.768Z,2023-05-10T14:21:24Z,4262825543,233,341,4262825051,56,Center,4262825053,286,,4266746355,464,,,,,,,,,,,,,,h17s3qts1dz1zqjw19jazzkl,Cristiano Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545946299,341,7,1,0,4,7w4300dn2tnd0eqmbtk531tkx,1,37.2,61.3,2023-05-08T16:00:44.769Z,2023-05-10T14:21:38Z,4262825533,285,,4266746483,384,,4262825539,233,483,4262825531,56,Back,,,,,,,,,,,,,netr5hv4nn69u7twf7u892hh,Fábio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948655,345,1,1,0,5,7w4300dn2tnd0eqmbtk531tkx,0,28.6,40.1,2023-05-08T16:00:46.768Z,2023-05-08T17:02:38Z,4262839195,141,40.8,4262839429,233,484,4262839427,236,,4262839193,140,30.3,4262839197,212,1.8,4262839199,213,0.3,4262839433,286,,4262839191,56,Back,5sjuufrdq1rx6senkjjgtimsp,Khaled Al Samiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545946309,342,43,1,0,6,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2023-05-08T16:00:46.769Z,2023-05-08T16:54:16Z,4262831179,144,1,4262825613,233,484,4262825617,286,0,4262825605,141,54.0,4262825611,236,0,4262825601,56,Back,4262825609,213,3.1,4262825607,212,0,5sjuufrdq1rx6senkjjgtimsp,Khaled Al Samiri,4262825603,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
