id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2547559353,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-05-12T23:42:00.504Z,2023-05-13T00:41:06Z,4271480221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4271480211,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4271480219,194,1yva0f096q2oqk5gz59utr42y,4271540793,197,18736,4271480213,59,"1, 14, 25, 17, 20, 39, 13, 19, 9, 11, 22, 2, 5, 8, 12, 15, 18, 21, 24, 46",4271480209,30,"1yva0f096q2oqk5gz59utr42y, v0k2w41tlj0elpj7nrw68onp, bnnc9csv7qrc2xgx7yzgxlcr9, cmolam8ri93kos2rasjhnuxyi, 4j9un8594hl9gezwkdeafnbsa, 33u8nb0n2o6jsipw0b5r4j8mi, 7izc8t071mkrrgvptdjru467e, 4b13osk9pzrosvzqt55y7o34l, f05vaz2h7sxozmvi641cf7qi1, 6k82rq8synvac950ext5t0jpx, 7w3qwzs0je6lqm4j7v3c02qga, 615vz7uoe3eiozddbe206io6h, 5zwpytehpeosi3sfckvkuy3md, 7in4ykzbs8p44qy4jrb10p0wl, cfx9wllh2x6ozkvqxusa3sl3p, a8dqjy4h1xsrq9afop7tatisq, 8e4jqpg6oty7im4qy4a6j1wk4, 321yjdo3gio1l33hc1pdps4wl, f3wzzxviv45cq74tftqj6m4iy, 16xdgkd63d47o5ieudqo4ksq2",4271480215,130,8,4271480217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547561215,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-05-12T23:51:47.333Z,2023-05-13T00:41:16Z,4271491253,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, dtrm0ji0olk3n01v71m8a5exh, cgfk0e62cesbgieslfge2p61h, 6zm75ruas324c7yrt18ttei8l, 8co65x7tuvynuqvket8okb7xl, 5ni7a4s85lp22rysy5inywf3e, azcxror0t5ede7nqobmhx9u6s, 9jitxfwaeix5fn1n3dhartbhm, 95tl8tonvm6czhwzd6i5ep756, 1he80t4tdvj86rbvng0956prd, 4tm3f1xmjfy7hffe7io731yxg, 1tvu4rv4o96wqjzk836y9bp3p, 2x4vbu3htfozzwd8g7bdxeacp, 70bj6elm2g05zf0tfvbbta2mt, 19udx179xugqp84qo9rsq0nhl, edwr7f7jwnxm1plk91fx8hfro, ajm2otiy72xcni5pbtu1259n8, blgb1n71xsz7bbzpd2le9v33e, dyy9qh1b8rzc2ganhv1gk1las",4271491255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4271491261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4271491257,59,"1, 3, 2, 13, 25, 4, 14, 30, 9, 15, 7, 37, 99, 5, 6, 10, 22, 29, 31, 36",4271542987,197,3403,4271491265,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4271491263,194,cgfk0e62cesbgieslfge2p61h,4271491259,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571397,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-05-13T00:38:12.285Z,2023-05-13T00:38:12Z,4271549835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571401,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-05-13T00:38:12.285Z,2023-05-16T08:58:49Z,4271549841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571411,3,1,1,0,1,446mp88j1vpk9iwui9fiifrp8,1,50,50,2023-05-13T00:38:13.385Z,2023-05-16T08:59:21Z,4271549879,56,Back,4271549887,213,2.9,4271549885,212,12.5,4271549883,141,53.9,4271549889,279,S,4271549881,140,38.4,,,,,,,f05vaz2h7sxozmvi641cf7qi1,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571419,4,1,1,0,2,446mp88j1vpk9iwui9fiifrp8,0,41.4,51.9,2023-05-13T00:38:14.936Z,2023-05-13T00:39:56Z,4271549939,212,42.1,4271549927,155,,4271549945,1,,4271549943,213,0.6,4271549937,141,87.4,4271549929,56,Left,4271549933,140,74.3,,,,cmolam8ri93kos2rasjhnuxyi,S. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571435,3,1,1,0,4,c3v2ohfuzoqmc8ljm65hi80sj,1,32.5,4.3,2023-05-13T00:38:17.123Z,2023-05-13T00:38:18Z,4271550025,212,10.0,4271550017,3,,4271550023,141,15.8,4271550027,213,0.9,4271550019,56,Back,4271550021,140,38.5,,,,,,,6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571441,4,49,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,1,38.5,15.8,2023-05-13T00:38:18.626Z,2023-05-13T00:38:18Z,,,,,,,,,,,,,,,,,,,,,,,,,cgfk0e62cesbgieslfge2p61h,S. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571449,5,50,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,1,33.6,20.6,2023-05-13T00:38:19.127Z,2023-05-13T00:38:20Z,4271550111,233,5,4271550093,56,Back,4271550095,286,,,,,,,,,,,,,,,,,cgfk0e62cesbgieslfge2p61h,S. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547571451,5,7,1,0,6,446mp88j1vpk9iwui9fiifrp8,1,66.4,79.4,2023-05-13T00:38:19.128Z,2023-05-16T09:02:33Z,4271550099,56,Left,4271550105,233,5,4282596121,383,,4271550109,285,,,,,,,,,,,,,,6k82rq8synvac950ext5t0jpx,R. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
