id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/15/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2524644615,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-03-26T01:08:43.443Z,2023-03-26T02:10:11Z,4124092415,197,14916,4123956435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4123956429,130,15,4123956425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4123956431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4123956423,30,"4yb9avzbrzt8m4c4h1yy98jbp, n4egj8ymfled94mco0lwa95, 6p2318moul9op4hmigk1xbaw9, 3vnw015vllv7vzi79h7bplolx, 7pynp0g6h56oqimzdffivfpat, 6x0oj293r0sv99i071v8owpgp, a6we6zivd0v6kjntn2f04ghk9, 1c2boqmoi50esuelgdd96o06h, l28lqh3f3ojx6kk2wvvq6nyt, b9zyytzb31lz9644187z6a13o, 4k83z2cdvn2kwb72kh8e8qfsa, 7pdog0usw4fwr3j3neexfz1ed, 41dbul8mwc18wwgo4k2zc6aga, dwrkb21t0oi6s0d6a1b7b1qay, 1i4e7ehhib7vt3tx5xmd9efv9, 1p7mhkqn7vxnady8q0vboi02d, emihtyw994ca7bwm3y8ou4odm, 2dm0csdeq7tz6tzs9b3h7vnys, 8q0rkr3gz7hz1ssdx3fkro0a2, bzk89svsd2os7tv4wsbfaiivo",4123956427,59,"1, 20, 14, 5, 18, 4, 28, 24, 13, 7, 11, 3, 6, 8, 10, 15, 16, 17, 22, 23",4123956433,194,l28lqh3f3ojx6kk2wvvq6nyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524646983,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-03-26T01:12:51.421Z,2023-03-26T02:10:14Z,4123970955,59,"1, 15, 3, 23, 12, 6, 7, 4, 8, 55, 9, 19, 29, 20, 2, 5, 14, 24, 25, 34",4123970959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124083517,194,cbhcuvuqi3gxgln6n463vz9at,4123970961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4123970951,30,"cbhcuvuqi3gxgln6n463vz9at, 19q08g2zozqldqapwyv1osxsk, cieyupgmnxecb4emqljudrw89, 3esajnuok17w043qxim4s6n10, 6bbodw3m9bstocysxvzfuo3my, 4ullol3wa4qdi9ydgrxgxbcgl, csx5jhf4hyzld6gg790usp0wl, 6zzk0lgja87zs45h8btgheled, 4e2l88qfahs0ey4urydb96e7e, cnxanwub8nm1jokerrs83mk4q, dkk9sopglpjgnopxcxkn65gid, 6wtid9p5sncnatdjk1unpebdg, cwqfzhy81uhnn287legtzq8t0, 5tv4la0or9dxgp7x5vbxs94vd, 5dqjfblg7soo4znl8duds0zys, 7thgvx3dppvykp3fxc9zbb845, c11wgnz0v95lj8ldtecp7wges, 8v62hppzsz2yonw60h9910iga, 8ace4czv4na5qww43srp67fv8, 6e7scc2z7henelebs853mc844",4123970957,130,17,4124083519,197,14974,4123970953,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670143,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-03-26T02:09:37.867Z,2023-03-26T02:09:38Z,4124098865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670145,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-03-26T02:09:37.867Z,2023-03-30T15:18:44Z,4124098875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670149,3,1,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,49.9,50,2023-03-26T02:09:37.993Z,2023-03-26T04:16:43Z,4124098927,212,17.4,4124098911,56,Back,4124098933,279,S,4124098931,213,2.8,4124098921,141,59.4,4124098917,140,34.5,,,,,,,a6we6zivd0v6kjntn2f04ghk9,M. Dougherty Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670195,4,1,1,0,3,esvbnzqbyvxp2k570ez7h1a1g,1,34.5,59.4,2023-03-26T02:09:40.991Z,2023-03-26T04:16:42Z,4124099157,56,Back,4124099165,213,2.0,4124099159,140,29.9,4124099161,141,76.7,4124099163,212,12.7,,,,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670213,5,1,1,0,4,esvbnzqbyvxp2k570ez7h1a1g,0,29.9,76.7,2023-03-26T02:09:42.735Z,2023-03-26T04:16:44Z,4124099271,212,41.6,4124099267,140,68.5,4124099263,155,,4124099275,1,,4124099273,213,6.1,4124099269,141,62.7,4124099265,56,Center,,,,6p2318moul9op4hmigk1xbaw9,K. McNabb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670217,3,49,1,0,6,dzxypx8djih58p668surbi4qm,1,28.6,42.4,2023-03-26T02:09:44.756Z,2023-03-26T02:09:44Z,,,,,,,,,,,,,,,,,,,,,,,,,6bbodw3m9bstocysxvzfuo3my,T. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670223,4,1,1,0,7,dzxypx8djih58p668surbi4qm,1,28.6,42.4,2023-03-26T02:09:45.297Z,2023-03-26T02:09:46Z,4124099333,141,43.7,4124099337,212,9.4,4124099331,140,37.5,4124099329,56,Back,4124099339,213,0.1,,,,,,,,,,6bbodw3m9bstocysxvzfuo3my,T. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524670261,5,1,1,0,8,dzxypx8djih58p668surbi4qm,1,37.5,43.7,2023-03-26T02:09:46.528Z,2023-03-26T03:20:38Z,4124099547,213,4.7,4124099545,212,9.3,4124099539,56,Back,4124099543,141,30.1,4124099541,140,37.2,,,,,,,,,,csx5jhf4hyzld6gg790usp0wl,Y. Nagasato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
