id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2549048549,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-14T21:24:06.121Z,2023-05-14T22:23:09Z,4279372115,194,4c6z6g6q7jq62bznylu0kjnc9,4279369939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4279369929,30,"4baep35yxj0df8fqwcvh7x8lx, 15u9zrm4e4gosthf1vmkp5ht6, 9wvoeo39cgbelv8ddqin3aaga, dv8265k3za578hkzxxuttqmdx, debcbmzdwiyac6jcf1icrowlw, 72e9oc63fclgqqvn3lgsjue50, 4c6z6g6q7jq62bznylu0kjnc9, 5ekbwy8vf1l1jzj6txawrg7h1, dokzh655hluwjh55fisecs9ud, e1irspfo9xupqz2sqvyq1zp0q, 94j0ci5rtwvr8nlrr32cfg9d6, i59wtf590736z0ecwwu9jims, 96jcamlgo8nghmr2s0m0q2lbe, 736jvvtkgwc3g1vooviaod33d, cdh996gimeb2p2bqgtdgkji1g, a1vlxzecgxx2jh5gyfjc5usix, mmk0vhl1l0qxdyjina9v6xka, 57nmefeij6bg2ltvoqmqb7nbp, 1115fgmv9xa3nwx3bu19jr9pl",4279469873,197,10933,4279369935,130,4,4279369937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4279369933,59,"21, 8, 4, 16, 23, 24, 10, 99, 9, 17, 5, 6, 14, 18, 19, 25, 26, 38, 77",4279369931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549049517,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-05-14T21:27:38.834Z,2023-05-14T22:10:38Z,4279374785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4279374791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4279374789,130,8,4279459037,197,14916,4279374793,194,l28lqh3f3ojx6kk2wvvq6nyt,4279374783,30,"4yb9avzbrzt8m4c4h1yy98jbp, n4egj8ymfled94mco0lwa95, 6p2318moul9op4hmigk1xbaw9, 1c2boqmoi50esuelgdd96o06h, 7pynp0g6h56oqimzdffivfpat, 6x0oj293r0sv99i071v8owpgp, 7pdog0usw4fwr3j3neexfz1ed, dwrkb21t0oi6s0d6a1b7b1qay, l28lqh3f3ojx6kk2wvvq6nyt, bzk89svsd2os7tv4wsbfaiivo, 1i4e7ehhib7vt3tx5xmd9efv9, eign334lrgmok58r89ogpcpp0, b9zyytzb31lz9644187z6a13o, 4k83z2cdvn2kwb72kh8e8qfsa, 4y5mqjlbzmgx10w98sg4peqdw, 1p7mhkqn7vxnady8q0vboi02d, emihtyw994ca7bwm3y8ou4odm, 5kaxtpwnuplnrodirmblx3cb8, 9jqsvecho1nlcemf0328zvz10, 4x0c0fhtuohubcm7u16qzr2wa",4279374795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4279374787,59,"1, 20, 14, 24, 18, 4, 3, 8, 13, 23, 10, 34, 7, 11, 12, 15, 16, 25, 26, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549068905,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-05-14T22:08:25.139Z,2023-05-14T22:08:26Z,4279472791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549068899,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-14T22:08:25.139Z,2023-05-14T22:08:25Z,4279472771,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549068921,3,1,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,50,50,2023-05-14T22:08:25.239Z,2023-05-14T22:08:28Z,4279472897,279,S,4279472881,140,33.8,4279472883,141,61.7,4279472893,213,2.7,4279472879,56,Back,4279472887,212,18.8,,,,,,,dokzh655hluwjh55fisecs9ud,M. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549068939,4,1,1,0,3,agxipc0vk4rtg09amjxv10nx0,0,36.4,61.8,2023-05-14T22:08:28.831Z,2023-05-14T22:08:31Z,4279473013,212,45.3,4279473011,141,90.6,4279473005,155,,4279473017,1,,4279473009,140,75.3,4279473015,213,0.4,4279473007,56,Left,,,,dv8265k3za578hkzxxuttqmdx,V. DiBernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549068947,3,49,1,0,6,esvbnzqbyvxp2k570ez7h1a1g,1,27.8,8,2023-05-14T22:08:31.784Z,2023-05-14T23:02:40Z,,,,,,,,,,,,,,,,,,,,,,,,,7pynp0g6h56oqimzdffivfpat,K. Riehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549069001,4,1,1,0,8,esvbnzqbyvxp2k570ez7h1a1g,0,27.2,14,2023-05-14T22:08:33.208Z,2023-05-14T23:02:37Z,4279473341,212,32.4,4279473343,213,6.0,4279473339,141,0.0,4279473335,56,Right,4279473345,1,,4279473337,140,56.5,4279473333,155,,,,,7pynp0g6h56oqimzdffivfpat,K. Riehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549069291,5,5,1,0,11,agxipc0vk4rtg09amjxv10nx0,1,40.3,101.2,2023-05-14T22:08:36.500Z,2023-05-14T22:11:55Z,4279474881,56,Back,4279474883,347,,4279474889,233,5,,,,,,,,,,,,,,,,dv8265k3za578hkzxxuttqmdx,V. DiBernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549069005,5,5,1,0,11,esvbnzqbyvxp2k570ez7h1a1g,0,59.7,-1.2,2023-05-14T22:08:36.500Z,2023-05-14T22:09:03Z,4279474921,233,5,4279473357,56,Right,4279473359,347,,,,,,,,,,,,,,,,,n4egj8ymfled94mco0lwa95,C. Westphal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549069305,6,1,1,0,38,agxipc0vk4rtg09amjxv10nx0,1,39.9,100,2023-05-14T22:09:03.199Z,2023-05-14T22:09:04Z,4279474951,56,Back,4279474953,140,35.7,4279474949,107,,4279474957,212,8.9,4279474955,141,90.4,4279474959,213,4.2,,,,,,,9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549069315,7,1,1,0,39,agxipc0vk4rtg09amjxv10nx0,1,36.2,91.2,2023-05-14T22:09:04.431Z,2023-05-14T22:09:05Z,4279475005,141,98.7,4279475001,56,Back,4279475003,140,43.5,4279475007,212,9.2,4279475009,213,0.6,,,,,,,,,,dokzh655hluwjh55fisecs9ud,M. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549069325,8,1,1,0,39,agxipc0vk4rtg09amjxv10nx0,1,43.5,98.7,2023-05-14T22:09:05.102Z,2023-05-14T22:09:05Z,4279475065,212,7.9,4279475067,213,4.1,4279475063,141,89.3,4279475059,56,Back,4279475061,140,39.1,,,,,,,,,,9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
